Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-20,17:08:06,17800000,0%,16900000,18600000
2025-04-20,18:59:25,17800000,0%,16900000,18600000
2025-04-21,07:12:24,18900000,0%,17900000,19800000
2025-04-21,08:59:42,18900000,0%,17900000,19800000
2025-04-21,11:00:00,19500000,0%,18500000,20400000
2025-04-21,13:39:26,20000000,0%,19000000,21000000
2025-04-21,14:59:46,20000000,0%,19000000,21000000
2025-04-21,17:00:07,20000000,0%,19000000,21000000
2025-04-21,18:59:26,20000000,0%,19000000,21000000
2025-04-21,20:59:46,19200000,0%,18200000,20100000
2025-04-21,23:00:04,19100000,0%,18100000,20000000
2025-04-22,00:59:23,19100000,0%,18100000,20000000
2025-04-22,02:59:42,19000000,0%,18000000,19900000
2025-04-22,05:00:00,19800000,0%,18800000,20700000
2025-04-22,06:59:20,19800000,0%,18800000,20700000
2025-04-22,07:00:23,19800000,0%,18800000,20700000
2025-04-22,08:59:42,20800000,0%,19700000,21800000
2025-04-22,11:00:00,20900000,0%,19800000,21900000
2025-04-22,12:59:18,20900000,0%,19800000,21900000
2025-04-22,13:14:37,20900000,0%,19800000,21900000
2025-04-22,14:59:58,20800000,0%,19700000,21800000
2025-04-22,16:59:16,20800000,0%,19700000,21800000
2025-04-22,17:00:19,20800000,0%,19700000,21800000
2025-04-22,18:59:37,19800000,0%,18800000,20700000
2025-04-22,20:59:54,19800000,0%,18800000,20700000
2025-04-22,22:59:12,19800000,0%,18800000,20700000
2025-04-22,23:00:14,19800000,0%,18800000,20700000
2025-04-23,00:59:32,18900000,0%,17900000,19800000
2025-04-23,02:59:50,19000000,0%,18000000,19900000
2025-04-23,04:59:07,19000000,0%,18000000,19900000
2025-04-23,05:00:10,19000000,0%,18000000,19900000
2025-04-23,06:59:27,20300000,0%,19200000,21300000
2025-04-23,08:59:45,20300000,0%,19200000,21300000
2025-04-23,11:00:03,20900000,0%,19800000,21900000
2025-04-23,12:59:25,21200000,0%,20100000,22200000
2025-04-24,11:44:05,17300000,0%,16400000,18100000
2025-04-24,13:31:14,16400000,0%,15500000,17200000
2025-04-24,14:59:33,16400000,0%,15500000,17200000
2025-04-24,16:59:51,15800000,0%,15000000,16500000
2025-04-24,18:59:10,15800000,0%,15000000,16500000
2025-04-24,19:00:13,15800000,0%,15000000,16500000
2025-04-24,20:59:31,15400000,0%,14600000,16100000
2025-04-24,22:59:48,15400000,0%,14600000,16100000
2025-04-25,00:59:06,15400000,0%,14600000,16100000
2025-04-25,01:00:09,15400000,0%,14600000,16100000
2025-04-25,02:59:27,15500000,0%,14700000,16200000
2025-04-25,04:59:46,15500000,0%,14700000,16200000
2025-04-25,07:00:04,16400000,0%,15500000,17200000
2025-04-25,08:59:22,16400000,0%,15500000,17200000
2025-04-25,10:59:39,17200000,0%,16300000,18000000
2025-04-25,12:59:58,17200000,0%,16300000,18000000
2025-04-26,07:24:16,17000000,0%,16100000,17800000
2025-04-26,09:08:05,17000000,0%,16100000,17800000
2025-04-26,11:13:20,17000000,0%,16100000,17800000
2025-04-26,13:26:20,17000000,0%,16100000,17800000
2025-04-26,15:20:13,17000000,0%,16100000,17800000
2025-04-26,17:26:00,17000000,0%,16100000,17800000
2025-04-26,19:05:27,17000000,0%,16100000,17800000
2025-04-26,21:05:52,17000000,0%,16100000,17800000
2025-04-26,23:03:40,17000000,0%,16100000,17800000
2025-04-27,01:01:05,17000000,0%,16100000,17800000
2025-04-27,03:01:32,17000000,0%,16100000,17800000
2025-04-27,05:26:25,17000000,0%,16100000,17800000
2025-04-27,07:13:36,17000000,0%,16100000,17800000
2025-04-27,09:08:05,17000000,0%,16100000,17800000
2025-04-27,11:09:54,17000000,0%,16100000,17800000
2025-04-27,13:10:55,17000000,0%,16100000,17800000
2025-04-27,15:49:15,17000000,0%,16100000,17800000
2025-04-27,17:14:15,17000000,0%,16100000,17800000
2025-04-27,19:07:47,17000000,0%,16100000,17800000
2025-04-27,21:14:18,17000000,0%,16100000,17800000
2025-04-27,23:01:02,17000000,0%,16100000,17800000
2025-04-28,01:00:31,17000000,0%,16100000,17800000
2025-04-28,03:04:45,17000000,0%,16100000,17800000
2025-04-28,05:20:52,17000000,0%,16100000,17800000
2025-04-28,07:08:12,17000000,0%,16100000,17800000
2025-04-28,08:59:31,17000000,0%,16100000,17800000
2025-04-28,10:59:49,17000000,0%,16100000,17800000
2025-04-28,12:59:07,18000000,0%,17100000,18900000
2025-04-28,13:00:10,18000000,0%,17100000,18900000
2025-04-28,14:59:28,18000000,0%,17100000,18900000
2025-04-28,16:59:46,18200000,0%,17200000,19100000
2025-04-28,19:00:05,18200000,0%,17200000,19100000
2025-04-28,20:59:23,17600000,0%,16700000,18400000
2025-04-28,22:59:41,17600000,0%,16700000,18400000
2025-04-29,01:00:00,17300000,0%,16400000,18100000
2025-04-29,02:59:18,17300000,0%,16400000,18100000
2025-04-29,03:14:37,17300000,0%,16400000,18100000
2025-04-29,04:59:56,16300000,0%,15400000,17100000
2025-04-29,06:59:14,16300000,0%,15400000,17100000
2025-04-29,07:00:20,16300000,0%,15400000,17100000
2025-04-29,08:59:38,15000000,0%,14200000,15700000
2025-04-29,10:59:56,15000000,0%,14200000,15700000
2025-04-29,12:59:15,15000000,0%,14200000,15700000
2025-04-29,13:00:18,15000000,0%,14200000,15700000
2025-04-29,14:59:38,15000000,0%,14200000,15700000
2025-04-29,16:59:56,15000000,0%,14200000,15700000
2025-04-29,19:50:59,15000000,0%,14200000,15700000
2025-04-29,20:59:17,15000000,0%,14200000,15700000
2025-04-29,21:14:37,15000000,0%,14200000,15700000
2025-04-29,23:00:47,15000000,0%,14200000,15700000
2025-04-30,01:00:05,15000000,0%,14200000,15700000
2025-04-30,03:00:23,15000000,0%,14200000,15700000
2025-04-30,04:59:42,15000000,0%,14200000,15700000
2025-04-30,07:28:39,15000000,0%,14200000,15700000
2025-04-30,09:00:15,15000000,0%,14200000,15700000
2025-04-30,10:59:34,15000000,0%,14200000,15700000
2025-04-30,12:59:57,15000000,0%,14200000,15700000
2025-04-30,14:59:15,15000000,0%,14200000,15700000
2025-04-30,15:00:19,15000000,0%,14200000,15700000
2025-04-30,17:00:35,15000000,0%,14200000,15700000
2025-04-30,18:59:56,15000000,0%,14200000,15700000
2025-04-30,20:59:15,15000000,0%,14200000,15700000
2025-04-30,21:00:19,15000000,0%,14200000,15700000
2025-04-30,23:00:33,15000000,0%,14200000,15700000
2025-05-01,00:59:56,15000000,0%,14200000,15700000
2025-05-01,02:59:15,15000000,0%,14200000,15700000
2025-05-01,03:00:19,15000000,0%,14200000,15700000
2025-05-01,05:00:34,15000000,0%,14200000,15700000
2025-05-01,07:02:30,15000000,0%,14200000,15700000
