Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-20,17:08:02,17800000,0%,16900000,18600000
2025-04-20,18:53:20,17800000,0%,16900000,18600000
2025-04-21,07:12:18,18600000,0%,17600000,19500000
2025-04-21,08:54:54,18600000,0%,17600000,19500000
2025-04-21,10:53:12,19400000,0%,18400000,20300000
2025-04-21,13:39:22,20000000,0%,19000000,21000000
2025-04-21,14:53:47,20000000,0%,19000000,21000000
2025-04-21,16:53:09,19300000,0%,18300000,20200000
2025-04-21,16:54:26,19300000,0%,18300000,20200000
2025-04-21,18:53:45,19300000,0%,18300000,20200000
2025-04-21,20:53:03,19300000,0%,18300000,20200000
2025-04-21,20:54:06,19300000,0%,18300000,20200000
2025-04-21,22:53:24,18600000,0%,17600000,19500000
2025-04-22,00:53:42,18600000,0%,17600000,19500000
2025-04-22,02:52:59,18500000,0%,17500000,19400000
2025-04-22,02:54:02,18500000,0%,17500000,19400000
2025-04-22,04:53:19,19300000,0%,18300000,20200000
2025-04-22,06:53:42,19300000,0%,18300000,20200000
2025-04-22,08:53:01,20800000,0%,19700000,21800000
2025-04-22,08:54:04,20800000,0%,19700000,21800000
2025-04-22,10:53:21,21300000,0%,20200000,22300000
2025-04-22,12:53:39,21300000,0%,20200000,22300000
2025-04-22,14:54:13,20600000,0%,19500000,21600000
2025-04-22,16:55:25,20600000,0%,19500000,21600000
2025-04-22,18:53:43,19700000,0%,18700000,20600000
2025-04-22,20:53:00,19800000,0%,18800000,20700000
2025-04-22,20:54:03,19800000,0%,18800000,20700000
2025-04-22,22:53:21,19800000,0%,18800000,20700000
2025-04-23,00:53:38,18800000,0%,17800000,19700000
2025-04-23,02:53:56,19100000,0%,18100000,20000000
2025-04-23,04:53:19,19100000,0%,18100000,20000000
2025-04-23,06:53:36,20600000,0%,19500000,21600000
2025-04-23,08:53:54,20600000,0%,19500000,21600000
2025-04-23,10:53:14,21400000,0%,20300000,22400000
2025-04-23,12:53:33,20900000,0%,19800000,21900000
2025-04-24,11:44:00,17300000,0%,16400000,18100000
2025-04-24,13:11:13,16200000,0%,15300000,17000000
2025-04-24,14:53:33,16200000,0%,15300000,17000000
2025-04-24,16:53:51,15600000,0%,14800000,16300000
2025-04-24,18:53:08,15600000,0%,14800000,16300000
2025-04-24,18:54:12,15600000,0%,14800000,16300000
2025-04-24,20:53:31,16100000,0%,15200000,16900000
2025-04-24,22:53:48,15900000,0%,15100000,16600000
2025-04-25,00:53:07,15900000,0%,15100000,16600000
2025-04-25,00:54:10,15900000,0%,15100000,16600000
2025-04-25,02:53:28,15500000,0%,14700000,16200000
2025-04-25,04:53:46,15500000,0%,14700000,16200000
2025-04-25,06:53:05,16200000,0%,15300000,17000000
2025-04-25,06:54:08,16200000,0%,15300000,17000000
2025-04-25,08:53:26,16200000,0%,15300000,17000000
2025-04-25,10:53:45,16600000,0%,15700000,17400000
2025-04-25,12:53:03,16600000,0%,15700000,17400000
2025-04-25,12:54:06,16600000,0%,15700000,17400000
2025-04-26,07:23:15,16200000,0%,15300000,17000000
2025-04-26,08:55:19,16200000,0%,15300000,17000000
2025-04-26,11:58:56,16200000,0%,15300000,17000000
2025-04-26,12:57:59,16200000,0%,15300000,17000000
2025-04-26,15:57:38,16200000,0%,15300000,17000000
2025-04-26,17:04:35,16200000,0%,15300000,17000000
2025-04-26,18:56:36,16200000,0%,15300000,17000000
2025-04-26,20:56:32,16200000,0%,15300000,17000000
