Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-08,23:42:44,89800000,+3.94%,85300000,94200000
2025-03-09,01:44:30,92900000,+3.45%,88200000,97500000
2025-03-09,03:44:31,94500000,+1.72%,89700000,99200000
2025-03-09,05:44:21,96200000,+1.8%,91300000,101000000
2025-03-09,07:44:22,96600000,+2.11%,91700000,101000000
2025-03-09,09:44:23,96600000,+2.11%,91700000,101000000
2025-03-09,11:44:26,97900000,+1.35%,93000000,102000000
2025-03-09,13:40:24,97800000,-0.1%,92900000,102000000
2025-03-09,15:40:48,100000000,+2.25%,95000000,104000000
2025-03-09,17:42:32,102000000,+2%,96900000,107000000
2025-03-09,18:28:00,102000000,+2%,96900000,107000000
2025-03-09,19:44:23,102000000,+2%,96900000,107000000
2025-03-09,21:44:35,104000000,+1.96%,98800000,109000000
2025-03-09,23:40:53,103000000,-0.96%,97800000,108000000
2025-03-10,10:56:55,92100000,-4.46%,87400000,96700000
2025-03-10,11:44:22,92100000,-4.46%,87400000,96700000
2025-03-10,14:24:16,87800000,-4.67%,83400000,92100000
2025-03-10,15:44:32,83800000,-4.56%,79600000,87900000
2025-03-10,17:43:27,80100000,-4.42%,76000000,84100000
2025-03-10,19:51:04,76500000,-4.49%,72600000,80300000
2025-03-10,21:41:17,73000000,-4.58%,69300000,76600000
2025-03-10,23:44:27,70900000,-2.88%,67300000,74400000
2025-03-11,01:46:42,72700000,+2.54%,69000000,76300000
2025-03-11,03:48:19,73000000,+0.41%,69300000,76600000
2025-03-11,05:44:28,70100000,-3.97%,66500000,73600000
2025-03-11,07:44:22,71000000,+1.28%,67400000,74500000
2025-03-11,09:46:26,73200000,+3.1%,69500000,76800000
2025-03-11,11:40:32,73200000,+3.1%,69500000,76800000
2025-03-11,15:48:03,76500000,+2.96%,72600000,80300000
2025-03-11,16:51:34,78800000,+3.01%,74800000,82700000
2025-03-11,17:40:42,78800000,+3.01%,74800000,82700000
2025-03-11,19:40:27,81500000,+3.43%,77400000,85500000
2025-03-11,21:44:23,83300000,+2.21%,79100000,87400000
2025-03-11,23:40:27,86600000,+3.96%,82200000,90900000
2025-03-12,02:06:35,88700000,+2.42%,84200000,93100000
2025-03-12,03:42:37,88100000,-0.68%,83600000,92500000
2025-03-12,05:44:23,88400000,+0.34%,83900000,92800000
