Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-02,20:27:55,18600000,-0.53%,17600000,19500000
2025-04-02,20:52:22,18600000,-0.53%,17600000,19500000
2025-04-02,22:52:27,18600000,-0.53%,17600000,19500000
2025-04-03,12:21:27,16400000,-4.09%,15500000,17200000
2025-04-03,12:52:23,16400000,-4.09%,15500000,17200000
2025-04-03,15:54:01,15000000,-3.23%,14200000,15700000
2025-04-03,16:50:48,15000000,-3.23%,14200000,15700000
2025-04-03,16:52:22,15000000,-3.23%,14200000,15700000
2025-04-04,11:13:28,15000000,-3.23%,14200000,15700000
2025-04-04 14:06:13+0000,15000000,-3.23%,14200000,15700000
2025-04-04 14:17:18+0000,15000000,-3.23%,14200000,15700000
2025-04-04 14:27:07+0000,15000000,-3.23%,14200000,15700000
2025-04-04 14:30:27+0000,15000000,-3.23%,14200000,15700000
2025-04-04 18:03:07+0000,15000000,-3.23%,14200000,15700000
2025-04-04 18:04:14+0000,15000000,-3.23%,14200000,15700000
2025-04-04,22:49:32,15000000,-3.23%,14200000,15700000
2025-04-04,23:05:40,15000000,-3.23%,14200000,15700000
2025-04-04,23:33:24,0,0%,NA,NA
2025-04-04,23:43:15,15000000,-3.23%,14200000,15700000
2025-04-04,23:56:29,15000000,-3.23%,14200000,15700000
2025-04-05,10:04:37,15000000,-3.23%,14200000,15700000
2025-04-05,10:53:15,15000000,-3.23%,14200000,15700000
2025-04-05,12:02:18,15000000,-3.23%,14200000,15700000
2025-04-05,12:53:15,15000000,-3.23%,14200000,15700000
2025-04-05,14:54:20,15000000,-3.23%,14200000,15700000
2025-04-05,16:05:27,15000000,-3.23%,14200000,15700000
2025-04-05,16:07:17,15000000,-3.23%,14200000,15700000
2025-04-05,16:22:44,15000000,-3.23%,14200000,15700000
2025-04-05,16:36:59,15000000,-3.23%,14200000,15700000
2025-04-05,16:42:18,15000000,-3.23%,14200000,15700000
2025-04-05,16:54:14,15000000,-3.23%,14200000,15700000
2025-04-05,18:53:18,15000000,-3.23%,14200000,15700000
2025-04-05,20:53:22,15000000,-3.23%,14200000,15700000
2025-04-05,22:54:27,15000000,-3.23%,14200000,15700000
2025-04-06,00:53:33,15000000,-3.23%,14200000,15700000
2025-04-06,02:53:38,15000000,-3.23%,14200000,15700000
2025-04-06,04:54:42,15000000,-3.23%,14200000,15700000
2025-04-06,06:52:48,15000000,-3.23%,14200000,15700000
2025-04-06,08:52:54,15000000,-3.23%,14200000,15700000
2025-04-06,10:52:59,15000000,-3.23%,14200000,15700000
2025-04-06,12:53:05,15000000,-3.23%,14200000,15700000
2025-04-06,14:53:10,15000000,-3.23%,14200000,15700000
2025-04-06,16:53:15,15000000,-3.23%,14200000,15700000
2025-04-06,18:54:19,15000000,-3.23%,14200000,15700000
2025-04-06,20:53:23,15000000,-3.23%,14200000,15700000
2025-04-06,22:53:27,15000000,-3.23%,14200000,15700000
2025-04-06,23:59:56,15000000,-3.23%,14200000,15700000
2025-04-07,00:02:56,15000000,-3.23%,14200000,15700000
2025-04-07,08:04:45,0,0%,NA,NA
2025-04-07,08:53:21,15000000,-3.23%,14200000,15700000
2025-04-07,09:40:45,15000000,-3.23%,14200000,15700000
2025-04-07,09:43:15,15000000,-3.23%,14200000,15700000
2025-04-07,10:53:19,15000000,-3.23%,14200000,15700000
2025-04-07,13:50:59,15000000,-0.66%,14200000,15700000
2025-04-07,14:53:03,15000000,-0.66%,14200000,15700000
2025-04-07,16:54:08,15100000,+0.67%,14300000,15800000
2025-04-07,18:19:58,15100000,+0.67%,14300000,15800000
2025-04-07,18:53:14,15100000,+0.67%,14300000,15800000
2025-04-07,20:54:19,15100000,+0.67%,14300000,15800000
2025-04-07,22:53:31,0,0%,NA,NA
2025-04-08,00:53:35,15100000,+0.67%,14300000,15800000
2025-04-08,02:53:41,15000000,-0.66%,14200000,15700000
2025-04-08,04:53:44,15000000,-0.66%,14200000,15700000
2025-04-08,06:52:51,15000000,-0.66%,14200000,15700000
2025-04-08,08:52:56,15100000,+0.67%,14300000,15800000
2025-04-08,10:24:47,15100000,+0.67%,14300000,15800000
2025-04-08,10:53:14,15100000,+0.67%,14300000,15800000
2025-04-08,12:08:23,15000000,-0.66%,14200000,15700000
2025-04-08,12:53:26,0,0%,NA,NA
2025-04-08,12:56:52,0,0%,NA,NA
2025-04-08,13:03:21,0,0%,NA,NA
2025-04-08,13:54:38,15000000,-0.66%,14200000,15700000
2025-04-08,14:53:14,15000000,-0.66%,14200000,15700000
2025-04-08,18:08:03,15100000,0%,14300000,15800000
2025-04-08,18:53:13,15100000,0%,14300000,15800000
2025-04-08,23:36:51,15100000,0%,14300000,15800000
2025-04-09,00:52:56,15100000,0%,14300000,15800000
2025-04-09,02:53:00,15100000,0%,14300000,15800000
2025-04-09,04:53:05,15100000,0%,14300000,15800000
2025-04-09,07:54:09,15100000,0%,14300000,15800000
2025-04-09,08:53:14,15100000,0%,14300000,15800000
