Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-03,10:45:31,32900000,+0.92%,31200000,34500000
2025-03-03,11:05:44,32900000,+0.92%,31200000,34500000
2025-03-03,13:05:48,33400000,+1.52%,31700000,35000000
2025-03-03,15:05:45,33300000,-0.3%,31600000,34900000
2025-03-03,17:05:45,33400000,+0.3%,31700000,35000000
2025-03-03,18:26:31,33000000,-1.2%,31300000,34600000
2025-03-03,19:05:45,33000000,-1.2%,31300000,34600000
2025-03-03,21:10:19,33400000,+1.21%,31700000,35000000
2025-03-03,22:56:48,33500000,+0.3%,31800000,35100000
2025-03-03,23:08:20,33500000,+0.3%,31800000,35100000
2025-03-04,01:08:20,33200000,-0.9%,31500000,34800000
2025-03-04,03:08:20,32500000,-2.11%,30800000,34100000
2025-03-04,05:08:21,32400000,-0.31%,30700000,34000000
2025-03-04,07:08:22,32200000,-0.62%,30500000,33800000
2025-03-04,09:07:18,33000000,+2.48%,31300000,34600000
2025-03-04,11:05:47,33200000,+0.61%,31500000,34800000
2025-03-04,13:05:44,33700000,+1.51%,32000000,35300000
2025-03-04,15:05:44,33800000,+0.3%,32100000,35400000
2025-03-04,17:05:44,34300000,+1.48%,32500000,36000000
2025-03-05,11:09:07,35700000,+4.08%,33900000,37400000
2025-03-05,13:48:47,37700000,+1.62%,35800000,39500000
2025-03-05,13:54:33,37700000,+1.62%,35800000,39500000
2025-03-05,14:10:48,37700000,+1.62%,35800000,39500000
2025-03-05,15:05:45,37700000,+1.62%,35800000,39500000
2025-03-05,17:03:56,39000000,+3.45%,37000000,40900000
2025-03-05,17:05:45,39000000,+3.45%,37000000,40900000
2025-03-05,19:05:43,38500000,-1.28%,36500000,40400000
2025-03-05,21:26:27,38800000,-2.51%,36800000,40700000
2025-03-05,23:05:45,38800000,-2.51%,36800000,40700000
2025-03-06,01:08:25,39400000,+0.51%,37400000,41300000
2025-03-06,08:50:36,39700000,+4.47%,37700000,41600000
2025-03-06,09:08:18,39700000,+4.47%,37700000,41600000
2025-03-06,13:28:03,37700000,-5.04%,35800000,39500000
2025-03-06,15:05:44,35800000,-5.04%,34000000,37500000
2025-03-06,17:05:46,34800000,-2.79%,33000000,36500000
2025-03-06,17:41:56,35200000,+1.15%,33400000,36900000
2025-03-06,18:58:02,35200000,+1.15%,33400000,36900000
2025-03-06,19:05:44,35200000,+1.15%,33400000,36900000
2025-03-06,21:08:31,35600000,+1.14%,33800000,37300000
2025-03-06,23:40:43,37000000,+1.93%,35100000,38800000
2025-03-07,08:55:53,38000000,+4.4%,36100000,39900000
2025-03-07,09:10:03,38000000,+4.4%,36100000,39900000
2025-03-07,11:05:44,39800000,+4.74%,37800000,41700000
2025-03-07,11:15:58,39800000,+4.74%,37800000,41700000
2025-03-07,11:49:23,41700000,+4.77%,39600000,43700000
2025-03-07,13:05:44,41700000,+4.77%,39600000,43700000
2025-03-07,15:05:51,43600000,+4.56%,41400000,45700000
2025-03-07,17:52:31,47800000,+4.6%,45400000,50100000
2025-03-07,19:06:43,47800000,+4.6%,45400000,50100000
2025-03-07,19:08:51,47800000,+4.6%,45400000,50100000
2025-03-07,23:52:08,49800000,+1.43%,47300000,52200000
2025-03-08,01:10:06,49700000,-0.2%,47200000,52100000
2025-03-08,03:08:19,49600000,-0.2%,47100000,52000000
2025-03-08,05:09:50,49600000,-0.2%,47100000,52000000
2025-03-08,07:09:50,49500000,-0.2%,47000000,51900000
2025-03-08,09:08:26,51600000,+4.24%,49000000,54100000
2025-03-08,11:08:18,54000000,+4.65%,51300000,56600000
2025-03-08,13:08:27,56500000,+4.63%,53600000,59300000
2025-03-08,15:08:16,59200000,+4.78%,56200000,62100000
2025-03-08,17:08:17,62100000,+4.9%,58900000,65200000
2025-03-08,19:08:16,64800000,+4.35%,61500000,68000000
2025-03-08,21:09:43,66500000,+2.62%,63100000,69800000
2025-03-08,23:08:35,68100000,+2.41%,64600000,71500000
2025-03-08,23:41:20,64900000,-4.7%,61600000,68100000
2025-03-09,01:12:09,64900000,-4.7%,61600000,68100000
2025-03-09,03:12:01,65300000,+0.62%,62000000,68500000
2025-03-09,05:12:03,63700000,-2.45%,60500000,66800000
2025-03-09,07:12:17,65300000,+2.51%,62000000,68500000
2025-03-09,09:14:05,68100000,+4.29%,64600000,71500000
2025-03-09,11:12:01,71100000,+4.41%,67500000,74600000
2025-03-09,13:25:16,75500000,+3%,71700000,79200000
2025-03-09,15:07:51,75500000,+3%,71700000,79200000
2025-03-09,17:05:58,77300000,+2.38%,73400000,81100000
2025-03-09,18:26:41,76800000,-0.65%,72900000,80600000
2025-03-09,19:08:31,76800000,-0.65%,72900000,80600000
2025-03-09,21:12:11,78600000,+2.34%,74600000,82500000
2025-03-09,23:10:29,76100000,-3.18%,72200000,79900000
2025-03-10,10:55:30,79400000,+4.34%,75400000,83300000
2025-03-10,11:11:42,79400000,+4.34%,75400000,83300000
2025-03-10,13:27:30,82000000,+3.27%,77900000,86100000
2025-03-10,15:08:27,84900000,+3.54%,80600000,89100000
2025-03-10,17:12:08,84100000,-0.94%,79800000,88300000
2025-03-10,19:10:33,86400000,+2.73%,82000000,90700000
2025-03-10,21:08:05,83100000,-3.82%,78900000,87200000
2025-03-10,23:11:06,84800000,+2.05%,80500000,89000000
2025-03-11,01:25:32,84500000,-0.35%,80200000,88700000
2025-03-11,03:12:08,82900000,-1.89%,78700000,87000000
2025-03-11,05:18:31,83800000,+1.09%,79600000,87900000
2025-03-11,07:12:17,83400000,-0.48%,79200000,87500000
2025-03-11,09:13:24,87100000,+4.44%,82700000,91400000
2025-03-11,11:15:56,89800000,+3.1%,85300000,94200000
2025-03-11,15:46:46,94300000,+1.84%,89500000,99000000
2025-03-11,16:50:13,94300000,+1.84%,89500000,99000000
2025-03-11,17:08:17,94300000,+1.84%,89500000,99000000
2025-03-11,19:08:03,91900000,-2.55%,87300000,96400000
2025-03-11,21:08:47,92600000,+0.76%,87900000,97200000
2025-03-11,23:15:16,93100000,+1.64%,88400000,97700000
2025-03-12,01:09:52,93100000,+1.64%,88400000,97700000
2025-03-12,03:23:10,93800000,+0.97%,89100000,98400000
2025-03-12,05:12:10,93800000,+0.97%,89100000,98400000
2025-03-12,07:12:11,93700000,-0.11%,89000000,98300000
2025-03-12,09:09:17,98100000,+4.7%,93100000,103000000
2025-03-12,11:10:07,102000000,+3.98%,96900000,107000000
2025-03-12,13:05:51,106000000,+3.92%,100000000,111000000
2025-03-12,14:59:22,110000000,+3.77%,104000000,115000000
2025-03-12,15:09:19,110000000,+3.77%,104000000,115000000
2025-03-12,17:07:47,113000000,+2.73%,107000000,118000000
2025-03-12,19:10:00,113000000,+2.73%,107000000,118000000
2025-03-12,19:19:01,111000000,-1.77%,105000000,116000000
2025-03-12,21:08:34,111000000,-1.77%,105000000,116000000
2025-03-12,23:08:37,110000000,-0.9%,104000000,115000000
2025-03-13,01:31:56,111000000,+0.91%,105000000,116000000
2025-03-13,03:16:31,111000000,+0.91%,105000000,116000000
2025-03-13,05:12:09,115000000,+3.6%,109000000,120000000
2025-03-13,07:16:10,117000000,+1.74%,111000000,122000000
2025-03-13,09:13:14,116000000,-0.85%,110000000,121000000
2025-03-13,11:14:11,110000000,-5.17%,104000000,115000000
2025-03-13,13:10:19,104000000,-5.45%,98800000,109000000
2025-03-13,15:14:09,98800000,-5%,93800000,103000000
2025-03-13,17:06:07,98200000,-0.61%,93 200 000,103 000 000
2025-03-14,19:05:35,60900000,-5.14%,57 800 000,63 900 000
2025-03-14,21:05:35,60900000,-5.14%,57 800 000,63 900 000
2025-03-14,23:05:35,57800000,-5.09%,54 900 000,60 600 000
2025-03-14,01:05:35,55000000,-4.84%,52 200 000,57 700 000
2025-03-15,03:05:35,52500000,-4.55%,49 800 000,55 100 000
2025-03-15,05:05:35,49800000,-5.14%,47 300 000,52 200 000
2025-03-15,07:05:35,47300000,-5.02%,44 900 000,49 600 000
2025-03-15,09:05:35,42600000,-5.12%,40 400 000,44 700 000
2025-03-15,11:05:35,40400000,-5.16%,38 300 000,42 400 000
2025-03-15,13:05:35,38300000,-5.2%,36 300 000,40 200 000
2025-03-15,13:25:46,38300000,-5.2%,36 300 000,40 200 000
2025-03-15,15:12:19,36700000,-4.18%,34 800 000,38 500 000
2025-03-15,17:12:10,34800000,-5.18%,33 000 000,36 500 000
2025-03-15,19:08:33,33400000,-4.02%,31 700 000,35 000 000
2025-03-15,21:12:16,32000000,-4.19%,30 400 000,33 600 000
2025-03-15,23:08:22,30700000,-4.06%,29 100 000,32 200 000
2025-03-16,01:13:48,29200000,-4.89%,27 700 000,30 600 000
2025-03-16,03:12:07,28000000,-4.11%,26 600 000,29 300 000
2025-03-16,05:12:27,26700000,-4.64%,25 300 000,28 000 000
2025-03-16,07:18:44,25700000,-3.75%,24 400 000,26 900 000
2025-03-16,09:14:16,24800000,-3.5%,23 500 000,26 000 000
2025-03-16,11:12:45,23700000,-4.44%,22 500 000,24 800 000
2025-03-16,13:05:35,22600000,-4.64%,21 400 000,23 700 000
2025-03-16,14:44:36,21500000,-4.87%,20 400 000,22 500 000
2025-03-16,15:12:17,21500000,-4.87%,20 400 000,22 500 000
2025-03-16,17:12:19,20600000,-4.19%,19 500 000,21 600 000
2025-03-16,19:12:18,20200000,-1.94%,19 100 000,21 200 000
2025-03-16,23:07:35,19100000,-4.02%,18 100 000,20 000 000
2025-03-17,01:08:06,18700000,-2.09%,17 700 000,19 600 000
2025-03-17,03:19:24,18000000,-3.74%,17 100 000,18 900 000
2025-03-17,05:12:51,17700000,-1.67%,16 800 000,18 500 000
2025-03-17,07:13:23,17500000,-1.13%,16 600 000,18 300 000
2025-03-17,09:08:42,17400000,-0.57%,16 500 000,18 200 000
2025-03-17,10:49:27,17400000,-0.57%,16 500 000,18 200 000
2025-03-17,11:05:47,17400000,-0.57%,16 500 000,18 200 000
2025-03-17,13:07:57,17200000,-1.15%,16 300 000,18 000 000
2025-03-17,15:05:52,16800000,-2.33%,15 900 000,17 600 000
2025-03-17,21:23:31,16600000,-1.19%,15 700 000,17 400 000
2025-03-17,23:09:42,16600000,-1.19%,15 700 000,17 400 000
2025-03-18,01:12:03,17100000,+3.01%,16 200 000,17 900 000
2025-03-18,03:11:59,17500000,+2.34%,16 600 000,18 300 000
2025-03-18,05:12:04,17600000,+0.57%,16 700 000,18 400 000
2025-03-18,07:07:58,17500000,-0.57%,16 600 000,18 300 000
2025-03-18,09:05:59,17400000,-0.57%,16 500 000,18 200 000
2025-03-18,11:05:51,17500000,+0.57%,16 600 000,18 300 000
2025-03-18,13:07:55,18100000,+3.43%,17 100 000,19 000 000
2025-03-18,15:09:42,18300000,+1.1%,17 300 000,19 200 000
2025-03-18,17:08:56,18200000,-0.55%,17 200 000,19 100 000
2025-03-18,20:09:49,18300000,+0.55%,17 300 000,19 200 000
2025-03-18,21:59:59,18200000,-0.55%,17200000,19100000
2025-03-18,23:02:31,18200000,-0.55%,17 200 000,19 100 000
2025-03-18,23:06:00,18200000,-0.55%,17 200 000,19 100 000
2025-03-19,16:38:03,18100000,+1.12%,17 100 000,19 000 000
2025-03-19,17:05:42,18100000,+1.12%,17 100 000,19 000 000
2025-03-19,19:05:45,17800000,-1.66%,16 900 000,18 600 000
2025-03-19,19:13:46,17800000,-1.66%,16 900 000,18 600 000
2025-03-19,19:24:15,17800000,-1.66%,16 900 000,18 600 000
2025-03-19,19:38:26,17900000,+0.56%,17 000 000,18 700 000
2025-03-19,19:49:05,17900000,+0.56%,17 000 000,18 700 000
2025-03-19,22:14:25,18000000,+0.56%,17 100 000,18 900 000
2025-03-19,23:05:44,18000000,+0.56%,17 100 000,18 900 000
2025-03-20,08:16:34,18600000,+2.76%,17 600 000,19 500 000
2025-03-20,09:05:42,18600000,+2.76%,17 600 000,19 500 000
2025-03-20,12:26:17,18600000,+2.76%,17 600 000,19 500 000
2025-03-20,13:05:43,18600000,+2.76%,17 600 000,19 500 000
2025-03-20,13:52:37,18600000,+2.76%,17 600 000,19 500 000
2025-03-20,15:05:44,18600000,+2.76%,17 600 000,19 500 000
2025-03-20,17:05:46,18600000,+2.76%,17 600 000,19 500 000
2025-03-21,01:10:23,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,03:56:38,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,12:15:19,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,12:23:09,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,13:05:50,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,13:42:47,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,15:05:51,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,17:05:51,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,19:05:51,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,21:05:51,15000000,-19.35%,14 200 000,15 700 000
2025-03-21,23:18:19,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,01:05:49,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,05:06:03,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,07:05:46,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,11:20:53,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,13:18:54,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,15:05:49,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,17:05:50,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,19:05:51,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,21:05:52,15000000,-19.35%,14 200 000,15 700 000
2025-03-22,23:05:50,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,01:24:30,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,04:09:29,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,06:49:32,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,07:09:10,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,09:10:01,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,11:26:49,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,13:05:49,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,15:05:49,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,17:37:42,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,19:18:16,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,21:05:55,15000000,-19.35%,14 200 000,15 700 000
2025-03-23,23:05:50,15000000,-19.35%,14 200 000,15 700 000
2025-03-24,01:05:49,15000000,-19.35%,14 200 000,15 700 000
2025-03-24,03:42:53,15000000,-19.35%,14 200 000,15 700 000
2025-03-24,07:38:00,15000000,-19.35%,14 200 000,15 700 000
2025-03-24,10:34:22,15100000,+0.67%,14 300 000,15 800 000
2025-03-24,11:05:51,15100000,+0.67%,14 300 000,15 800 000
2025-03-24,13:03:43,15000000,-0.66%,14 200 000,15 700 000
2025-03-24,13:05:45,15000000,-0.66%,14 200 000,15 700 000
2025-03-24,17:03:38,15000000,-0.66%,14 200 000,15 700 000
2025-03-24,17:05:46,15000000,-0.66%,14 200 000,15 700 000
2025-03-24,19:05:46,15100000,+0.67%,14 300 000,15 800 000
2025-03-24,21:05:47,15100000,+0.67%,14 300 000,15 800 000
2025-03-24,23:05:47,15000000,-0.66%,14 200 000,15 700 000
2025-03-25,04:01:16,15100000,+0.67%,14 300 000,15 800 000
2025-03-25,06:13:58,15100000,+0.67%,14 300 000,15 800 000
2025-03-25,07:27:44,15100000,+0.67%,14 300 000,15 800 000
2025-03-25,10:51:20,15000000,-0.66%,14 200 000,15 700 000
2025-03-25,11:05:44,15000000,-0.66%,14 200 000,15 700 000
2025-03-25,13:05:46,15100000,+0.67%,14 300 000,15 800 000
2025-03-25,15:05:48,15000000,-0.66%,14 200 000,15 700 000
2025-03-25,17:05:47,15000000,-0.66%,14 200 000,15 700 000
