Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-08,23:43:23,217000000,+0.93%,206000000,227000000
2025-03-09,01:05:46,217000000,+0.93%,206000000,227000000
2025-03-09,03:05:46,209000000,-1.88%,198000000,219000000
2025-03-09,05:05:47,208000000,-0.48%,197000000,218000000
2025-03-09,07:05:57,208000000,-0.48%,197000000,218000000
2025-03-09,09:05:46,208000000,-0.48%,197000000,218000000
2025-03-09,11:05:45,217000000,+2.36%,206000000,227000000
2025-03-09,13:05:45,217000000,+2.36%,206000000,227000000
2025-03-09,14:53:56,219000000,+0.92%,208000000,229000000
2025-03-09,16:55:56,219000000,+0.92%,208000000,229000000
2025-03-09,18:28:27,219000000,+0.92%,208000000,229000000
2025-03-09,18:58:03,219000000,+0.92%,208000000,229000000
2025-03-09,21:05:43,221000000,+0.91%,209000000,232000000
2025-03-09,23:04:09,224000000,+1.36%,212000000,235000000
2025-03-10,10:57:24,214000000,+1.9%,203000000,224000000
2025-03-10,12:55:03,218000000,+1.87%,207000000,228000000
2025-03-10,14:55:00,221000000,+1.38%,209000000,232000000
2025-03-10,17:05:44,225000000,+1.81%,213000000,236000000
2025-03-10,18:53:56,232000000,+3.11%,220000000,243000000
2025-03-10,21:02:07,233000000,+0.43%,221000000,244000000
2025-03-10,23:04:47,229000000,-1.72%,217000000,240000000
2025-03-11,01:17:10,228000000,+0.44%,216000000,239000000
2025-03-11,03:05:47,228000000,+0.44%,216000000,239000000
2025-03-11,05:03:58,224000000,-2.18%,212000000,235000000
2025-03-11,07:05:49,224000000,-2.18%,212000000,235000000
2025-03-11,09:07:04,210000000,-2.78%,199000000,220000000
2025-03-11,11:02:02,211000000,+0.48%,200000000,221000000
2025-03-11,15:48:31,218000000,+0.93%,207000000,228000000
2025-03-11,16:52:22,218000000,+0.93%,207000000,228000000
2025-03-11,16:54:24,218000000,+0.93%,207000000,228000000
2025-03-11,18:55:40,214000000,-1.83%,203000000,224000000
2025-03-11,20:57:59,215000000,+0.47%,204000000,225000000
2025-03-11,22:56:39,222000000,+3.26%,210000000,233000000
2025-03-12,01:01:46,228000000,+2.7%,216000000,239000000
2025-03-12,03:03:38,222000000,-2.63%,210000000,233000000
2025-03-12,05:05:53,217000000,-2.25%,206000000,227000000
2025-03-12,07:05:49,214000000,-1.38%,203000000,224000000
2025-03-12,09:05:47,212000000,-0.93%,201000000,222000000
