Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:00:12,434000000,+2.12%,412000000,455000000
2025-04-07,00:03:07,434000000,+2.12%,412000000,455000000
2025-04-07,08:04:59,415000000,-1.66%,394000000,435000000
2025-04-07,09:07:27,415000000,-1.66%,394000000,435000000
2025-04-07,09:40:59,421000000,+1.45%,399000000,442000000
2025-04-07,09:43:25,421000000,+1.45%,399000000,442000000
2025-04-07,11:06:29,421000000,+1.45%,399000000,442000000
2025-04-07,13:51:09,412000000,-0.24%,391000000,432000000
2025-04-07,15:07:11,412000000,-0.24%,391000000,432000000
2025-04-07,17:06:14,406000000,-1.46%,385000000,426000000
2025-04-07,18:20:22,401000000,-1.23%,380000000,421000000
2025-04-07,19:06:37,401000000,-1.23%,380000000,421000000
2025-04-07,21:06:41,419000000,+4.49%,398000000,439000000
2025-04-07,23:06:44,424000000,+1.19%,402000000,445000000
2025-04-08,01:06:48,435000000,+2.59%,413000000,456000000
2025-04-08,03:06:53,431000000,-0.92%,409000000,452000000
2025-04-08,05:07:08,451000000,+4.64%,428000000,473000000
2025-04-08,07:06:13,451000000,+4.64%,428000000,473000000
2025-04-08,09:07:16,434000000,-3.77%,412000000,455000000
2025-04-08,10:24:58,430000000,-0.92%,408000000,451000000
2025-04-08,11:07:36,430000000,-0.92%,408000000,451000000
2025-04-08,12:08:43,428000000,-0.47%,406000000,449000000
2025-04-08,12:57:02,428000000,-0.47%,406000000,449000000
2025-04-08,13:03:32,428000000,-0.47%,406000000,449000000
2025-04-08,13:07:12,428000000,-0.47%,406000000,449000000
2025-04-08,13:54:51,449000000,+4.91%,426000000,471000000
2025-04-08,15:07:16,449000000,+4.91%,426000000,471000000
2025-04-08,18:08:13,426000000,0%,404000000,447000000
2025-04-08,19:06:40,426000000,0%,404000000,447000000
2025-04-08,23:37:02,421000000,0%,399000000,442000000
2025-04-09,01:07:09,421000000,0%,399000000,442000000
2025-04-09,03:06:12,425000000,0%,403000000,446000000
2025-04-09,05:06:16,424000000,0%,402000000,445000000
2025-04-09,07:06:20,426000000,0%,404000000,447000000
2025-04-09,09:50:16,425000000,0%,403000000,446000000
2025-04-09,10:37:36,425000000,0%,403000000,446000000
2025-04-09,11:06:38,425000000,0%,403000000,446000000
2025-04-09,13:55:42,407000000,0%,386000000,427000000
2025-04-09,14:02:05,407000000,0%,386000000,427000000
2025-04-09,15:06:12,407000000,0%,386000000,427000000
2025-04-09,18:54:18,392000000,0%,372000000,411000000
2025-04-09,19:50:52,399000000,0%,379000000,418000000
2025-04-09,21:07:08,399000000,0%,379000000,418000000
2025-04-09,23:03:41,401000000,0%,380000000,421000000
2025-04-09,23:06:44,401000000,0%,380000000,421000000
2025-04-10,02:08:07,403000000,0%,382000000,423000000
2025-04-10,03:06:38,395000000,0%,375000000,414000000
2025-04-10,05:07:37,410000000,0%,389000000,430000000
2025-04-10,07:07:36,420000000,0%,399000000,440000000
2025-04-10,09:06:40,414000000,0%,393000000,434000000
2025-04-10,12:27:59,376000000,0%,357000000,394000000
2025-04-10,13:06:38,376000000,0%,357000000,394000000
2025-04-10,14:37:07,361000000,0%,342000000,379000000
2025-04-10,15:06:39,361000000,0%,342000000,379000000
2025-04-10,17:07:38,345000000,0%,327000000,362000000
2025-04-10,19:06:41,338000000,0%,321000000,354000000
2025-04-10,21:06:46,343000000,0%,325000000,360000000
2025-04-10,23:01:23,347000000,0%,329000000,364000000
2025-04-10,23:06:38,347000000,0%,329000000,364000000
2025-04-11,01:06:43,353000000,0%,335000000,370000000
2025-04-11,03:07:38,359000000,0%,341000000,376000000
2025-04-11,05:06:42,350000000,0%,332000000,367000000
2025-04-11,07:06:46,346000000,0%,328000000,363000000
2025-04-11,09:07:48,355000000,0%,337000000,372000000
2025-04-11,11:07:06,352000000,0%,334000000,369000000
2025-04-11,13:06:10,345000000,0%,327000000,362000000
2025-04-11,15:06:14,342000000,0%,324000000,359000000
2025-04-11,17:07:15,335000000,0%,318000000,351000000
2025-04-11,19:06:20,345000000,0%,327000000,362000000
2025-04-11,21:06:23,347000000,0%,329000000,364000000
2025-04-11,23:07:27,360000000,0%,342000000,377000000
2025-04-12,01:06:31,360000000,0%,342000000,377000000
2025-04-12,03:06:35,362000000,0%,343000000,380000000
2025-04-12,05:06:39,370000000,0%,351000000,388000000
2025-04-12,07:07:44,385000000,0%,365000000,404000000
2025-04-12,09:07:04,368000000,0%,349000000,386000000
2025-04-12,11:07:10,354000000,0%,336000000,371000000
2025-04-12,13:07:13,346000000,0%,328000000,363000000
2025-04-12,15:06:17,339000000,0%,322000000,355000000
2025-04-12,17:06:21,343000000,0%,325000000,360000000
2025-04-12,19:06:26,349000000,0%,331000000,366000000
2025-04-12,21:06:29,348000000,0%,330000000,365000000
2025-04-12,23:06:34,360000000,0%,342000000,377000000
2025-04-13,11:59:09,351000000,0%,333000000,368000000
2025-04-13,14:01:43,340000000,0%,323000000,356000000
2025-04-13,15:07:50,340000000,0%,323000000,356000000
2025-04-13,17:06:58,335000000,0%,318000000,351000000
2025-04-13,19:07:41,342000000,0%,324000000,359000000
2025-04-13,21:07:43,337000000,0%,320000000,353000000
2025-04-13,23:07:42,339000000,0%,322000000,355000000
2025-04-14,01:07:25,349000000,0%,331000000,366000000
2025-04-14,03:06:33,352000000,0%,334000000,369000000
2025-04-14,05:07:40,347000000,0%,329000000,364000000
2025-04-14,06:27:06,345000000,0%,327000000,362000000
2025-04-14,07:07:03,345000000,0%,327000000,362000000
2025-04-14,09:07:28,336000000,0%,319000000,352000000
2025-04-14,10:01:39,334000000,0%,317000000,350000000
2025-04-14,10:36:39,334000000,0%,317000000,350000000
2025-04-14,12:56:41,339000000,0%,322000000,355000000
2025-04-14,13:11:20,339000000,0%,322000000,355000000
2025-04-14,15:06:27,340000000,0%,323000000,356000000
2025-04-14,16:08:01,336000000,0%,319000000,352000000
2025-04-14,17:06:43,336000000,0%,319000000,352000000
2025-04-14,19:08:08,332000000,0%,315000000,348000000
2025-04-15,09:09:07,331000000,0%,314000000,347000000
2025-04-15,09:16:48,331000000,0%,314000000,347000000
2025-04-15,11:07:23,314000000,0%,298000000,329000000
2025-04-15,13:06:54,303000000,0%,287000000,318000000
2025-04-15,14:10:14,315000000,0%,299000000,330000000
2025-04-15,14:36:48,315000000,0%,299000000,330000000
2025-04-15,15:06:52,315000000,0%,299000000,330000000
2025-04-15,16:03:09,318000000,0%,302000000,333000000
2025-04-15,17:06:16,318000000,0%,302000000,333000000
2025-04-15,19:07:24,323000000,0%,306000000,339000000
2025-04-15,21:07:10,333000000,0%,316000000,349000000
2025-04-15,23:06:18,337000000,0%,320000000,353000000
2025-04-16,01:06:25,341000000,0%,323000000,358000000
2025-04-16,03:07:33,348000000,0%,330000000,365000000
2025-04-16,05:07:39,330000000,0%,313000000,346000000
2025-04-16,07:07:06,330000000,0%,313000000,346000000
2025-04-16,09:06:24,323000000,0%,306000000,339000000
2025-04-16,11:07:18,321000000,0%,304000000,337000000
2025-04-16,12:29:16,309000000,0%,293000000,324000000
2025-04-16,13:07:07,315000000,0%,299000000,330000000
2025-04-16,13:17:18,315000000,0%,299000000,330000000
2025-04-16,15:07:23,315000000,0%,299000000,330000000
2025-04-16,17:18:28,323000000,0%,306000000,339000000
2025-04-16,19:07:11,324000000,0%,307000000,340000000
2025-04-16,21:06:19,325000000,0%,308000000,341000000
2025-04-16,23:07:24,324000000,0%,307000000,340000000
2025-04-17,01:06:33,335000000,0%,318000000,351000000
2025-04-17,03:07:41,351000000,0%,333000000,368000000
2025-04-17,05:07:13,334000000,0%,317000000,350000000
2025-04-17,07:08:45,321000000,0%,304000000,337000000
2025-04-17,09:07:52,304000000,0%,288000000,319000000
2025-04-17,09:44:59,304000000,0%,288000000,319000000
2025-04-17,10:20:46,304000000,0%,288000000,319000000
2025-04-17,11:07:30,288000000,0%,273000000,302000000
2025-04-18,13:03:12,279000000,0%,265000000,292000000
2025-04-18,13:26:45,279000000,0%,265000000,292000000
2025-04-18,13:42:27,279000000,0%,265000000,292000000
2025-04-18,17:19:01,288000000,0%,273000000,302000000
2025-04-18,18:44:22,301000000,0%,285000000,316000000
2025-04-18,19:06:37,301000000,0%,285000000,316000000
2025-04-19,06:05:08,293000000,0%,278000000,307000000
2025-04-19,07:06:27,290000000,0%,275000000,304000000
2025-04-19,11:40:44,288000000,0%,273000000,302000000
2025-04-19,13:08:32,288000000,0%,273000000,302000000
2025-04-19,13:36:40,288000000,0%,273000000,302000000
2025-04-19,14:08:28,290000000,0%,275000000,304000000
2025-04-19,14:25:31,290000000,0%,275000000,304000000
2025-04-19,15:06:44,290000000,0%,275000000,304000000
2025-04-19,16:27:29,290000000,0%,275000000,304000000
2025-04-19,17:03:58,298000000,0%,283000000,312000000
2025-04-19,17:08:41,298000000,0%,283000000,312000000
2025-04-19,17:36:52,298000000,0%,283000000,312000000
2025-04-19,17:48:58,298000000,0%,283000000,312000000
2025-04-19,18:33:26,298000000,0%,283000000,312000000
2025-04-19,18:48:27,298000000,0%,283000000,312000000
2025-04-19,19:05:36,298000000,0%,283000000,312000000
2025-04-20,07:23:08,297000000,0%,282000000,311000000
2025-04-20,17:07:14,299000000,0%,284000000,313000000
2025-04-20,19:05:33,299000000,0%,284000000,313000000
2025-04-20,19:20:53,299000000,0%,284000000,313000000
2025-04-21,07:09:59,303000000,0%,287000000,318000000
2025-04-21,09:06:19,295000000,0%,280000000,309000000
2025-04-21,11:05:38,291000000,0%,276000000,305000000
2025-04-21,13:39:01,287000000,0%,272000000,301000000
2025-04-21,15:06:22,287000000,0%,272000000,301000000
2025-04-21,17:05:43,294000000,0%,279000000,308000000
2025-04-21,19:06:03,294000000,0%,279000000,308000000
2025-04-21,21:06:21,307000000,0%,291000000,322000000
2025-04-21,23:05:40,305000000,0%,289000000,320000000
2025-04-22,01:05:58,305000000,0%,289000000,320000000
2025-04-22,03:06:17,303000000,0%,287000000,318000000
2025-04-22,05:05:36,307000000,0%,291000000,322000000
2025-04-22,05:06:39,307000000,0%,291000000,322000000
2025-04-22,07:05:57,307000000,0%,291000000,322000000
2025-04-22,09:06:15,290000000,0%,275000000,304000000
2025-04-22,11:05:37,287000000,0%,272000000,301000000
2025-04-22,11:06:44,287000000,0%,272000000,301000000
2025-04-22,13:06:03,287000000,0%,272000000,301000000
2025-04-22,15:06:25,289000000,0%,274000000,303000000
2025-04-22,17:05:45,289000000,0%,274000000,303000000
2025-04-22,19:06:03,290000000,0%,275000000,304000000
2025-04-22,21:06:22,299000000,0%,284000000,313000000
2025-04-22,23:05:40,299000000,0%,284000000,313000000
2025-04-23,01:05:59,297000000,0%,282000000,311000000
2025-04-23,03:06:18,305000000,0%,289000000,320000000
2025-04-23,05:05:37,305000000,0%,289000000,320000000
2025-04-23,07:06:05,300000000,0%,285000000,315000000
2025-04-23,09:05:25,300000000,0%,285000000,315000000
2025-04-23,09:06:27,300000000,0%,285000000,315000000
2025-04-23,11:05:47,292000000,0%,277000000,306000000
2025-04-23,13:06:06,292000000,0%,277000000,306000000
2025-04-24,11:44:32,299000000,0%,284000000,313000000
2025-04-24,13:30:33,288000000,0%,273000000,302000000
2025-04-24,15:05:51,288000000,0%,273000000,302000000
2025-04-24,17:06:12,299000000,0%,284000000,313000000
2025-04-24,19:05:31,299000000,0%,284000000,313000000
2025-04-24,19:06:34,299000000,0%,284000000,313000000
2025-04-24,21:05:53,307000000,0%,291000000,322000000
2025-04-24,23:06:12,307000000,0%,291000000,322000000
2025-04-25,01:05:31,318000000,0%,302000000,333000000
2025-04-25,01:06:34,318000000,0%,302000000,333000000
2025-04-25,03:05:52,321000000,0%,304000000,337000000
2025-04-25,05:06:11,321000000,0%,304000000,337000000
2025-04-25,07:05:30,315000000,0%,299000000,330000000
2025-04-25,07:06:34,315000000,0%,299000000,330000000
2025-04-25,09:05:53,315000000,0%,299000000,330000000
2025-04-25,11:06:12,313000000,0%,297000000,328000000
2025-04-25,13:05:30,313000000,0%,297000000,328000000
2025-04-25,13:06:33,313000000,0%,297000000,328000000
2025-04-26,07:10:52,336000000,0%,319000000,352000000
2025-04-26,09:16:21,336000000,0%,319000000,352000000
2025-04-26,11:56:06,336000000,0%,319000000,352000000
2025-04-26,13:16:13,336000000,0%,319000000,352000000
2025-04-26,15:27:41,336000000,0%,319000000,352000000
2025-04-26,17:28:40,336000000,0%,319000000,352000000
