Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-03,18:27:02,79000000,+0.25%,75000000,82900000
2025-03-03,19:02:08,79000000,+0.25%,75000000,82900000
2025-03-03,21:06:08,79600000,+0.76%,75600000,83500000
2025-03-03,22:57:10,80900000,+1.63%,76800000,84900000
2025-03-03,23:04:08,80900000,+1.63%,76800000,84900000
2025-03-04,01:04:09,82200000,+1.61%,78000000,86300000
2025-03-04,03:04:08,82500000,+0.36%,78300000,86600000
2025-03-04,05:04:09,82500000,+0.36%,78300000,86600000
2025-03-04,07:04:09,83600000,+1.33%,79400000,87700000
2025-03-04,09:04:10,79600000,-4.78%,75600000,83500000
2025-03-04,11:02:10,75900000,-4.65%,72100000,79600000
2025-03-04,13:02:11,75500000,-0.53%,71700000,79200000
2025-03-04,15:02:09,76600000,+1.46%,72700000,80400000
2025-03-04,17:02:11,76400000,-0.26%,72500000,80200000
2025-03-05,11:09:30,73100000,-0.27%,69400000,76700000
2025-03-05,13:49:10,75700000,+2.02%,71900000,79400000
2025-03-05,13:54:51,75700000,+2.02%,71900000,79400000
2025-03-05,14:11:10,75700000,+2.02%,71900000,79400000
2025-03-05,15:02:10,75700000,+2.02%,71900000,79400000
2025-03-05,17:02:08,75900000,+0.26%,72100000,79600000
2025-03-05,17:04:27,75900000,+0.26%,72100000,79600000
2025-03-05,19:02:08,77000000,+1.45%,73100000,80800000
2025-03-05,21:32:52,78000000,+1.3%,74100000,81900000
2025-03-05,23:04:13,78800000,+1.03%,74800000,82700000
2025-03-06,01:04:13,80000000,+1.52%,76000000,84000000
2025-03-06,08:51:04,79000000,-2.59%,75000000,82900000
2025-03-06,09:04:08,79000000,-2.59%,75000000,82900000
2025-03-06,13:28:37,73500000,-4.67%,69800000,77100000
2025-03-06,17:02:09,71100000,+0.28%,67500000,74600000
2025-03-06,17:42:20,70800000,-0.42%,67200000,74300000
2025-03-06,18:58:24,70800000,-0.42%,67200000,74300000
2025-03-06,19:02:12,70800000,-0.42%,67200000,74300000
2025-03-06,21:04:08,71200000,+0.56%,67600000,74700000
2025-03-06,23:46:59,69600000,+0.43%,66100000,73000000
2025-03-07,08:56:16,70100000,-1.13%,66500000,73600000
2025-03-07,09:02:04,70100000,-1.13%,66500000,73600000
2025-03-07,11:02:04,69500000,-0.86%,66000000,72900000
2025-03-07,11:16:26,69500000,-0.86%,66000000,72900000
2025-03-07,11:50:07,70200000,+1.01%,66600000,73700000
2025-03-07,13:04:12,70200000,+1.01%,66600000,73700000
2025-03-07,15:02:18,71900000,+2.42%,68300000,75400000
2025-03-07,17:52:58,73000000,+0.97%,69300000,76600000
2025-03-07,19:02:10,73000000,+0.97%,69300000,76600000
2025-03-07,19:09:17,73000000,+0.97%,69300000,76600000
2025-03-07,23:52:38,76300000,+1.33%,72400000,80100000
2025-03-08,01:05:55,76300000,+1.33%,72400000,80100000
2025-03-08,03:04:07,76800000,+0.66%,72900000,80600000
2025-03-08,05:02:07,77200000,+0.52%,73300000,81000000
2025-03-08,07:02:08,77000000,-0.26%,73100000,80800000
2025-03-08,09:04:15,76900000,-0.13%,73000000,80700000
2025-03-08,11:04:07,75900000,-1.3%,72100000,79600000
2025-03-08,13:04:15,76700000,+1.05%,72800000,80500000
2025-03-08,15:04:07,78800000,+2.74%,74800000,82700000
2025-03-08,17:04:07,80200000,+1.78%,76100000,84200000
2025-03-08,19:04:06,82100000,+2.37%,77900000,86200000
2025-03-08,21:16:27,84200000,+2.56%,79900000,88400000
2025-03-08,23:04:21,85600000,+1.66%,81300000,89800000
2025-03-08,23:41:46,85600000,+1.66%,81300000,89800000
2025-03-09,01:16:20,87100000,+1.75%,82700000,91400000
2025-03-09,03:16:10,87800000,+0.8%,83400000,92100000
2025-03-09,05:46:31,89000000,+0.45%,84500000,93400000
2025-03-09,07:16:31,89000000,+0.45%,84500000,93400000
2025-03-09,09:18:16,89600000,+0.67%,85100000,94000000
2025-03-09,11:16:11,88000000,-1.79%,83600000,92300000
2025-03-09,13:14:46,89300000,+0.68%,84800000,93700000
2025-03-09,15:02:25,89300000,+0.68%,84800000,93700000
2025-03-09,17:02:44,91600000,+2.58%,87000000,96100000
2025-03-09,18:27:06,92100000,+0.55%,87400000,96700000
2025-03-09,19:04:20,92100000,+0.55%,87400000,96700000
2025-03-09,21:16:22,95100000,+1.28%,90300000,99800000
2025-03-09,23:14:41,95100000,+1.28%,90300000,99800000
2025-03-10,10:56:03,93100000,-0.85%,88400000,97700000
2025-03-10,11:02:41,93100000,-0.85%,88400000,97700000
2025-03-10,14:23:24,93600000,+0.54%,88900000,98200000
2025-03-10,15:04:17,93600000,+0.54%,88900000,98200000
2025-03-10,17:27:12,92800000,-0.85%,88100000,97400000
2025-03-10,19:04:16,92600000,-0.22%,87900000,97200000
2025-03-10,21:02:57,92500000,-0.11%,87800000,97100000
2025-03-10,23:13:08,92800000,+0.32%,88100000,97400000
2025-03-11,01:31:42,93000000,+0.22%,88300000,97600000
2025-03-11,03:16:18,93600000,+0.65%,88900000,98200000
2025-03-11,05:22:41,93900000,+0.32%,89200000,98500000
2025-03-11,07:16:27,95000000,+1.17%,90200000,99700000
2025-03-11,09:17:34,95000000,+1.17%,90200000,99700000
2025-03-11,11:02:25,93700000,-1.37%,89000000,98300000
2025-03-11,15:47:12,91100000,-0.65%,86500000,95600000
2025-03-11,16:50:37,91100000,-0.65%,86500000,95600000
2025-03-11,17:04:07,91100000,-0.65%,86500000,95600000
2025-03-11,19:03:29,93700000,+2.85%,89000000,98300000
2025-03-11,21:04:36,95500000,+1.92%,90700000,100000000
2025-03-11,23:04:26,96300000,+0.84%,91400000,101000000
2025-03-12,01:02:16,98000000,+1.77%,93100000,102000000
2025-03-12,03:14:29,96700000,-1.33%,91800000,101000000
2025-03-12,05:16:24,96100000,-0.62%,91200000,100000000
2025-03-12,07:16:23,94400000,-1.77%,89600000,99100000
2025-03-12,09:09:31,94900000,+0.53%,90100000,99600000
2025-03-12,11:02:10,94700000,-0.21%,89900000,99400000
2025-03-12,13:04:08,96100000,+1.48%,91200000,100000000
2025-03-12,15:00:14,96100000,+1.48%,91200000,100000000
2025-03-12,15:09:58,96100000,+1.48%,91200000,100000000
2025-03-12,17:02:09,95900000,-0.21%,91100000,100000000
2025-03-12,19:16:24,97400000,+1.88%,92500000,102000000
2025-03-12,19:19:21,97400000,+1.88%,92500000,102000000
2025-03-12,21:04:08,97400000,+1.88%,92500000,102000000
2025-03-12,23:04:25,100000000,+2.67%,95000000,104000000
2025-03-13,01:36:07,98300000,+0.31%,93300000,103000000
2025-03-13,03:20:41,98300000,+0.31%,93300000,103000000
2025-03-13,05:16:25,99200000,+0.92%,94200000,104000000
2025-03-13,07:22:22,100000000,+0.81%,95000000,104000000
2025-03-13,09:17:24,99900000,-0.1%,94900000,104000000
2025-03-13,11:18:20,98500000,-1.4%,93500000,103000000
2025-03-13,13:14:33,97300000,-2.31%,92400000,102000000
2025-03-13,15:18:19,97300000,-2.31%,92400000,102000000
2025-03-13,17:02:10,97600000,+0.31%,92 700 000,102 000 000
2025-03-14,19:01:55,75600000,-2.2%,71 800 000,79 300 000
2025-03-14,21:01:55,75600000,-2.2%,71 800 000,79 300 000
2025-03-14,23:01:55,76900000,+1.72%,73 000 000,80 700 000
2025-03-14,01:01:55,75700000,-1.56%,71 900 000,79 400 000
2025-03-15,03:01:55,75900000,+0.26%,72 100 000,79 600 000
2025-03-15,05:01:55,73400000,-3.29%,69 700 000,77 000 000
2025-03-15,07:01:55,73000000,-0.54%,69 300 000,76 600 000
2025-03-15,09:01:55,70200000,-3.44%,66 600 000,73 700 000
2025-03-15,11:01:55,70200000,-3.44%,66 600 000,73 700 000
2025-03-15,13:01:55,69100000,-1.57%,65 600 000,72 500 000
2025-03-15,13:27:08,68400000,-1.01%,64 900 000,71 800 000
2025-03-15,15:16:30,67000000,-2.05%,63 600 000,70 300 000
2025-03-15,17:16:19,66400000,-0.9%,63 000 000,69 700 000
2025-03-15,19:04:23,66600000,+0.3%,63 200 000,69 900 000
2025-03-15,21:14:49,66700000,+0.15%,63 300 000,70 000 000
2025-03-15,23:04:13,66900000,+0.3%,63 500 000,70 200 000
2025-03-16,01:17:59,66900000,+0.3%,63 500 000,70 200 000
2025-03-16,03:16:18,67500000,+0.9%,64 100 000,70 800 000
2025-03-16,05:18:43,68000000,+0.74%,64 600 000,71 400 000
2025-03-16,07:22:54,67700000,-0.44%,64 300 000,71 000 000
2025-03-16,09:18:26,67800000,+0.15%,64 400 000,71 100 000
2025-03-16,11:08:33,67500000,-0.44%,64 100 000,70 800 000
2025-03-16,13:01:55,67900000,+0.59%,64 500 000,71 200 000
2025-03-16,14:45:15,68400000,+0.74%,64 900 000,71 800 000
2025-03-16,15:16:28,68400000,+0.74%,64 900 000,71 800 000
2025-03-16,17:16:29,68400000,+0.74%,64 900 000,71 800 000
2025-03-16,19:16:29,69700000,+1.9%,66 200 000,73 100 000
2025-03-16,23:08:01,70800000,+1.58%,67 200 000,74 300 000
2025-03-17,01:12:16,69900000,-1.27%,66 400 000,73 300 000
2025-03-17,03:23:35,69500000,-0.57%,66 000 000,72 900 000
2025-03-17,05:08:32,68800000,-1.01%,65 300 000,72 200 000
2025-03-17,07:50:42,69200000,-2.67%,65 700 000,72 600 000
2025-03-17,09:08:12,69200000,-2.67%,65 700 000,72 600 000
2025-03-17,10:50:03,69300000,+0.14%,65 800 000,72 700 000
2025-03-17,11:02:19,69300000,+0.14%,65 800 000,72 700 000
2025-03-17,13:02:09,69600000,+0.43%,66 100 000,73 000 000
2025-03-17,15:02:10,67100000,-3.59%,63 700 000,70 400 000
2025-03-17,21:23:55,66900000,+0.3%,63 500 000,70 200 000
2025-03-17,23:02:09,66900000,+0.3%,63 500 000,70 200 000
2025-03-18,01:16:15,67300000,+0.6%,63 900 000,70 600 000
2025-03-18,03:16:08,66000000,-1.93%,62 700 000,69 300 000
2025-03-18,05:16:14,64900000,-1.67%,61 600 000,68 100 000
