Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-07,11:50:35,2000000000,+4.71%,1900000000,2090000000
2025-03-07,13:06:09,2000000000,+4.71%,1900000000,2090000000
2025-03-07,15:05:44,1980000000,-1%,1880000000,2070000000
2025-03-07,17:53:31,2100000000,+1.45%,1990000000,2200000000
2025-03-07,19:06:56,2100000000,+1.45%,1990000000,2200000000
2025-03-07,19:09:45,2100000000,+1.45%,1990000000,2200000000
2025-03-07,23:53:17,2090000000,-5%,1980000000,2190000000
2025-03-08,01:16:16,2090000000,-5%,1980000000,2190000000
2025-03-08,03:10:52,2090000000,-5%,1980000000,2190000000
2025-03-08,05:16:09,1980000000,-5.26%,1880000000,2070000000
2025-03-08,07:16:14,1880000000,-5.05%,1780000000,1970000000
2025-03-08,09:14:41,1970000000,+4.79%,1870000000,2060000000
2025-03-08,11:14:33,2000000000,+1.52%,1900000000,2090000000
2025-03-08,13:14:43,2090000000,+4.5%,1980000000,2190000000
2025-03-08,15:14:32,2100000000,+0.48%,1990000000,2200000000
2025-03-08,17:14:32,2100000000,+0.48%,1990000000,2200000000
2025-03-08,19:14:33,2100000000,+0.48%,1990000000,2200000000
2025-03-08,21:14:06,2200000000,+4.76%,2090000000,2300000000
2025-03-08,23:14:49,2300000000,+4.55%,2180000000,2410000000
2025-03-08,23:42:22,2300000000,+4.55%,2180000000,2410000000
2025-03-09,01:24:41,2300000000,+4.55%,2180000000,2410000000
2025-03-09,03:24:32,2300000000,+4.55%,2180000000,2410000000
2025-03-09,05:22:36,2300000000,+4.55%,2180000000,2410000000
2025-03-09,07:26:58,2180000000,-5.22%,2070000000,2280000000
2025-03-09,09:26:36,2160000000,-0.92%,2050000000,2260000000
2025-03-09,11:24:31,2160000000,-0.92%,2050000000,2260000000
2025-03-09,13:23:07,1960000000,-4.39%,1860000000,2050000000
2025-03-09,15:09:37,1960000000,-4.39%,1860000000,2050000000
2025-03-09,17:06:11,1950000000,-0.51%,1850000000,2040000000
2025-03-09,18:27:43,1850000000,-5.13%,1750000000,1940000000
2025-03-09,19:14:46,1850000000,-5.13%,1750000000,1940000000
2025-03-09,21:24:43,1960000000,+4.81%,1860000000,2050000000
2025-03-09,23:20:57,1860000000,-5.1%,1760000000,1950000000
2025-03-10,10:56:38,1820000000,-1.62%,1720000000,1910000000
2025-03-10,11:20:02,1820000000,-1.62%,1720000000,1910000000
2025-03-10,14:23:49,1810000000,+2.26%,1710000000,1900000000
2025-03-10,15:11:30,1810000000,+2.26%,1710000000,1900000000
2025-03-10,17:22:53,1850000000,+2.21%,1750000000,1940000000
2025-03-10,19:16:50,1940000000,+4.86%,1840000000,2030000000
2025-03-10,21:13:29,1970000000,+1.55%,1870000000,2060000000
2025-03-10,23:18:48,1880000000,-4.57%,1780000000,1970000000
2025-03-11,01:38:03,1870000000,-0.53%,1770000000,1960000000
2025-03-11,03:39:55,1810000000,-3.21%,1710000000,1900000000
2025-03-11,05:28:58,1840000000,+1.66%,1740000000,1930000000
2025-03-11,07:24:48,1890000000,+2.72%,1790000000,1980000000
2025-03-11,09:28:07,1920000000,+1.59%,1820000000,2010000000
2025-03-11,11:24:12,2010000000,+4.69%,1900000000,2110000000
2025-03-11,15:47:47,2250000000,+4.17%,2130000000,2360000000
2025-03-11,16:51:05,2250000000,+4.17%,2130000000,2360000000
2025-03-11,17:11:28,2250000000,+4.17%,2130000000,2360000000
2025-03-11,19:10:39,2360000000,+4.89%,2240000000,2470000000
2025-03-11,21:17:10,2360000000,+4.89%,2240000000,2470000000
2025-03-11,23:12:48,2360000000,+4.89%,2240000000,2470000000
2025-03-12,01:18:09,2360000000,+4.89%,2240000000,2470000000
2025-03-12,03:18:58,2360000000,+4.89%,2240000000,2470000000
2025-03-12,05:26:53,2240000000,-5.08%,2120000000,2350000000
2025-03-12,07:22:42,2290000000,+2.23%,2170000000,2400000000
2025-03-12,09:09:57,2290000000,+2.23%,2170000000,2400000000
2025-03-12,11:16:02,2400000000,+4.8%,2280000000,2520000000
2025-03-12,13:05:45,2400000000,+4.8%,2280000000,2520000000
2025-03-12,15:02:13,2520000000,+5%,2390000000,2640000000
2025-03-12,15:11:29,2520000000,+5%,2390000000,2640000000
2025-03-12,17:12:03,2520000000,+5%,2390000000,2640000000
2025-03-12,19:19:48,2400000000,+0.42%,2280000000,2520000000
2025-03-12,21:14:51,2400000000,+0.42%,2280000000,2520000000
2025-03-12,23:14:54,2520000000,+5%,2390000000,2640000000
2025-03-13,01:46:29,2500000000,+4.6%,2370000000,2620000000
2025-03-13,03:29:04,2620000000,+4.8%,2480000000,2750000000
2025-03-13,05:24:46,2620000000,+4.8%,2480000000,2750000000
2025-03-13,07:32:43,2700000000,+3.05%,2560000000,2830000000
2025-03-13,09:25:45,2700000000,+3.05%,2560000000,2830000000
2025-03-13,11:26:41,2700000000,+3.05%,2560000000,2830000000
2025-03-13,13:20:52,2700000000,+3.05%,2560000000,2830000000
2025-03-13,15:26:39,2700000000,+3.05%,2560000000,2830000000
2025-03-13,17:10:59,2700000000,+3.05%,2 560 000 000,2 830 000 000
2025-03-14,19:05:26,2560000000,-5.19%,2 430 000 000,2 680 000 000
2025-03-14,21:05:26,2560000000,-5.19%,2 430 000 000,2 680 000 000
