Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-03,18:26:39,151000000,-0.66%,143000000,158000000
2025-03-03,19:02:02,151000000,-0.66%,143000000,158000000
2025-03-03,21:04:03,152000000,+0.66%,144000000,159000000
2025-03-03,22:56:53,158000000,+3.95%,150000000,165000000
2025-03-03,23:02:02,158000000,+3.95%,150000000,165000000
2025-03-04,01:02:03,158000000,+3.95%,150000000,165000000
2025-03-04,03:02:03,160000000,+1.27%,152000000,168000000
2025-03-04,05:02:03,158000000,-1.25%,150000000,165000000
2025-03-04,07:02:03,156000000,-1.27%,148000000,163000000
2025-03-04,09:02:03,148000000,-5.13%,140000000,155000000
2025-03-04,11:02:03,144000000,-2.7%,136000000,151000000
2025-03-04,13:02:02,146000000,+1.39%,138000000,153000000
2025-03-04,15:02:03,146000000,+1.39%,138000000,153000000
2025-03-04,17:02:03,147000000,+0.68%,139000000,154000000
2025-03-05,11:09:13,146000000,-3.31%,138000000,153000000
2025-03-05,13:48:52,147000000,+1.38%,139000000,154000000
2025-03-05,13:54:38,147000000,+1.38%,139000000,154000000
2025-03-05,14:10:53,147000000,+1.38%,139000000,154000000
2025-03-05,15:02:02,147000000,+1.38%,139000000,154000000
2025-03-05,17:02:01,147000000,+1.38%,139000000,154000000
2025-03-05,17:04:05,147000000,+1.38%,139000000,154000000
2025-03-05,19:02:01,148000000,+0.68%,140000000,155000000
2025-03-05,21:28:33,150000000,+1.35%,142000000,157000000
2025-03-05,23:02:03,150000000,+1.35%,142000000,157000000
2025-03-06,01:02:07,154000000,+2.67%,146000000,161000000
2025-03-06,08:50:42,154000000,-1.28%,146000000,161000000
2025-03-06,09:02:03,154000000,-1.28%,146000000,161000000
2025-03-06,13:28:10,139000000,-4.79%,132000000,145000000
2025-03-06,15:02:02,134000000,-3.6%,127000000,140000000
2025-03-06,17:02:03,130000000,-2.99%,123000000,136000000
2025-03-06,17:42:02,134000000,+3.08%,127000000,140000000
2025-03-06,18:58:08,134000000,+3.08%,127000000,140000000
2025-03-06,19:02:05,134000000,+3.08%,127000000,140000000
2025-03-06,21:02:03,137000000,+2.24%,130000000,143000000
2025-03-06,23:42:49,139000000,+0.72%,132000000,145000000
2025-03-07,01:02:02,139000000,+0.72%,132000000,145000000
2025-03-07,11:16:06,146000000,+2.1%,138000000,153000000
2025-03-07,11:49:30,146000000,+2.1%,138000000,153000000
2025-03-07,13:02:01,146000000,+2.1%,138000000,153000000
2025-03-07,15:02:07,143000000,-2.05%,135000000,150000000
2025-03-07,17:52:38,148000000,+2.78%,140000000,155000000
2025-03-07,19:02:03,148000000,+2.78%,140000000,155000000
2025-03-07,19:08:58,148000000,+2.78%,140000000,155000000
2025-03-07,23:52:15,154000000,+3.36%,146000000,161000000
2025-03-08,01:03:50,154000000,+3.36%,146000000,161000000
2025-03-08,03:02:02,154000000,+3.36%,146000000,161000000
2025-03-08,05:20:28,152000000,-1.3%,144000000,159000000
2025-03-08,07:27:43,150000000,-1.32%,142000000,157000000
2025-03-08,09:02:02,150000000,-1.32%,142000000,157000000
2025-03-08,11:02:02,151000000,+0.67%,143000000,158000000
2025-03-08,13:02:01,153000000,+1.32%,145000000,160000000
2025-03-08,15:02:02,159000000,+3.92%,151000000,166000000
2025-03-08,17:02:01,159000000,+3.92%,151000000,166000000
2025-03-08,19:02:02,162000000,+1.89%,153000000,170000000
2025-03-08,21:02:02,161000000,-0.62%,152000000,169000000
2025-03-08,23:02:02,166000000,+3.11%,157000000,174000000
2025-03-08,23:41:25,166000000,+3.11%,157000000,174000000
2025-03-09,01:14:15,163000000,-1.81%,154000000,171000000
2025-03-09,03:14:06,159000000,-2.45%,151000000,166000000
2025-03-09,05:14:09,159000000,-2.45%,151000000,166000000
2025-03-09,07:14:22,157000000,-1.26%,149000000,164000000
2025-03-09,09:16:11,158000000,+0.64%,150000000,165000000
2025-03-09,11:14:06,162000000,+2.53%,153000000,170000000
2025-03-09,13:27:21,165000000,+1.23%,156000000,173000000
2025-03-09,15:02:03,165000000,+1.23%,156000000,173000000
2025-03-09,17:02:03,163000000,-1.21%,154000000,171000000
2025-03-09,18:26:48,160000000,-1.84%,152000000,168000000
2025-03-09,19:02:02,160000000,-1.84%,152000000,168000000
2025-03-09,21:14:16,163000000,+1.88%,154000000,171000000
2025-03-09,23:12:35,163000000,+1.88%,154000000,171000000
2025-03-10,10:55:38,168000000,-2.89%,159000000,176000000
2025-03-10,11:02:03,168000000,-2.89%,159000000,176000000
2025-03-10,14:23:12,171000000,+2.4%,162000000,179000000
2025-03-10,15:02:03,171000000,+2.4%,162000000,179000000
2025-03-10,17:14:15,172000000,+0.58%,163000000,180000000
2025-03-10,19:02:02,172000000,+0.58%,163000000,180000000
2025-03-10,21:02:50,169000000,-1.74%,160000000,177000000
2025-03-10,23:13:02,164000000,-2.96%,155000000,172000000
2025-03-11,01:27:37,166000000,+1.22%,157000000,174000000
2025-03-11,03:14:14,165000000,-0.6%,156000000,173000000
2025-03-11,05:20:36,170000000,+3.03%,161000000,178000000
2025-03-11,07:14:22,167000000,-1.76%,158000000,175000000
2025-03-11,09:15:29,171000000,+2.4%,162000000,179000000
2025-03-11,11:02:21,164000000,-4.09%,155000000,172000000
2025-03-11,15:46:52,178000000,+2.89%,169000000,186000000
2025-03-11,16:50:19,178000000,+2.89%,169000000,186000000
2025-03-11,17:02:02,178000000,+2.89%,169000000,186000000
2025-03-11,19:02:02,180000000,+1.12%,171000000,188000000
2025-03-11,21:02:31,182000000,+1.11%,172000000,191000000
2025-03-11,23:02:03,182000000,+1.11%,172000000,191000000
2025-03-12,01:02:05,180000000,-1.1%,171000000,188000000
2025-03-12,03:31:58,179000000,-0.56%,170000000,187000000
2025-03-12,05:14:17,180000000,+0.56%,171000000,188000000
2025-03-12,07:14:17,180000000,+0.56%,171000000,188000000
2025-03-12,09:09:24,174000000,-3.33%,165000000,182000000
2025-03-12,11:33:09,173000000,-0.57%,164000000,181000000
2025-03-12,13:02:02,168000000,-2.89%,159000000,176000000
2025-03-12,14:59:46,169000000,+0.6%,160000000,177000000
2025-03-12,15:09:50,169000000,+0.6%,160000000,177000000
2025-03-12,17:02:02,172000000,+1.78%,163000000,180000000
2025-03-12,19:02:07,174000000,+1.16%,165000000,182000000
2025-03-12,19:19:06,176000000,+1.15%,167000000,184000000
2025-03-12,21:02:03,176000000,+1.15%,167000000,184000000
2025-03-12,23:02:01,173000000,-1.7%,164000000,181000000
2025-03-13,01:34:01,173000000,-1.7%,164000000,181000000
2025-03-13,03:18:36,174000000,+0.58%,165000000,182000000
2025-03-13,05:14:14,170000000,-2.3%,161000000,178000000
2025-03-13,07:18:16,165000000,-2.94%,156000000,173000000
2025-03-13,09:15:20,162000000,-1.82%,153000000,170000000
2025-03-13,11:16:16,153000000,-5.56%,145000000,160000000
2025-03-13,13:12:24,145000000,-0.68%,137000000,152000000
2025-03-13,15:16:14,145000000,-0.68%,137000000,152000000
