Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-15,09:17:35,31500000,0%,29900000,33000000
2025-04-15,10:00:33,31500000,0%,29900000,33000000
2025-04-15,13:07:35,29400000,0%,27900000,30800000
2025-04-15,14:00:27,29400000,0%,27900000,30800000
2025-04-15,14:11:50,29400000,0%,27900000,30800000
2025-04-15,14:37:25,29400000,0%,27900000,30800000
2025-04-15,16:03:44,29400000,0%,27900000,30800000
2025-04-15,18:00:25,29400000,0%,27900000,30800000
2025-04-15,20:00:30,27300000,0%,25900000,28600000
2025-04-15,22:00:35,26800000,0%,25400000,28100000
2025-04-16,00:00:43,26000000,0%,24700000,27200000
2025-04-16,02:00:11,25600000,0%,24300000,26800000
2025-04-16,04:00:47,26400000,0%,25000000,27700000
2025-04-16,06:00:26,27400000,0%,26000000,28700000
2025-04-16,08:00:33,28300000,0%,26800000,29700000
2025-04-16,10:00:10,29100000,0%,27600000,30500000
2025-04-16,12:00:30,29400000,0%,27900000,30800000
2025-04-16,12:29:55,29400000,0%,27900000,30800000
2025-04-16,13:18:52,29400000,0%,27900000,30800000
2025-04-16,14:00:27,29400000,0%,27900000,30800000
2025-04-16,15:59:58,29300000,0%,27800000,30700000
2025-04-16,17:19:05,29300000,0%,27800000,30700000
2025-04-16,18:00:29,28800000,0%,27300000,30200000
2025-04-16,20:00:35,28000000,0%,26600000,29300000
2025-04-16,21:59:44,27100000,0%,25700000,28400000
2025-04-17,00:00:08,26600000,0%,25200000,27900000
2025-04-17,02:00:43,26000000,0%,24700000,27200000
2025-04-17,04:00:24,26000000,0%,24700000,27200000
2025-04-17,07:09:26,28400000,0%,26900000,29800000
2025-04-17,08:00:35,28400000,0%,26900000,29800000
2025-04-17,09:45:39,29300000,0%,27800000,30700000
2025-04-17,10:21:27,29300000,0%,27800000,30700000
2025-04-18,13:28:35,33800000,0%,32100000,35400000
2025-04-18,17:20:57,33800000,0%,32100000,35400000
2025-04-18,18:46:28,33900000,0%,32200000,35500000
2025-04-19,06:07:22,31700000,0%,30100000,33200000
2025-04-19,07:59:26,33700000,0%,32000000,35300000
2025-04-19,11:45:41,34600000,0%,32800000,36300000
2025-04-19,11:59:59,34600000,0%,32800000,36300000
2025-04-19,13:11:16,34600000,0%,32800000,36300000
2025-04-19,13:39:58,34600000,0%,32800000,36300000
2025-04-19,14:10:32,34600000,0%,32800000,36300000
2025-04-19,14:29:51,35600000,0%,33800000,37300000
2025-04-19,15:59:43,35600000,0%,33800000,37300000
2025-04-19,16:29:15,35600000,0%,33800000,37300000
2025-04-19,17:06:27,35900000,0%,34100000,37600000
2025-04-19,17:37:49,35900000,0%,34100000,37600000
2025-04-19,17:49:49,35900000,0%,34100000,37600000
2025-04-19,18:34:10,35900000,0%,34100000,37600000
2025-04-19,18:49:07,35900000,0%,34100000,37600000
2025-04-19,19:59:18,34600000,0%,32800000,36300000
2025-04-20,07:23:48,35400000,0%,33600000,37100000
2025-04-20,07:57:57,35400000,0%,33600000,37100000
2025-04-20,08:13:06,35400000,0%,33600000,37100000
2025-04-20,17:07:47,38400000,0%,36400000,40300000
2025-04-20,17:59:03,38400000,0%,36400000,40300000
2025-04-21,07:12:01,37100000,0%,35200000,38900000
2025-04-21,07:59:04,38200000,0%,36200000,40100000
2025-04-21,09:59:24,38200000,0%,36200000,40100000
2025-04-21,11:58:59,38200000,0%,36200000,40100000
2025-04-21,13:59:16,38500000,0%,36500000,40400000
2025-04-21,15:58:42,38500000,0%,36500000,40400000
2025-04-21,15:59:46,38500000,0%,36500000,40400000
2025-04-21,17:59:04,38100000,0%,36100000,40000000
2025-04-21,19:59:22,37600000,0%,35700000,39400000
2025-04-21,21:58:40,37600000,0%,35700000,39400000
2025-04-21,21:59:43,37600000,0%,35700000,39400000
2025-04-21,23:59:00,36200000,0%,34300000,38000000
2025-04-22,01:59:18,36200000,0%,34300000,38000000
2025-04-22,03:58:36,35300000,0%,33500000,37000000
2025-04-22,03:59:38,35300000,0%,33500000,37000000
2025-04-22,05:58:56,37000000,0%,35100000,38800000
2025-04-22,07:59:14,37000000,0%,35100000,38800000
2025-04-22,09:59:32,38500000,0%,36500000,40400000
2025-04-22,11:58:51,38700000,0%,36700000,40600000
2025-04-22,13:59:09,38700000,0%,36700000,40600000
2025-04-22,15:59:32,38500000,0%,36500000,40400000
2025-04-22,17:58:50,38800000,0%,36800000,40700000
2025-04-22,19:59:08,38800000,0%,36800000,40700000
2025-04-22,21:59:25,36400000,0%,34500000,38200000
2025-04-22,23:58:43,35700000,0%,33900000,37400000
2025-04-22,23:59:46,35700000,0%,33900000,37400000
2025-04-23,01:59:04,35700000,0%,33900000,37400000
2025-04-23,03:59:21,35500000,0%,33700000,37200000
2025-04-23,06:22:19,35500000,0%,33700000,37200000
2025-04-23,07:58:38,37500000,0%,35600000,39300000
2025-04-23,07:59:42,37500000,0%,35600000,39300000
2025-04-23,09:59:01,37500000,0%,35600000,39300000
2025-04-23,11:59:19,37400000,0%,35500000,39200000
2025-04-23,13:58:36,36900000,0%,35000000,38700000
2025-04-23,13:59:39,36900000,0%,35000000,38700000
2025-04-24,11:43:45,36800000,0%,34900000,38600000
2025-04-24,11:59:02,36800000,0%,34900000,38600000
2025-04-24,13:59:21,36300000,0%,34400000,38100000
2025-04-24,15:58:39,36300000,0%,34400000,38100000
2025-04-24,15:59:42,36300000,0%,34400000,38100000
2025-04-24,17:59:02,36300000,0%,34400000,38100000
2025-04-24,19:59:21,35700000,0%,33900000,37400000
2025-04-24,21:58:40,35700000,0%,33900000,37400000
2025-04-24,21:59:43,35700000,0%,33900000,37400000
2025-04-24,23:59:01,34100000,0%,32300000,35800000
2025-04-25,01:59:20,34100000,0%,32300000,35800000
2025-04-25,03:58:38,34000000,0%,32300000,35700000
2025-04-25,03:59:41,34000000,0%,32300000,35700000
2025-04-25,05:59:00,34000000,0%,32300000,35700000
2025-04-25,07:59:19,34500000,0%,32700000,36200000
2025-04-25,09:58:38,34200000,0%,32400000,35900000
2025-04-25,09:59:41,34200000,0%,32400000,35900000
2025-04-25,11:59:01,34200000,0%,32400000,35900000
2025-04-25,13:59:19,33600000,0%,31900000,35200000
2025-04-26,07:18:31,32100000,0%,30400000,33700000
2025-04-26,08:06:18,32100000,0%,30400000,33700000
2025-04-26,10:10:24,32100000,0%,30400000,33700000
2025-04-26,11:59:35,32100000,0%,30400000,33700000
2025-04-26,14:02:29,32100000,0%,30400000,33700000
2025-04-26,16:07:51,32100000,0%,30400000,33700000
2025-04-26,18:00:57,32100000,0%,30400000,33700000
2025-04-26,19:59:27,32100000,0%,30400000,33700000
2025-04-26,22:00:31,32100000,0%,30400000,33700000
2025-04-26,23:59:14,32100000,0%,30400000,33700000
2025-04-27,02:02:54,32100000,0%,30400000,33700000
2025-04-27,04:00:05,32100000,0%,30400000,33700000
2025-04-27,05:59:53,32100000,0%,30400000,33700000
2025-04-27,08:00:05,32100000,0%,30400000,33700000
2025-04-27,10:01:32,32100000,0%,30400000,33700000
