Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-15,09:17:50,35800000,0%,34000000,37500000
2025-04-15,10:00:43,35800000,0%,34000000,37500000
2025-04-15,13:07:45,34500000,0%,32700000,36200000
2025-04-15,14:00:36,34500000,0%,32700000,36200000
2025-04-15,14:11:58,34500000,0%,32700000,36200000
2025-04-15,14:37:34,33800000,0%,32100000,35400000
2025-04-15,16:03:55,33800000,0%,32100000,35400000
2025-04-15,18:00:34,33000000,0%,31300000,34600000
2025-04-15,20:00:39,32300000,0%,30600000,33900000
2025-04-15,22:00:46,32000000,0%,30400000,33600000
2025-04-16,00:00:53,31300000,0%,29700000,32800000
2025-04-16,02:00:20,30700000,0%,29100000,32200000
2025-04-16,03:59:27,31400000,0%,29800000,32900000
2025-04-16,06:00:35,31500000,0%,29900000,33000000
2025-04-16,08:01:14,31600000,0%,30000000,33100000
2025-04-16,10:00:49,31900000,0%,30300000,33400000
2025-04-16,12:00:40,31900000,0%,30300000,33400000
2025-04-16,12:30:04,31900000,0%,30300000,33400000
2025-04-16,13:19:13,31500000,0%,29900000,33000000
2025-04-16,14:00:49,31500000,0%,29900000,33000000
2025-04-16,16:00:16,31300000,0%,29700000,32800000
2025-04-16,17:19:14,31300000,0%,29700000,32800000
2025-04-16,18:00:38,30700000,0%,29100000,32200000
2025-04-16,20:00:43,30300000,0%,28700000,31800000
2025-04-16,21:59:50,29600000,0%,28100000,31000000
2025-04-17,00:00:18,29700000,0%,28200000,31100000
2025-04-17,01:59:25,29300000,0%,27800000,30700000
2025-04-17,04:00:34,29300000,0%,27800000,30700000
2025-04-17,07:09:37,32200000,0%,30500000,33800000
2025-04-17,08:00:44,32200000,0%,30500000,33800000
2025-04-17,09:45:48,33400000,0%,31700000,35000000
2025-04-17,10:21:38,33400000,0%,31700000,35000000
2025-04-18,13:28:25,38200000,0%,36200000,40100000
2025-04-18,17:20:48,37700000,0%,35800000,39500000
2025-04-18,18:46:19,37700000,0%,35800000,39500000
2025-04-19,06:07:09,38700000,0%,36700000,40600000
2025-04-19,08:00:10,41000000,0%,38900000,43000000
2025-04-19,11:45:05,40300000,0%,38200000,42300000
2025-04-19,11:59:01,40300000,0%,38200000,42300000
2025-04-19,13:11:02,40300000,0%,38200000,42300000
2025-04-19,13:39:49,40300000,0%,38200000,42300000
2025-04-19,14:10:22,40300000,0%,38200000,42300000
2025-04-19,14:29:26,40300000,0%,38200000,42300000
2025-04-19,15:59:19,39900000,0%,37900000,41800000
2025-04-19,16:29:06,39900000,0%,37900000,41800000
2025-04-19,17:06:14,40000000,0%,38000000,42000000
2025-04-19,17:37:44,40000000,0%,38000000,42000000
2025-04-19,17:49:45,40000000,0%,38000000,42000000
