Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:03:29,336000000,+0.6%,319000000,352000000
2025-04-07,08:05:21,322000000,-2.72%,305000000,338000000
2025-04-07,09:11:33,322000000,-2.72%,305000000,338000000
2025-04-07,09:41:20,321000000,-0.31%,304000000,337000000
2025-04-07,09:43:44,321000000,-0.31%,304000000,337000000
2025-04-07,11:11:44,321000000,-0.31%,304000000,337000000
2025-04-07,13:51:32,315000000,+0.32%,299000000,330000000
2025-04-07,15:10:37,315000000,+0.32%,299000000,330000000
2025-04-07,17:10:41,312000000,-0.95%,296000000,327000000
2025-04-07,18:20:41,317000000,+1.6%,301000000,332000000
2025-04-07,19:12:02,317000000,+1.6%,301000000,332000000
2025-04-07,21:11:39,327000000,+3.15%,310000000,343000000
2025-04-07,23:11:42,327000000,+3.15%,310000000,343000000
2025-04-08,01:10:46,343000000,+4.89%,325000000,360000000
2025-04-08,03:10:50,340000000,-0.87%,323000000,356000000
2025-04-08,05:11:53,338000000,-0.59%,321000000,354000000
2025-04-08,07:10:57,339000000,+0.3%,322000000,355000000
2025-04-08,10:25:24,331000000,-1.78%,314000000,347000000
2025-04-08,11:11:03,331000000,-1.78%,314000000,347000000
2025-04-08,12:09:05,334000000,+0.91%,317000000,350000000
2025-04-08,12:57:31,334000000,+0.91%,317000000,350000000
2025-04-08,13:04:01,334000000,+0.91%,317000000,350000000
2025-04-08,13:11:02,334000000,+0.91%,317000000,350000000
2025-04-08,13:55:31,333000000,-0.3%,316000000,349000000
2025-04-08,15:10:34,333000000,-0.3%,316000000,349000000
2025-04-08,18:08:33,323000000,0%,306000000,339000000
2025-04-08,19:10:39,323000000,0%,306000000,339000000
2025-04-08,23:37:22,321000000,0%,304000000,337000000
2025-04-09,01:11:45,314000000,0%,298000000,329000000
2025-04-09,03:10:48,322000000,0%,305000000,338000000
2025-04-09,05:11:49,336000000,0%,319000000,352000000
2025-04-09,07:10:53,337000000,0%,320000000,353000000
2025-04-09,09:50:36,321000000,0%,304000000,337000000
2025-04-09,10:37:57,321000000,0%,304000000,337000000
2025-04-09,11:11:02,321000000,0%,304000000,337000000
2025-04-09,13:56:01,315000000,0%,299000000,330000000
2025-04-09,14:02:26,315000000,0%,299000000,330000000
2025-04-09,15:11:55,315000000,0%,299000000,330000000
2025-04-09,18:54:39,323000000,0%,306000000,339000000
2025-04-09,19:51:11,323000000,0%,306000000,339000000
2025-04-09,21:12:06,330000000,0%,313000000,346000000
2025-04-09,23:04:06,322000000,0%,305000000,338000000
2025-04-09,23:11:04,322000000,0%,305000000,338000000
2025-04-10,02:12:10,324000000,0%,307000000,340000000
2025-04-10,03:11:03,324000000,0%,307000000,340000000
2025-04-10,05:11:07,335000000,0%,318000000,351000000
2025-04-10,07:11:10,323000000,0%,306000000,339000000
2025-04-10,09:11:14,306000000,0%,290000000,321000000
2025-04-10,12:28:18,294000000,0%,279000000,308000000
2025-04-10,13:11:02,294000000,0%,279000000,308000000
2025-04-10,14:37:28,292000000,0%,277000000,306000000
2025-04-10,15:11:04,292000000,0%,277000000,306000000
2025-04-10,17:11:07,294000000,0%,279000000,308000000
2025-04-10,19:11:11,296000000,0%,281000000,310000000
2025-04-10,21:11:15,297000000,0%,282000000,311000000
2025-04-10,23:01:45,294000000,0%,279000000,308000000
2025-04-10,23:11:59,294000000,0%,279000000,308000000
2025-04-11,01:11:03,308000000,0%,292000000,323000000
2025-04-11,03:11:07,309000000,0%,293000000,324000000
2025-04-11,05:11:11,303000000,0%,287000000,318000000
2025-04-11,07:11:34,307000000,0%,291000000,322000000
2025-04-11,09:10:38,291000000,0%,276000000,305000000
