Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:03:34,214000000,+0.94%,203000000,224000000
2025-04-07,08:05:26,213000000,-2.74%,202000000,223000000
2025-04-07,09:41:25,217000000,+1.88%,206000000,227000000
2025-04-07,09:43:49,217000000,+1.88%,206000000,227000000
2025-04-07,09:48:24,217000000,+1.88%,206000000,227000000
2025-04-07,13:51:36,223000000,+2.29%,211000000,234000000
2025-04-07,15:49:25,214000000,-4.04%,203000000,224000000
2025-04-07,17:48:30,208000000,-2.8%,197000000,218000000
2025-04-07,18:20:46,208000000,-2.8%,197000000,218000000
2025-04-07,19:48:53,208000000,-2.8%,197000000,218000000
2025-04-07,21:47:58,210000000,+0.96%,199000000,220000000
2025-04-07,23:48:03,216000000,+2.86%,205000000,226000000
2025-04-08,01:48:08,214000000,-0.93%,203000000,224000000
2025-04-08,03:49:13,224000000,+4.67%,212000000,235000000
2025-04-08,05:48:18,219000000,-2.23%,208000000,229000000
2025-04-08,07:49:23,222000000,+1.37%,210000000,233000000
2025-04-08,10:25:28,212000000,-4.93%,201000000,222000000
2025-04-08,11:48:57,212000000,-4.93%,201000000,222000000
2025-04-08,12:09:09,212000000,-4.93%,201000000,222000000
2025-04-08,12:57:35,215000000,+1.42%,204000000,225000000
2025-04-08,13:04:06,215000000,+1.42%,204000000,225000000
2025-04-08,13:48:26,215000000,+1.42%,204000000,225000000
2025-04-08,13:55:36,215000000,+1.42%,204000000,225000000
2025-04-08,18:08:38,216000000,0%,205000000,226000000
2025-04-08,23:37:27,209000000,0%,198000000,219000000
2025-04-08,23:48:24,209000000,0%,198000000,219000000
2025-04-09,01:48:30,207000000,0%,196000000,217000000
2025-04-09,03:49:31,207000000,0%,196000000,217000000
2025-04-09,05:48:36,217000000,0%,206000000,227000000
2025-04-09,07:49:40,216000000,0%,205000000,226000000
2025-04-09,09:50:41,215000000,0%,204000000,225000000
2025-04-09,10:38:02,225000000,0%,213000000,236000000
2025-04-09,11:49:07,225000000,0%,213000000,236000000
2025-04-09,13:56:07,231000000,0%,219000000,242000000
2025-04-09,14:02:30,231000000,0%,219000000,242000000
2025-04-09,15:49:00,238000000,0%,226000000,249000000
2025-04-09,18:54:44,241000000,0%,228000000,253000000
2025-04-09,19:51:16,241000000,0%,228000000,253000000
2025-04-09,21:48:21,242000000,0%,229000000,254000000
2025-04-09,23:04:11,240000000,0%,228000000,251000000
2025-04-09,23:48:25,240000000,0%,228000000,251000000
2025-04-10,01:48:32,237000000,0%,225000000,248000000
2025-04-10,03:49:32,227000000,0%,215000000,238000000
2025-04-10,05:48:36,219000000,0%,208000000,229000000
2025-04-10,07:49:41,209000000,0%,198000000,219000000
2025-04-10,12:28:23,223000000,0%,211000000,234000000
2025-04-10,14:37:33,226000000,0%,214000000,237000000
2025-04-10,15:49:05,226000000,0%,214000000,237000000
2025-04-10,17:49:04,235000000,0%,223000000,246000000
2025-04-10,19:49:09,235000000,0%,223000000,246000000
2025-04-10,21:48:13,233000000,0%,221000000,244000000
2025-04-10,23:01:50,236000000,0%,224000000,247000000
2025-04-10,23:48:26,236000000,0%,224000000,247000000
2025-04-11,01:48:32,227000000,0%,215000000,238000000
2025-04-11,03:49:36,226000000,0%,214000000,237000000
2025-04-11,05:48:41,214000000,0%,203000000,224000000
2025-04-11,07:49:43,213000000,0%,202000000,223000000
2025-04-11,09:48:47,216000000,0%,205000000,226000000
2025-04-11,11:48:58,226000000,0%,214000000,237000000
2025-04-11,13:48:59,230000000,0%,218000000,241000000
2025-04-11,15:48:03,230000000,0%,218000000,241000000
2025-04-11,17:49:07,235000000,0%,223000000,246000000
2025-04-11,19:48:13,243000000,0%,230000000,255000000
2025-04-11,21:48:16,250000000,0%,237000000,262000000
2025-04-11,23:49:22,258000000,0%,245000000,270000000
2025-04-12,01:48:26,245000000,0%,232000000,257000000
2025-04-12,03:48:30,238000000,0%,226000000,249000000
2025-04-12,05:49:34,241000000,0%,228000000,253000000
2025-04-12,07:49:38,247000000,0%,234000000,259000000
2025-04-12,09:48:42,241000000,0%,228000000,253000000
2025-04-12,11:49:47,243000000,0%,230000000,255000000
2025-04-12,13:48:59,242000000,0%,229000000,254000000
2025-04-12,15:48:03,250000000,0%,237000000,262000000
2025-04-12,17:48:08,258000000,0%,245000000,270000000
2025-04-12,19:49:08,263000000,0%,249000000,276000000
2025-04-12,21:48:12,270000000,0%,256000000,283000000
2025-04-13,11:59:34,282000000,0%,267000000,296000000
2025-04-13,14:02:48,286000000,0%,271000000,300000000
2025-04-13,15:48:56,281000000,0%,266000000,295000000
2025-04-13,17:49:04,287000000,0%,272000000,301000000
2025-04-13,19:48:12,282000000,0%,267000000,296000000
2025-04-13,21:48:19,267000000,0%,253000000,280000000
2025-04-13,23:48:25,253000000,0%,240000000,265000000
2025-04-14,01:48:34,240000000,0%,228000000,251000000
2025-04-14,03:48:41,231000000,0%,219000000,242000000
2025-04-14,05:49:48,234000000,0%,222000000,245000000
2025-04-14,06:27:55,234000000,0%,222000000,245000000
2025-04-14,07:48:11,222000000,0%,210000000,233000000
2025-04-14,09:48:19,233000000,0%,221000000,244000000
2025-04-14,10:02:31,233000000,0%,221000000,244000000
2025-04-14,10:37:32,233000000,0%,221000000,244000000
2025-04-14,12:59:11,239000000,0%,227000000,250000000
2025-04-14,13:49:08,239000000,0%,227000000,250000000
2025-04-14,15:48:17,235000000,0%,223000000,246000000
2025-04-14,16:08:48,235000000,0%,223000000,246000000
2025-04-14,17:49:57,238000000,0%,226000000,249000000
2025-04-14,19:08:55,238000000,0%,226000000,249000000
2025-04-15,09:18:19,231000000,0%,219000000,242000000
2025-04-15,09:48:39,231000000,0%,219000000,242000000
2025-04-15,11:49:36,230000000,0%,218000000,241000000
2025-04-15,13:08:05,229000000,0%,217000000,240000000
2025-04-15,13:49:27,229000000,0%,217000000,240000000
2025-04-15,14:12:17,229000000,0%,217000000,240000000
2025-04-15,14:37:52,235000000,0%,223000000,246000000
