Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-15,09:18:39,26000000,0%,24700000,27200000
2025-04-15,09:59:04,26000000,0%,24700000,27200000
2025-04-15,13:08:27,25400000,0%,24100000,26600000
2025-04-15,13:59:02,25400000,0%,24100000,26600000
2025-04-15,14:12:35,25400000,0%,24100000,26600000
2025-04-15,14:38:11,24500000,0%,23200000,25700000
2025-04-15,16:04:31,24500000,0%,23200000,25700000
2025-04-15,17:58:47,23800000,0%,22600000,24900000
2025-04-15,19:57:55,24500000,0%,23200000,25700000
2025-04-15,21:58:02,23500000,0%,22300000,24600000
2025-04-15,23:59:09,24200000,0%,22900000,25400000
2025-04-16,01:58:43,23800000,0%,22600000,24900000
2025-04-16,03:57:53,24800000,0%,23500000,26000000
2025-04-16,05:58:51,25600000,0%,24300000,26800000
2025-04-16,07:59:07,26200000,0%,24800000,27500000
2025-04-16,09:58:29,25400000,0%,24100000,26600000
2025-04-16,11:59:04,26500000,0%,25100000,27800000
2025-04-16,12:30:44,26500000,0%,25100000,27800000
2025-04-16,13:20:44,25300000,0%,24000000,26500000
2025-04-16,13:58:25,25300000,0%,24000000,26500000
2025-04-16,15:59:20,26300000,0%,24900000,27600000
2025-04-16,17:19:54,26300000,0%,24900000,27600000
2025-04-16,17:59:02,25100000,0%,23800000,26300000
2025-04-16,19:58:12,25900000,0%,24600000,27100000
2025-04-16,21:59:11,25800000,0%,24500000,27000000
2025-04-16,23:58:42,25100000,0%,23800000,26300000
2025-04-17,01:57:51,25100000,0%,23800000,26300000
2025-04-17,03:58:57,25000000,0%,23700000,26200000
2025-04-17,07:10:18,27000000,0%,25600000,28300000
2025-04-17,07:58:57,27000000,0%,25600000,28300000
2025-04-17,09:46:28,25800000,0%,24500000,27000000
2025-04-17,10:22:18,25800000,0%,24500000,27000000
2025-04-18,13:28:55,25700000,0%,24400000,26900000
2025-04-18,17:21:15,24700000,0%,23400000,25900000
2025-04-18,18:46:50,24500000,0%,23200000,25700000
2025-04-19,06:07:47,24000000,0%,22800000,25100000
2025-04-19,07:57:47,25800000,0%,24500000,27000000
2025-04-19,11:46:42,26500000,0%,25100000,27800000
2025-04-19,11:57:47,26500000,0%,25100000,27800000
2025-04-19,13:11:35,25900000,0%,24600000,27100000
2025-04-19,13:40:15,25900000,0%,24600000,27100000
2025-04-19,14:10:57,25900000,0%,24600000,27100000
2025-04-19,14:30:16,25900000,0%,24600000,27100000
2025-04-19,15:58:55,25400000,0%,24100000,26600000
2025-04-19,16:29:35,25400000,0%,24100000,26600000
2025-04-19,17:07:16,25400000,0%,24100000,26600000
2025-04-19,17:38:00,25400000,0%,24100000,26600000
2025-04-19,17:49:59,25400000,0%,24100000,26600000
