Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-18,13:29:03,25600000,0%,24300000,26800000
2025-04-18,17:21:24,24300000,0%,23000000,25500000
2025-04-18,18:47:00,23100000,0%,21900000,24200000
2025-04-19,06:08:18,23200000,0%,22000000,24300000
2025-04-19,07:58:00,25100000,0%,23800000,26300000
2025-04-19,11:47:17,24600000,0%,23300000,25800000
2025-04-19,11:57:09,25700000,0%,24400000,26900000
2025-04-19,11:58:21,25700000,0%,24400000,26900000
2025-04-19,13:11:47,25700000,0%,24400000,26900000
2025-04-19,13:40:24,25700000,0%,24400000,26900000
2025-04-19,14:11:05,25700000,0%,24400000,26900000
2025-04-19,14:30:50,25700000,0%,24400000,26900000
2025-04-19,15:57:49,25900000,0%,24600000,27100000
2025-04-19,16:29:47,25900000,0%,24600000,27100000
2025-04-19,17:07:29,24600000,0%,23300000,25800000
2025-04-19,17:38:05,24600000,0%,23300000,25800000
2025-04-19,17:50:03,24600000,0%,23300000,25800000
