Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-15,09:18:48,25900000,0%,24600000,27100000
2025-04-15,09:59:14,25900000,0%,24600000,27100000
2025-04-15,13:08:39,25000000,0%,23700000,26200000
2025-04-15,13:59:11,25000000,0%,23700000,26200000
2025-04-15,14:12:44,24400000,0%,23100000,25600000
2025-04-15,14:38:20,24400000,0%,23100000,25600000
2025-04-15,16:04:41,24400000,0%,23100000,25600000
2025-04-15,17:58:58,24400000,0%,23100000,25600000
2025-04-15,19:59:03,23800000,0%,22600000,24900000
2025-04-15,21:59:09,24600000,0%,23300000,25800000
2025-04-15,23:59:19,23400000,0%,22200000,24500000
2025-04-16,01:58:53,24100000,0%,22800000,25300000
2025-04-16,03:58:03,24900000,0%,23600000,26100000
2025-04-16,05:59:01,24300000,0%,23000000,25500000
2025-04-16,07:59:30,25400000,0%,24100000,26600000
2025-04-16,09:58:50,25800000,0%,24500000,27000000
2025-04-16,11:57:56,25800000,0%,24500000,27000000
2025-04-16,12:30:54,25800000,0%,24500000,27000000
2025-04-16,13:21:04,25300000,0%,24000000,26500000
2025-04-16,13:58:45,25300000,0%,24000000,26500000
2025-04-16,15:58:01,26000000,0%,24700000,27200000
2025-04-16,17:20:02,26000000,0%,24700000,27200000
2025-04-16,17:59:11,24900000,0%,23600000,26100000
2025-04-16,19:58:21,26000000,0%,24700000,27200000
2025-04-16,21:59:20,24700000,0%,23400000,25900000
2025-04-16,23:58:52,25500000,0%,24200000,26700000
2025-04-17,01:57:59,24200000,0%,22900000,25400000
2025-04-17,03:59:06,24200000,0%,22900000,25400000
2025-04-17,07:10:29,26100000,0%,24700000,27400000
2025-04-17,07:59:07,26100000,0%,24700000,27400000
2025-04-17,09:46:37,24800000,0%,23500000,26000000
2025-04-17,10:22:27,24800000,0%,23500000,26000000
