Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:03:50,296000000,-0.67%,281000000,310000000
2025-04-07,08:05:44,306000000,+2%,290000000,321000000
2025-04-07,09:41:41,306000000,+2%,290000000,321000000
2025-04-07,09:44:04,306000000,+2%,290000000,321000000
2025-04-07,09:57:54,306000000,+2%,290000000,321000000
2025-04-07,13:51:54,304000000,-0.98%,288000000,319000000
2025-04-07,13:57:53,304000000,-0.98%,288000000,319000000
2025-04-07,15:58:57,302000000,-0.66%,286000000,317000000
2025-04-07,17:59:01,303000000,+0.33%,287000000,318000000
2025-04-07,18:21:13,303000000,+0.33%,287000000,318000000
2025-04-07,19:59:18,300000000,-0.99%,285000000,315000000
2025-04-07,21:58:22,302000000,+0.67%,286000000,317000000
2025-04-07,23:58:26,300000000,-0.66%,285000000,315000000
2025-04-08,01:57:30,301000000,+0.33%,285000000,316000000
2025-04-08,03:58:34,297000000,-1.33%,282000000,311000000
2025-04-08,05:58:39,296000000,-0.34%,281000000,310000000
2025-04-08,07:57:43,299000000,+1.01%,284000000,313000000
2025-04-08,10:25:53,305000000,+2.01%,289000000,320000000
2025-04-08,11:58:57,306000000,+0.33%,290000000,321000000
2025-04-08,12:09:24,306000000,+0.33%,290000000,321000000
2025-04-08,12:58:00,309000000,+0.98%,293000000,324000000
2025-04-08,13:04:31,309000000,+0.98%,293000000,324000000
2025-04-08,13:56:00,309000000,+0.98%,293000000,324000000
2025-04-08,13:58:19,309000000,+0.98%,293000000,324000000
2025-04-08,18:08:53,313000000,0%,297000000,328000000
2025-04-08,23:37:42,309000000,0%,293000000,324000000
2025-04-08,23:58:53,309000000,0%,293000000,324000000
2025-04-09,01:58:57,306000000,0%,290000000,321000000
2025-04-09,03:59:01,306000000,0%,290000000,321000000
2025-04-09,05:59:06,300000000,0%,285000000,315000000
2025-04-09,08:58:09,306000000,0%,290000000,321000000
2025-04-09,09:50:55,306000000,0%,290000000,321000000
2025-04-09,09:57:53,306000000,0%,290000000,321000000
2025-04-09,10:38:17,304000000,0%,288000000,319000000
2025-04-09,11:59:21,304000000,0%,288000000,319000000
2025-04-09,13:56:22,300000000,0%,285000000,315000000
2025-04-09,14:02:47,300000000,0%,285000000,315000000
2025-04-09,15:58:51,301000000,0%,285000000,316000000
2025-04-09,18:55:00,292000000,0%,277000000,306000000
2025-04-09,19:51:31,292000000,0%,277000000,306000000
2025-04-09,19:57:52,292000000,0%,277000000,306000000
2025-04-09,21:58:55,295000000,0%,280000000,309000000
2025-04-09,23:04:28,295000000,0%,280000000,309000000
2025-04-09,23:57:53,295000000,0%,280000000,309000000
2025-04-10,01:57:57,293000000,0%,278000000,307000000
2025-04-10,03:59:04,294000000,0%,279000000,308000000
2025-04-10,05:58:08,293000000,0%,278000000,307000000
2025-04-10,07:58:13,294000000,0%,279000000,308000000
2025-04-10,12:28:38,324000000,0%,307000000,340000000
2025-04-10,14:37:49,324000000,0%,307000000,340000000
2025-04-10,15:58:53,325000000,0%,308000000,341000000
2025-04-10,17:57:58,325000000,0%,308000000,341000000
2025-04-10,19:59:02,327000000,0%,310000000,343000000
2025-04-10,21:59:07,323000000,0%,306000000,339000000
2025-04-10,23:02:05,318000000,0%,302000000,333000000
2025-04-10,23:58:53,318000000,0%,302000000,333000000
2025-04-11,01:58:57,315000000,0%,299000000,330000000
2025-04-11,03:58:01,318000000,0%,302000000,333000000
2025-04-11,05:58:06,312000000,0%,296000000,327000000
2025-04-11,07:59:10,316000000,0%,300000000,331000000
2025-04-11,09:59:14,314000000,0%,298000000,329000000
