Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-02-26,22:06:15,132000000,+2.33%,125000000,138000000
2025-02-26,127 000 000,+1.6%,120 000 000,133 000 000
2025-02-26,17:22:13,127000000,+1.6%,120000000,133000000
2025-02-26,17:22:13,127000000,+1.6%,120000000,133000000
2025-02-26,17:26:20,127000000,+1.6%,120000000,133000000
2025-02-26,18:06:15,127000000,+1.6%,120000000,133000000
2025-02-26,20:06:58,129000000,+1.57%,122000000,135000000
2025-02-26,22:06:15,132000000,+2.33%,125000000,138000000
2025-02-27,18:06:54,119000000,+1.71%,113000000,124000000
2025-02-27,19:06:08,119000000,+1.71%,113000000,124000000
2025-02-27,19:06:08,119000000,+1.71%,113000000,124000000
2025-02-27,19:11:22,119000000,+1.71%,113000000,124000000
2025-02-27,19:11:22,119000000,+1.71%,113000000,124000000
2025-02-27,19:14:08,119000000,+1.71%,113000000,124000000
2025-02-27,19:14:08,119000000,+1.71%,113000000,124000000
2025-02-27,19:50:03,119000000,+1.71%,113000000,124000000
2025-02-27,19:50:03,119000000,+1.71%,113000000,124000000
2025-02-27,19:55:54,119000000,+1.71%,113000000,124000000
2025-02-27,19:55:54,119000000,+1.71%,113000000,124000000
2025-02-27,20:06:17,119000000,+1.71%,113000000,124000000
2025-02-27,20:06:17,119000000,+1.71%,113000000,124000000
2025-02-27,20:09:25,119000000,+1.71%,113000000,124000000
2025-02-27,20:09:25,119000000,+1.71%,113000000,124000000
2025-02-28,10:24:46,113000000,-1.74%,107000000,118000000
2025-02-28,10:24:46,113000000,-1.74%,107000000,118000000
2025-02-28,10:36:49,108000000,-4.42%,102000000,113000000
2025-02-28,10:36:49,108000000,-4.42%,102000000,113000000
2025-02-28,11:09:59,108000000,-4.42%,102000000,113000000
2025-02-28,11:41:27,108000000,-4.42%,102000000,113000000
2025-02-28,12:06:06,108000000,-4.42%,102000000,113000000
2025-02-28,14:06:07,108000000,-4.42%,102000000,113000000
2025-02-28,15:28:49,110000000,+1.85%,104000000,115000000
2025-02-28,15:40:54,110000000,+1.85%,104000000,115000000
2025-02-28,15:46:24,110000000,+1.85%,104000000,115000000
2025-02-28,17:09:54,114000000,+3.64%,108000000,119000000
2025-02-28,22:11:26,113000000,-0.88%,107000000,118000000
2025-03-01,00:06:07,112000000,-0.88%,106000000,117000000
2025-03-01,02:06:06,114000000,+1.79%,108000000,119000000
2025-03-01,04:06:14,114000000,+1.79%,108000000,119000000
2025-03-01,06:06:20,,-,,
2025-03-01,08:07:32,108000000,-3.57%,102000000,113000000
2025-03-01,10:06:06,102000000,-5.56%,96900000,107000000
2025-03-01,12:03:12,98700000,-3.24%,93700000,103000000
2025-03-01,12:07:05,,-3.24%,,
2025-03-02,10:06:06,100000000,-4.76%,95000000,104000000
2025-03-02,12:06:06,96200000,-3.8%,91300000,101000000
2025-03-02,14:06:06,96800000,+0.62%,91900000,101000000
2025-03-02,16:06:10,97900000,+1.14%,93000000,102000000
2025-03-02,18:06:06,99100000,+1.23%,94100000,104000000
2025-03-02,21:50:34,103000000,+0.98%,97800000,108000000
2025-03-02,22:06:06,103000000,+0.98%,97800000,108000000
2025-03-03,00:06:10,106000000,+2.91%,100000000,111000000
2025-03-03,02:06:09,106000000,+2.91%,100000000,111000000
2025-03-03,04:06:09,104000000,-1.89%,98800000,109000000
2025-03-03,06:06:06,104000000,-1.89%,98800000,109000000
2025-03-03,08:06:06,103000000,-0.96%,97800000,108000000
2025-03-03,10:06:06,104000000,+0.97%,98800000,109000000
2025-03-03,10:44:58,104000000,+0.97%,98800000,109000000
2025-03-03,12:06:07,104000000,+0.97%,98800000,109000000
2025-03-03,14:06:06,106000000,+1.92%,100000000,111000000
2025-03-03,16:06:07,105000000,-0.94%,99700000,110000000
2025-03-03,18:06:16,107000000,+1.9%,101000000,112000000
2025-03-03,18:24:48,107000000,+1.9%,101000000,112000000
2025-03-03,20:32:26,108000000,+0.93%,102000000,113000000
2025-03-03,22:55:25,109000000,+0.93%,103000000,114000000
2025-03-03,22:56:15,109000000,+0.93%,103000000,114000000
2025-03-04,00:06:06,109000000,+0.93%,103000000,114000000
2025-03-04,02:06:08,110000000,+0.92%,104000000,115000000
2025-03-04,04:06:08,111000000,+0.91%,105000000,116000000
2025-03-04,06:06:06,111000000,+0.91%,105000000,116000000
2025-03-04,08:06:08,112000000,+0.9%,106000000,117000000
2025-03-04,10:54:56,110000000,-1.79%,104000000,115000000
2025-03-04,12:06:16,110000000,-1.79%,104000000,115000000
2025-03-04,14:06:08,108000000,-1.82%,102000000,113000000
2025-03-04,16:06:05,108000000,-1.82%,102000000,113000000
2025-03-04,18:06:05,109000000,+0.93%,103000000,114000000
2025-03-05,11:08:29,,-,,
2025-03-05,12:46:09,,-,,
2025-03-05,12:47:47,,-,,
2025-03-05,13:48:19,106000000,-0.93%,100000000,111000000
2025-03-05,13:54:07,106000000,-0.93%,100000000,111000000
2025-03-05,14:06:06,106000000,-0.93%,100000000,111000000
2025-03-05,14:10:10,106000000,-0.93%,100000000,111000000
2025-03-05,17:03:22,108000000,+0.93%,102000000,113000000
2025-03-06,16:06:09,88200000,-4.65%,83700000,92600000
2025-03-06,22:20:28,82000000,+1.61%,77900000,86100000
2025-03-07,00:06:04,84200000,+2.68%,79900000,88400000
2025-03-07,09:48:28,94900000,+1.5%,90100000,99600000
2025-03-07,11:03:01,97400000,+2.63%,92500000,102000000
2025-03-07,11:15:16,97400000,+2.63%,92500000,102000000
2025-03-07,11:48:26,97400000,+2.63%,92500000,102000000
2025-03-07,13:39:48,99600000,+2.26%,94600000,104000000
2025-03-07,14:07:03,99600000,+2.26%,94600000,104000000
2025-03-07,17:51:45,105000000,+2.94%,99700000,110000000
2025-03-07,18:06:07,105000000,+2.94%,99700000,110000000
2025-03-08,00:57:28,115000000,+2.68%,109000000,120000000
2025-03-08,02:57:29,116000000,+0.87%,110000000,121000000
2025-03-08,04:57:32,117000000,+0.86%,111000000,122000000
2025-03-08,06:06:08,117000000,+0.86%,111000000,122000000
2025-03-08,08:06:06,116000000,-0.85%,110000000,121000000
2025-03-08,10:26:30,117000000,+0.86%,111000000,122000000
2025-03-08,13:27:00,115000000,-1.71%,109000000,120000000
2025-03-08,14:06:07,115000000,-1.71%,109000000,120000000
2025-03-08,16:06:06,116000000,+0.87%,110000000,121000000
2025-03-08,18:36:45,119000000,+1.71%,113000000,124000000
2025-03-08,20:57:27,121000000,+1.68%,114000000,127000000
2025-03-08,23:16:56,124000000,+2.48%,117000000,130000000
2025-03-08,23:40:46,124000000,+2.48%,117000000,130000000
2025-03-09,00:06:08,124000000,+2.48%,117000000,130000000
2025-03-09,02:06:09,126000000,+1.61%,119000000,132000000
2025-03-09,04:06:07,127000000,+0.79%,120000000,133000000
2025-03-09,06:06:05,128000000,+0.79%,121000000,134000000
2025-03-09,08:11:13,126000000,-1.56%,119000000,132000000
2025-03-09,10:06:06,122000000,-3.17%,115000000,128000000
2025-03-09,12:21:18,120000000,-1.64%,114000000,125000000
2025-03-09,14:06:05,120000000,-1.64%,114000000,125000000
2025-03-09,16:36:45,123000000,+1.65%,116000000,129000000
2025-03-09,18:06:05,123000000,+1.65%,116000000,129000000
2025-03-09,20:39:02,124000000,+0.81%,117000000,130000000
2025-03-09,22:06:06,124000000,+0.81%,117000000,130000000
2025-03-10,12:01:47,125000000,-2.34%,118000000,131000000
2025-03-10,12:06:06,125000000,-2.34%,118000000,131000000
2025-03-10,17:25:00,130000000,+3.17%,123000000,136000000
2025-03-10,18:06:09,130000000,+3.17%,123000000,136000000
2025-03-10,21:13:39,134000000,+2.29%,127000000,140000000
2025-03-10,22:06:09,134000000,+2.29%,127000000,140000000
2025-03-11,00:06:07,136000000,+1.49%,129000000,142000000
2025-03-11,02:08:19,137000000,+0.74%,130000000,143000000
2025-03-11,04:41:40,143000000,+4.38%,135000000,150000000
2025-03-11,07:32:01,137000000,-4.2%,130000000,143000000
2025-03-11,08:06:07,137000000,-4.2%,130000000,143000000
2025-03-11,11:41:36,127000000,-3.79%,120000000,133000000
2025-03-11,15:46:09,126000000,+0.8%,119000000,132000000
2025-03-11,16:06:06,126000000,+0.8%,119000000,132000000
2025-03-11,17:21:47,128000000,+1.59%,121000000,134000000
2025-03-11,18:36:46,129000000,+0.78%,122000000,135000000
2025-03-12,03:09:57,134000000,-0.74%,127000000,140000000
2025-03-12,04:12:37,134000000,-0.74%,127000000,140000000
2025-03-12,06:21:23,134000000,-0.74%,127000000,140000000
2025-03-12,09:08:01,133000000,-0.75%,126000000,139000000
2025-03-12,10:06:06,133000000,-0.75%,126000000,139000000
2025-03-12,12:16:28,130000000,-0.76%,123000000,136000000
2025-03-12,14:36:47,131000000,+0.77%,124000000,137000000
2025-03-12,14:57:33,131000000,+0.77%,124000000,137000000
2025-03-12,16:06:09,131000000,+0.77%,124000000,137000000
2025-03-12,19:28:43,135000000,+0.75%,128000000,141000000
2025-03-12,23:17:00,141000000,+2.92%,133000000,148000000
2025-03-13,00:36:45,141000000,+2.92%,133000000,148000000
2025-03-13,04:13:07,146000000,+0.69%,138000000,153000000
2025-03-13,06:08:08,149000000,+2.05%,141000000,156000000
2025-03-13,08:06:05,146000000,-2.01%,138000000,153000000
2025-03-13,10:31:35,131000000,-5.07%,124000000,137000000
