Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-08,23:43:12,208000000,+0.97%,197000000,218000000
2025-03-09,00:53:14,208000000,+0.97%,197000000,218000000
2025-03-09,02:53:14,209000000,+0.48%,198000000,219000000
2025-03-09,04:53:14,213000000,+1.91%,202000000,223000000
2025-03-09,06:53:14,214000000,+0.47%,203000000,224000000
2025-03-09,08:53:13,210000000,-1.87%,199000000,220000000
2025-03-09,10:53:14,203000000,-3.33%,192000000,213000000
2025-03-09,12:53:14,203000000,-3.33%,192000000,213000000
2025-03-09,14:53:15,207000000,+1.97%,196000000,217000000
2025-03-09,16:53:14,213000000,+2.9%,202000000,223000000
2025-03-09,18:28:16,219000000,+2.82%,208000000,229000000
2025-03-09,18:53:13,219000000,+2.82%,208000000,229000000
2025-03-09,20:53:13,222000000,+1.37%,210000000,233000000
2025-03-09,22:53:14,221000000,-0.45%,209000000,232000000
2025-03-10,10:57:13,216000000,-1.82%,205000000,226000000
2025-03-10,12:53:14,216000000,-1.82%,205000000,226000000
2025-03-10,14:53:14,212000000,-1.85%,201000000,222000000
2025-03-10,16:53:14,215000000,+1.42%,204000000,225000000
2025-03-10,18:53:14,218000000,+1.4%,207000000,228000000
2025-03-10,20:53:15,217000000,-0.46%,206000000,227000000
2025-03-10,23:00:36,220000000,+1.38%,209000000,230000000
2025-03-11,01:12:59,224000000,+0.45%,212000000,235000000
2025-03-11,02:53:14,224000000,+0.45%,212000000,235000000
2025-03-11,04:53:14,222000000,-0.89%,210000000,233000000
2025-03-11,06:53:15,217000000,-2.25%,206000000,227000000
2025-03-11,09:02:53,199000000,-4.78%,189000000,208000000
2025-03-11,10:53:16,199000000,-4.78%,189000000,208000000
2025-03-11,15:48:19,200000000,+2.56%,190000000,209000000
2025-03-11,16:52:08,200000000,+2.56%,190000000,209000000
2025-03-11,16:53:13,200000000,+2.56%,190000000,209000000
2025-03-11,18:53:15,199000000,-0.5%,189000000,208000000
2025-03-11,20:53:14,199000000,-0.5%,189000000,208000000
2025-03-11,22:53:13,200000000,+0.5%,190000000,209000000
2025-03-12,01:01:24,205000000,+2.5%,194000000,215000000
2025-03-12,03:01:21,211000000,+2.93%,200000000,221000000
2025-03-12,04:53:15,215000000,+1.9%,204000000,225000000
2025-03-12,06:53:13,216000000,+0.47%,205000000,226000000
2025-03-12,08:53:15,207000000,-4.17%,196000000,217000000
2025-03-12,11:22:12,199000000,-3.86%,189000000,208000000
2025-03-12,12:53:16,198000000,-0.5%,188000000,207000000
2025-03-12,14:53:15,200000000,+1.01%,190000000,209000000
2025-03-12,15:06:20,200000000,+1.01%,190000000,209000000
2025-03-12,16:53:15,197000000,-1.5%,187000000,206000000
2025-03-12,18:53:30,204000000,+3.55%,193000000,214000000
2025-03-12,19:20:25,209000000,+2.45%,198000000,219000000
2025-03-12,20:53:14,209000000,+2.45%,198000000,219000000
2025-03-12,22:53:14,212000000,+1.44%,201000000,222000000
2025-03-13,01:15:09,214000000,+0.94%,203000000,224000000
2025-03-13,02:53:15,218000000,+1.87%,207000000,228000000
2025-03-13,04:53:14,222000000,+1.83%,210000000,233000000
2025-03-13,06:53:14,225000000,+1.35%,213000000,236000000
2025-03-13,09:02:48,214000000,-4.89%,203000000,224000000
2025-03-13,10:53:13,204000000,-4.67%,193000000,214000000
2025-03-13,13:22:57,185000000,-4.64%,175000000,194000000
2025-03-13,14:53:15,185000000,-4.64%,175000000,194000000
2025-03-13,16:53:14,176000000,-4.86%,167 000 000,184 000 000
2025-03-14,20:53:05,89700000,-4.17%,85 200 000,94 100 000
2025-03-14,22:53:05,86500000,-3.57%,82 100 000,90 800 000
2025-03-14,00:53:05,88600000,+2.43%,84 100 000,93 000 000
2025-03-15,02:53:05,90200000,+1.81%,85 600 000,94 700 000
2025-03-15,04:53:05,93000000,+3.1%,88 300 000,97 600 000
2025-03-15,06:53:05,94200000,+1.29%,89 400 000,98 900 000
2025-03-15,08:53:05,95500000,+1.38%,90 700 000,100 000 000
2025-03-15,10:53:05,91800000,-3.87%,87 200 000,96 300 000
2025-03-15,12:53:05,87900000,-4.25%,83 500 000,92 200 000
2025-03-15,13:28:18,84300000,-4.1%,80 000 000,88 500 000
2025-03-15,14:53:15,80700000,-4.27%,76 600 000,84 700 000
2025-03-15,16:53:14,80400000,-0.37%,76 300 000,84 400 000
2025-03-15,18:53:14,81800000,+1.74%,77 700 000,85 800 000
2025-03-15,20:53:13,83500000,+2.08%,79 300 000,87 600 000
2025-03-15,22:53:14,86000000,+2.99%,81 700 000,90 200 000
2025-03-16,01:03:08,88800000,+3.26%,84 300 000,93 200 000
2025-03-16,02:53:14,90200000,+1.58%,85 600 000,94 700 000
2025-03-16,04:53:18,94000000,+4.21%,89 300 000,98 600 000
2025-03-16,06:55:19,96500000,+2.66%,91 600 000,101 000 000
2025-03-16,08:53:13,92700000,-3.94%,88 000 000,97 300 000
2025-03-16,10:53:28,88700000,-4.31%,84 200 000,93 100 000
2025-03-16,12:53:05,84700000,-4.51%,80 400 000,88 900 000
2025-03-16,14:46:24,81300000,-4.01%,77 200 000,85 300 000
2025-03-16,14:53:15,81300000,-4.01%,77 200 000,85 300 000
2025-03-16,16:53:14,81100000,-0.25%,77 000 000,85 100 000
2025-03-16,18:53:15,82900000,+2.22%,78 700 000,87 000 000
2025-03-16,23:09:14,86400000,+3.1%,82 000 000,90 700 000
2025-03-17,00:53:14,88000000,+1.85%,83 600 000,92 300 000
2025-03-17,03:06:46,90500000,+2.84%,85 900 000,95 000 000
2025-03-17,04:53:14,92800000,+2.54%,88 100 000,97 400 000
2025-03-17,07:00:44,95000000,+2.37%,90 200 000,99 700 000
2025-03-17,08:53:14,90600000,-4.63%,86 000 000,95 100 000
2025-03-17,10:53:18,86500000,-4.53%,82 100 000,90 800 000
2025-03-17,12:53:16,82500000,-4.62%,78 300 000,86 600 000
2025-03-17,14:53:15,79000000,-4.24%,75 000 000,82 900 000
2025-03-17,16:53:14,77700000,-1.65%,73 800 000,81 500 000
