Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-02-26,20:59:06,39900000,-0.75%,37900000,41800000
2025-02-26,40 200 000,+2.03%,38 100 000,42 200 000
2025-02-26,17:22:06,40200000,+2.03%,38100000,42200000
2025-02-26,17:22:06,40200000,+2.03%,38100000,42200000
2025-02-26,17:26:14,40200000,+2.03%,38100000,42200000
2025-02-26,18:59:06,40200000,+2.03%,38100000,42200000
2025-02-26,20:59:06,39900000,-0.75%,37900000,41800000
2025-02-27,18:59:09,41400000,+1.47%,39300000,43400000
2025-02-27,19:02:50,41400000,+1.47%,39300000,43400000
2025-02-27,19:02:50,41400000,+1.47%,39300000,43400000
2025-02-27,19:05:58,41400000,+1.47%,39300000,43400000
2025-02-27,19:05:58,41400000,+1.47%,39300000,43400000
2025-02-27,19:11:15,41400000,+1.47%,39300000,43400000
2025-02-27,19:11:15,41400000,+1.47%,39300000,43400000
2025-02-27,19:13:58,41400000,+1.47%,39300000,43400000
2025-02-27,19:13:58,41400000,+1.47%,39300000,43400000
2025-02-27,19:49:55,41200000,-0.48%,39100000,43200000
2025-02-27,19:49:55,41200000,-0.48%,39100000,43200000
2025-02-27,19:55:45,41200000,-0.48%,39100000,43200000
2025-02-27,19:55:45,41200000,-0.48%,39100000,43200000
2025-02-27,20:09:18,41200000,-0.48%,39100000,43200000
2025-02-27,20:09:18,41200000,-0.48%,39100000,43200000
2025-02-28,10:24:38,38000000,-3.55%,36100000,39900000
2025-02-28,10:24:38,38000000,-3.55%,36100000,39900000
2025-02-28,10:36:29,38000000,-3.55%,36100000,39900000
2025-02-28,10:36:29,38000000,-3.55%,36100000,39900000
2025-02-28,10:59:08,38000000,-3.55%,36100000,39900000
2025-02-28,10:59:08,38000000,-3.55%,36100000,39900000
2025-02-28,11:09:51,38000000,-3.55%,36100000,39900000
2025-02-28,11:41:13,38600000,+1.58%,36600000,40500000
2025-02-28,12:59:07,38600000,+1.58%,36600000,40500000
2025-02-28,14:59:08,37400000,-3.11%,35500000,39200000
2025-02-28,15:28:44,37400000,-3.11%,35500000,39200000
2025-02-28,15:40:48,37900000,+1.34%,36000000,39700000
2025-02-28,15:46:18,37900000,+1.34%,36000000,39700000
2025-02-28,17:09:49,37900000,+1.34%,36000000,39700000
2025-02-28,22:11:21,38700000,+1.84%,36700000,40600000
2025-02-28,22:59:06,38700000,+1.84%,36700000,40600000
2025-03-01,00:59:06,39400000,+1.81%,37400000,41300000
2025-03-01,02:59:07,40000000,+1.52%,38000000,42000000
2025-03-01,04:59:06,39500000,-1.25%,37500000,41400000
2025-03-01,06:59:05,39300000,-0.51%,37300000,41200000
2025-03-01,08:59:05,40700000,+3.56%,38600000,42700000
2025-03-01,10:59:06,42600000,+4.67%,40400000,44700000
2025-03-01,12:03:03,44400000,+4.23%,42100000,46600000
2025-03-01,12:59:05,44400000,+4.23%,42100000,46600000
2025-03-01,14:59:06,45300000,+2.03%,43000000,47500000
2025-03-01,17:37:53,43300000,-4.42%,41100000,45400000
2025-03-01,20:56:27,43600000,-2.02%,41400000,45700000
2025-03-01,21:06:56,43600000,-2.02%,41400000,45700000
2025-03-01,22:59:06,44100000,+1.15%,41800000,46300000
2025-03-02,00:59:06,43200000,-2.04%,41000000,45300000
2025-03-02,02:59:05,43900000,+1.62%,41700000,46000000
2025-03-02,04:59:06,43500000,-0.91%,41300000,45600000
2025-03-02,06:59:05,43000000,-1.15%,40800000,45100000
2025-03-02,08:59:06,40800000,-5.12%,38700000,42800000
2025-03-02,10:59:08,40000000,-1.96%,38000000,42000000
2025-03-02,12:59:06,39100000,-2.25%,37100000,41000000
2025-03-02,14:59:07,39500000,+1.02%,37500000,41400000
2025-03-02,16:59:05,39800000,+0.76%,37800000,41700000
2025-03-02,18:59:05,40000000,+0.5%,38000000,42000000
2025-03-02,21:48:25,40400000,+0.75%,38300000,42400000
2025-03-02,22:59:07,40400000,+0.75%,38300000,42400000
2025-03-03,00:59:07,40900000,+1.24%,38800000,42900000
2025-03-03,02:59:06,41000000,+0.24%,38900000,43000000
2025-03-03,04:59:06,41100000,+0.24%,39000000,43100000
2025-03-03,06:59:05,40800000,-0.73%,38700000,42800000
2025-03-03,08:59:07,39300000,-3.68%,37300000,41200000
2025-03-03,10:44:51,40400000,+2.8%,38300000,42400000
2025-03-03,10:59:06,40400000,+2.8%,38300000,42400000
2025-03-03,12:59:06,40100000,-0.74%,38000000,42100000
2025-03-03,14:59:06,40600000,+1.25%,38500000,42600000
2025-03-03,16:59:08,41100000,+1.23%,39000000,43100000
2025-03-03,18:22:42,41200000,+0.24%,39100000,43200000
2025-03-03,18:59:06,41200000,+0.24%,39100000,43200000
2025-03-03,21:01:57,41800000,+1.46%,39700000,43800000
2025-03-03,22:56:09,41800000,+1.46%,39700000,43800000
2025-03-03,22:59:06,41800000,+1.46%,39700000,43800000
2025-03-04,00:59:06,42300000,+1.2%,40100000,44400000
2025-03-04,02:59:06,42400000,+0.24%,40200000,44500000
2025-03-04,04:59:07,42800000,+0.94%,40600000,44900000
2025-03-04,06:59:06,42900000,+0.23%,40700000,45000000
2025-03-04,08:59:07,40700000,-5.13%,38600000,42700000
2025-03-04,10:59:07,40400000,-0.74%,38300000,42400000
2025-03-04,12:59:06,40700000,+0.74%,38600000,42700000
2025-03-04,14:59:08,40800000,+0.25%,38700000,42800000
2025-03-04,16:59:05,40700000,-0.25%,38600000,42700000
2025-03-05,11:08:18,41700000,-1.18%,39600000,43700000
2025-03-05,12:46:01,42300000,+1.44%,40100000,44400000
2025-03-05,12:47:40,42300000,+1.44%,40100000,44400000
2025-03-05,13:48:14,42000000,-0.71%,39900000,44000000
2025-03-05,13:54:02,42000000,-0.71%,39900000,44000000
2025-03-05,14:10:04,42000000,-0.71%,39900000,44000000
2025-03-05,14:59:04,42000000,-0.71%,39900000,44000000
2025-03-05,16:59:05,42000000,-0.71%,39900000,44000000
2025-03-05,17:03:16,42000000,-0.71%,39900000,44000000
2025-03-05,18:59:05,42000000,-0.71%,39900000,44000000
2025-03-05,21:21:37,42300000,+0.71%,40100000,44400000
2025-03-05,22:59:06,42800000,+1.18%,40600000,44900000
2025-03-06,00:59:06,43100000,+0.7%,40900000,45200000
2025-03-06,13:27:20,38100000,-4.51%,36100000,40000000
2025-03-06,14:59:05,36400000,-4.46%,34500000,38200000
2025-03-06,16:59:05,34700000,-4.67%,32900000,36400000
2025-03-06,17:41:12,33000000,-4.9%,31300000,34600000
