Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,09:41:51,299000000,-2.61%,284000000,313000000
2025-04-07,09:44:15,299000000,-2.61%,284000000,313000000
2025-04-07,13:52:06,296000000,+1.02%,281000000,310000000
2025-04-07,15:41:51,292000000,-1.35%,277000000,306000000
2025-04-07,17:41:15,0,0%,NA,NA
2025-04-07,18:21:23,284000000,-1.39%,269000000,298000000
2025-04-07,19:41:59,284000000,-1.39%,269000000,298000000
2025-04-07,21:42:06,288000000,+1.41%,273000000,302000000
2025-04-07,23:42:08,290000000,+0.69%,275000000,304000000
2025-04-08,01:42:11,289000000,-0.34%,274000000,303000000
2025-04-08,03:41:15,292000000,+1.04%,277000000,306000000
2025-04-08,05:42:21,291000000,-0.34%,276000000,305000000
2025-04-08,07:41:57,285000000,-2.06%,270000000,299000000
2025-04-08,10:26:13,0,0%,NA,NA
2025-04-08,11:41:50,272000000,-1.09%,258000000,285000000
2025-04-08,12:09:44,272000000,-1.09%,258000000,285000000
2025-04-08,12:58:18,271000000,-0.37%,257000000,284000000
2025-04-08,13:04:50,271000000,-0.37%,257000000,284000000
2025-04-08,13:41:15,0,0%,NA,NA
2025-04-08,13:56:19,0,0%,NA,NA
2025-04-08,15:42:05,277000000,+2.21%,263000000,290000000
2025-04-08,18:09:04,274000000,0%,260000000,287000000
2025-04-08,23:37:51,280000000,0%,266000000,294000000
2025-04-08,23:41:05,280000000,0%,266000000,294000000
2025-04-09,01:42:15,284000000,0%,269000000,298000000
2025-04-09,03:42:20,280000000,0%,266000000,294000000
2025-04-09,05:42:24,285000000,0%,270000000,299000000
2025-04-09,07:41:47,286000000,0%,271000000,300000000
2025-04-09,09:51:05,284000000,0%,269000000,298000000
2025-04-09,10:38:27,280000000,0%,266000000,294000000
2025-04-09,11:42:12,280000000,0%,266000000,294000000
2025-04-09,13:56:31,276000000,0%,262000000,289000000
2025-04-09,14:02:57,276000000,0%,262000000,289000000
2025-04-09,15:41:57,276000000,0%,262000000,289000000
2025-04-09,18:55:12,277000000,0%,263000000,290000000
2025-04-09,19:51:42,277000000,0%,263000000,290000000
2025-04-09,21:41:46,278000000,0%,264000000,291000000
2025-04-09,23:04:42,277000000,0%,263000000,290000000
