Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-07,11:50:22,324000000,+3.18%,307000000,340000000
2025-03-07,13:06:37,324000000,+3.18%,307000000,340000000
2025-03-07,15:06:39,333000000,+2.78%,316000000,349000000
2025-03-07,17:53:17,340000000,+2.1%,323000000,356000000
2025-03-07,19:07:03,344000000,+1.18%,326000000,361000000
2025-03-07,19:09:35,344000000,+1.18%,326000000,361000000
2025-03-07,23:53:04,352000000,+2.62%,334000000,369000000
2025-03-08,01:14:16,352000000,+2.62%,334000000,369000000
2025-03-08,03:13:04,359000000,+1.99%,341000000,376000000
2025-03-08,05:14:04,370000000,+3.06%,351000000,388000000
2025-03-08,07:14:09,379000000,+2.43%,360000000,397000000
2025-03-08,09:16:54,386000000,+1.85%,366000000,405000000
2025-03-08,11:16:45,402000000,+4.15%,381000000,422000000
2025-03-08,13:17:07,416000000,+3.48%,395000000,436000000
2025-03-08,15:18:42,419000000,+0.72%,398000000,439000000
2025-03-08,17:18:42,427000000,+1.91%,405000000,448000000
2025-03-08,19:16:46,418000000,-2.11%,397000000,438000000
2025-03-08,21:19:07,426000000,+1.91%,404000000,447000000
2025-03-08,23:19:14,425000000,-0.23%,403000000,446000000
2025-03-08,23:42:05,425000000,-0.23%,403000000,446000000
2025-03-09,01:20:31,413000000,-2.82%,392000000,433000000
2025-03-09,03:20:22,414000000,+0.24%,393000000,434000000
2025-03-09,05:18:27,429000000,+3.62%,407000000,450000000
2025-03-09,07:22:47,427000000,-0.47%,405000000,448000000
2025-03-09,09:22:26,437000000,+2.34%,415000000,458000000
2025-03-09,11:20:21,438000000,+0.23%,416000000,459000000
2025-03-09,13:18:57,443000000,+1.14%,420000000,465000000
2025-03-09,15:09:31,435000000,-1.81%,413000000,456000000
2025-03-09,17:06:38,440000000,+1.15%,418000000,461000000
2025-03-09,18:27:23,444000000,+0.91%,421000000,466000000
2025-03-09,19:17:07,444000000,+0.91%,421000000,466000000
2025-03-09,21:20:32,433000000,-2.48%,411000000,454000000
2025-03-09,23:23:08,436000000,+0.46%,414000000,457000000
