Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-02-26,21:10:56,389000000,+3.73%,369000000,408000000
2025-02-26,358 000 000,-4.28%,340 000 000,375 000 000
2025-02-26,17:26:43,358000000,-4.28%,340000000,375000000
2025-02-26,19:10:45,375000000,+4.75%,356000000,393000000
2025-02-26,21:10:56,389000000,+3.73%,369000000,408000000
2025-02-27,17:28:01,,-,,
2025-02-27,19:06:41,425000000,-5.13%,403000000,446000000
2025-02-27,19:06:41,425000000,-5.13%,403000000,446000000
2025-02-27,19:10:43,425000000,-5.13%,403000000,446000000
2025-02-27,19:10:43,425000000,-5.13%,403000000,446000000
2025-02-27,19:12:05,425000000,-5.13%,403000000,446000000
2025-02-27,19:12:05,425000000,-5.13%,403000000,446000000
2025-02-27,19:14:36,425000000,-5.13%,403000000,446000000
2025-02-27,19:14:36,425000000,-5.13%,403000000,446000000
2025-02-27,19:50:35,403000000,-5.18%,382000000,423000000
2025-02-27,19:50:35,403000000,-5.18%,382000000,423000000
2025-02-27,19:56:22,403000000,-5.18%,382000000,423000000
2025-02-27,19:56:22,403000000,-5.18%,382000000,423000000
2025-02-27,20:09:47,403000000,-5.18%,382000000,423000000
2025-02-27,20:09:47,403000000,-5.18%,382000000,423000000
2025-02-28,10:25:12,431000000,+4.87%,409000000,452000000
2025-02-28,10:25:12,431000000,+4.87%,409000000,452000000
2025-02-28,10:37:55,431000000,+4.87%,409000000,452000000
2025-02-28,10:37:55,431000000,+4.87%,409000000,452000000
2025-02-28,11:10:45,431000000,+4.87%,409000000,452000000
2025-02-28,11:43:49,431000000,+4.87%,409000000,452000000
2025-02-28,13:10:44,431000000,+4.87%,409000000,452000000
2025-02-28,15:10:45,431000000,+4.87%,409000000,452000000
2025-02-28,15:29:30,431000000,+4.87%,409000000,452000000
2025-02-28,15:41:32,431000000,+4.87%,409000000,452000000
2025-02-28,15:46:48,431000000,+4.87%,409000000,452000000
2025-02-28,17:10:35,428000000,-0.7%,406000000,449000000
2025-02-28,22:11:49,427000000,+4.91%,405000000,448000000
2025-02-28,23:10:43,427000000,+4.91%,405000000,448000000
2025-03-01,01:10:57,424000000,-0.7%,402000000,445000000
2025-03-01,03:10:45,402000000,-5.19%,381000000,422000000
2025-03-01,05:10:44,391000000,-2.74%,371000000,410000000
2025-03-01,07:11:28,390000000,-0.26%,370000000,409000000
2025-03-01,09:10:43,390000000,-0.26%,370000000,409000000
2025-03-01,11:10:43,371000000,-4.87%,352000000,389000000
2025-03-01,12:03:33,360000000,-2.96%,342000000,377000000
2025-03-01,13:10:44,360000000,-2.96%,342000000,377000000
2025-03-01,15:10:43,377000000,+4.72%,358000000,395000000
2025-03-01,17:46:25,356000000,-4.81%,338000000,373000000
2025-03-01,21:04:50,364000000,+2.25%,345000000,382000000
2025-03-01,21:10:46,364000000,+2.25%,345000000,382000000
2025-03-01,23:10:43,381000000,+4.67%,361000000,400000000
2025-03-02,01:10:48,373000000,-2.1%,354000000,391000000
2025-03-02,03:10:44,354000000,-5.09%,336000000,371000000
2025-03-02,05:10:44,354000000,-5.09%,336000000,371000000
2025-03-02,07:10:44,354000000,-5.09%,336000000,371000000
2025-03-02,09:10:44,336000000,-5.08%,319000000,352000000
2025-03-02,11:10:44,341000000,+1.49%,323000000,358000000
2025-03-02,13:10:44,358000000,+4.99%,340000000,375000000
2025-03-02,15:11:30,366000000,+2.23%,347000000,384000000
2025-03-02,17:10:44,384000000,+4.92%,364000000,403000000
2025-03-02,19:10:44,403000000,+4.95%,382000000,423000000
2025-03-02,21:56:13,393000000,+0.26%,373000000,412000000
2025-03-02,23:10:43,393000000,+0.26%,373000000,412000000
2025-03-03,01:12:14,409000000,+4.07%,388000000,429000000
2025-03-03,03:10:47,406000000,-0.73%,385000000,426000000
2025-03-03,05:10:45,406000000,-0.73%,385000000,426000000
2025-03-03,07:10:48,388000000,-4.43%,368000000,407000000
2025-03-03,09:10:50,368000000,-5.15%,349000000,386000000
2025-03-03,10:45:20,367000000,-0.27%,348000000,385000000
2025-03-03,11:10:51,367000000,-0.27%,348000000,385000000
2025-03-03,13:10:44,385000000,+4.9%,365000000,404000000
2025-03-03,15:10:43,386000000,+0.26%,366000000,405000000
2025-03-03,17:10:43,405000000,+4.92%,384000000,425000000
2025-03-03,18:26:17,384000000,-5.19%,364000000,403000000
