Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-07,11:50:29,1520000000,-3.18%,1440000000,1590000000
2025-03-07,13:05:31,1520000000,-3.18%,1440000000,1590000000
2025-03-07,15:05:30,1560000000,+2.63%,1480000000,1630000000
2025-03-07,17:53:24,1630000000,+3.16%,1540000000,1710000000
2025-03-07,19:05:31,1630000000,+3.16%,1540000000,1710000000
2025-03-07,19:09:40,1630000000,+3.16%,1540000000,1710000000
2025-03-07,23:53:09,1640000000,+1.86%,1550000000,1720000000
2025-03-08,01:16:10,1640000000,+1.86%,1550000000,1720000000
2025-03-08,03:17:45,1610000000,-1.83%,1520000000,1690000000
2025-03-08,05:05:31,1610000000,-1.83%,1520000000,1690000000
2025-03-08,07:05:30,1620000000,+0.62%,1530000000,1700000000
2025-03-08,09:12:36,1650000000,+1.85%,1560000000,1730000000
2025-03-08,11:12:28,1600000000,-3.03%,1520000000,1670000000
2025-03-08,13:12:38,1620000000,+1.25%,1530000000,1700000000
2025-03-08,15:12:27,1640000000,+1.23%,1550000000,1720000000
2025-03-08,17:12:28,1700000000,+3.66%,1610000000,1780000000
2025-03-08,19:12:28,1770000000,+4.12%,1680000000,1850000000
2025-03-08,21:05:32,1820000000,+2.82%,1720000000,1910000000
2025-03-08,23:12:44,1790000000,-1.65%,1700000000,1870000000
2025-03-08,23:42:11,1790000000,-1.65%,1700000000,1870000000
2025-03-09,01:22:36,1790000000,-1.65%,1700000000,1870000000
2025-03-09,03:22:27,1870000000,+4.47%,1770000000,1960000000
2025-03-09,05:20:31,1870000000,+4.47%,1770000000,1960000000
2025-03-09,07:24:52,1870000000,+4.47%,1770000000,1960000000
2025-03-09,09:24:31,1870000000,+4.47%,1770000000,1960000000
2025-03-09,11:22:26,1960000000,+4.81%,1860000000,2050000000
2025-03-09,13:21:02,2050000000,+4.59%,1940000000,2150000000
2025-03-09,15:05:32,2050000000,+4.59%,1940000000,2150000000
2025-03-09,17:05:32,2050000000,+4.59%,1940000000,2150000000
2025-03-09,18:27:31,2050000000,+4.59%,1940000000,2150000000
2025-03-09,19:12:42,2050000000,+4.59%,1940000000,2150000000
2025-03-09,21:22:38,1940000000,-5.37%,1840000000,2030000000
2025-03-09,23:18:52,1940000000,-5.37%,1840000000,2030000000
2025-03-10,10:56:33,1770000000,+2.31%,1680000000,1850000000
2025-03-10,11:17:58,1770000000,+2.31%,1680000000,1850000000
2025-03-10,14:23:43,1800000000,-2.17%,1710000000,1880000000
2025-03-10,15:11:23,1800000000,-2.17%,1710000000,1880000000
2025-03-10,17:20:46,1810000000,+0.56%,1710000000,1900000000
2025-03-10,19:14:44,1860000000,+2.76%,1760000000,1950000000
2025-03-10,21:05:31,1900000000,+2.15%,1800000000,1990000000
2025-03-10,23:13:33,1900000000,+2.15%,1800000000,1990000000
2025-03-11,01:35:58,1900000000,+2.15%,1800000000,1990000000
2025-03-11,03:22:34,1820000000,-4.21%,1720000000,1910000000
2025-03-11,05:26:52,1910000000,+4.95%,1810000000,2000000000
2025-03-11,07:20:43,1910000000,+4.95%,1810000000,2000000000
2025-03-11,09:25:51,2000000000,+4.71%,1900000000,2090000000
2025-03-11,11:07:31,2090000000,+4.5%,1980000000,2190000000
2025-03-11,15:47:42,2120000000,+1.44%,2010000000,2220000000
2025-03-11,16:50:59,2140000000,+0.94%,2030000000,2240000000
2025-03-11,17:11:23,2140000000,+0.94%,2030000000,2240000000
2025-03-11,19:05:32,2190000000,+2.34%,2080000000,2290000000
2025-03-11,21:15:05,2350000000,+4.91%,2230000000,2460000000
2025-03-11,23:10:43,2460000000,+4.68%,2330000000,2580000000
2025-03-12,01:05:31,2460000000,+4.68%,2330000000,2580000000
2025-03-12,03:16:49,2460000000,+4.68%,2330000000,2580000000
2025-03-12,05:24:48,2460000000,+4.68%,2330000000,2580000000
2025-03-12,07:20:38,2580000000,+4.88%,2450000000,2700000000
2025-03-12,09:09:51,2580000000,+4.88%,2450000000,2700000000
2025-03-12,11:05:32,2580000000,+4.88%,2450000000,2700000000
2025-03-12,13:05:32,2450000000,-5.04%,2320000000,2570000000
2025-03-12,15:01:40,2500000000,+2.04%,2370000000,2620000000
2025-03-12,15:11:13,2500000000,+2.04%,2370000000,2620000000
2025-03-12,17:05:31,2370000000,-5.2%,2250000000,2480000000
2025-03-12,19:24:47,2390000000,+3.02%,2270000000,2500000000
2025-03-12,21:12:45,2390000000,+3.02%,2270000000,2500000000
2025-03-12,23:12:49,2500000000,+4.6%,2370000000,2620000000
2025-03-13,01:44:24,2570000000,+4.9%,2440000000,2690000000
2025-03-13,03:26:58,2570000000,+4.9%,2440000000,2690000000
2025-03-13,05:22:41,2690000000,+4.67%,2550000000,2820000000
2025-03-13,07:30:38,2660000000,-1.12%,2520000000,2790000000
2025-03-13,09:23:40,2790000000,+4.89%,2650000000,2920000000
2025-03-13,11:24:36,2790000000,+4.89%,2650000000,2920000000
2025-03-13,13:18:47,2790000000,+4.89%,2650000000,2920000000
2025-03-13,15:24:34,2790000000,+4.89%,2650000000,2920000000
2025-03-13,17:05:31,2790000000,+4.89%,2 650 000 000,2 920 000 000
2025-03-14,19:05:22,2790000000,+4.89%,2 650 000 000,2 920 000 000
2025-03-14,21:05:22,2790000000,+4.89%,2 650 000 000,2 920 000 000
2025-03-14,23:05:22,2650000000,-5.02%,2 510 000 000,2 780 000 000
2025-03-14,01:05:22,2650000000,-5.02%,2 510 000 000,2 780 000 000
2025-03-15,03:05:22,2650000000,-5.02%,2 510 000 000,2 780 000 000
2025-03-15,05:05:22,2650000000,-5.02%,2 510 000 000,2 780 000 000
2025-03-15,07:05:22,2780000000,+4.91%,2 640 000 000,2 910 000 000
2025-03-15,09:05:22,2780000000,+4.91%,2 640 000 000,2 910 000 000
2025-03-15,11:05:22,2780000000,+4.91%,2 640 000 000,2 910 000 000
2025-03-15,13:05:22,2780000000,+4.91%,2 640 000 000,2 910 000 000
2025-03-15,13:27:32,2640000000,-5.04%,2 500 000 000,2 770 000 000
2025-03-15,15:28:06,2640000000,-5.04%,2 500 000 000,2 770 000 000
2025-03-15,17:22:41,2500000000,-5.3%,2 370 000 000,2 620 000 000
2025-03-15,19:12:43,2500000000,-5.3%,2 370 000 000,2 620 000 000
2025-03-15,21:21:04,2500000000,-5.3%,2 370 000 000,2 620 000 000
2025-03-15,23:12:33,2500000000,-5.3%,2 370 000 000,2 620 000 000
2025-03-16,01:24:15,2500000000,-5.3%,2 370 000 000,2 620 000 000
2025-03-16,03:22:32,2490000000,-0.4%,2 360 000 000,2 610 000 000
2025-03-16,05:27:04,2490000000,-0.4%,2 360 000 000,2 610 000 000
2025-03-16,07:29:09,2490000000,-0.4%,2 360 000 000,2 610 000 000
2025-03-16,09:24:41,2610000000,+4.82%,2 470 000 000,2 740 000 000
2025-03-16,11:18:59,2610000000,+4.82%,2 470 000 000,2 740 000 000
2025-03-16,13:05:22,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-16,14:45:46,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-16,15:22:43,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-16,17:22:43,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-16,19:22:43,2720000000,-0.73%,2 580 000 000,2 850 000 000
2025-03-16,23:08:34,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,01:16:30,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,03:29:49,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,05:19:06,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,07:19:52,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,09:08:24,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,10:51:24,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,11:05:32,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,13:05:32,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,15:05:32,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,21:24:19,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,23:05:31,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-18,01:22:30,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,03:22:22,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,05:22:30,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,07:16:18,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,09:06:14,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,11:05:31,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,13:08:43,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,15:05:32,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,17:05:31,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,20:11:54,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,22:00:36,2740000000,+4.98%,2600000000,2870000000
2025-03-18,23:03:37,2740000000,+4.98%,2 600 000 000,2 870 000 000
