Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-14,16:10:33,18100000,0%,17100000,19000000
2025-04-14,16:45:10,18100000,0%,17100000,19000000
2025-04-14,18:46:17,18100000,0%,17100000,19000000
2025-04-15,09:20:30,18500000,0%,17500000,19400000
2025-04-15,10:45:38,18900000,0%,17900000,19800000
2025-04-15,13:10:13,18400000,0%,17400000,19300000
2025-04-15,14:15:14,18500000,0%,17500000,19400000
2025-04-15,14:39:53,18500000,0%,17500000,19400000
2025-04-15,14:45:10,18500000,0%,17500000,19400000
2025-04-15,16:07:07,18000000,0%,17100000,18900000
2025-04-15,16:45:09,18000000,0%,17100000,18900000
2025-04-15,18:46:17,17500000,0%,16600000,18300000
2025-04-15,20:45:25,17200000,0%,16300000,18000000
2025-04-15,22:45:32,17500000,0%,16600000,18300000
2025-04-16,00:44:39,17300000,0%,16400000,18100000
2025-04-16,02:44:47,17100000,0%,16200000,17900000
2025-04-16,04:45:53,16800000,0%,15900000,17600000
2025-04-16,06:46:01,16900000,0%,16000000,17700000
2025-04-16,08:45:22,16900000,0%,16000000,17700000
2025-04-16,10:46:29,17000000,0%,16100000,17800000
2025-04-16,12:34:26,16900000,0%,16000000,17700000
2025-04-16,12:45:18,16900000,0%,16000000,17700000
2025-04-16,13:24:47,16600000,0%,15700000,17400000
2025-04-16,14:45:07,16600000,0%,15700000,17400000
2025-04-16,17:21:46,16500000,0%,15600000,17300000
2025-04-16,18:44:53,16500000,0%,15600000,17300000
2025-04-16,20:45:03,16400000,0%,15500000,17200000
2025-04-16,22:45:11,16000000,0%,15200000,16800000
2025-04-17,00:45:18,16300000,0%,15400000,17100000
2025-04-17,02:46:25,16200000,0%,15300000,17000000
2025-04-17,04:46:32,16100000,0%,15200000,16900000
2025-04-17,07:12:09,16100000,0%,15200000,16900000
2025-04-17,08:45:16,16400000,0%,15500000,17200000
2025-04-17,10:24:16,17200000,0%,16300000,18000000
2025-04-17,10:45:10,17200000,0%,16300000,18000000
2025-04-18,13:28:05,15900000,0%,15100000,16600000
2025-04-18,17:20:30,16700000,0%,15800000,17500000
2025-04-18,18:45:54,16700000,0%,15800000,17500000
2025-04-19,06:06:47,16700000,0%,15800000,17500000
2025-04-19,06:44:49,16700000,0%,15800000,17500000
2025-04-19,08:44:47,16800000,0%,15900000,17600000
2025-04-19,11:43:56,17000000,0%,16100000,17800000
2025-04-19,12:44:43,17000000,0%,16100000,17800000
2025-04-19,13:10:40,17000000,0%,16100000,17800000
2025-04-19,13:39:27,17000000,0%,16100000,17800000
2025-04-19,14:10:04,16600000,0%,15700000,17400000
2025-04-19,14:28:34,16600000,0%,15700000,17400000
2025-04-19,14:44:40,16600000,0%,15700000,17400000
2025-04-19,16:28:48,16600000,0%,15700000,17400000
2025-04-19,16:44:53,16600000,0%,15700000,17400000
2025-04-19,17:05:55,16800000,0%,15900000,17600000
2025-04-19,17:37:33,16800000,0%,15900000,17600000
2025-04-19,17:49:36,16800000,0%,15900000,17600000
