Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-14,16:10:43,18000000,0%,17100000,18900000
2025-04-14,18:04:03,17900000,0%,17000000,18700000
2025-04-15,09:20:40,18500000,0%,17500000,19400000
2025-04-15,10:03:38,18500000,0%,17500000,19400000
2025-04-15,13:10:22,18800000,0%,17800000,19700000
2025-04-15,14:03:39,19400000,0%,18400000,20300000
2025-04-15,14:15:23,19400000,0%,18400000,20300000
2025-04-15,14:40:05,19400000,0%,18400000,20300000
2025-04-15,16:07:17,19200000,0%,18200000,20100000
2025-04-15,18:03:23,19100000,0%,18100000,20000000
2025-04-15,20:03:30,18500000,0%,17500000,19400000
2025-04-15,22:03:38,18000000,0%,17100000,18900000
2025-04-16,00:03:45,17700000,0%,16800000,18500000
2025-04-16,02:03:51,17400000,0%,16500000,18200000
2025-04-16,04:03:58,17900000,0%,17000000,18700000
2025-04-16,06:04:05,18500000,0%,17500000,19400000
2025-04-16,08:03:23,19100000,0%,18100000,20000000
2025-04-16,10:03:42,19300000,0%,18300000,20200000
2025-04-16,12:03:50,19600000,0%,18600000,20500000
2025-04-16,12:34:46,19600000,0%,18600000,20500000
2025-04-16,13:25:11,19900000,0%,18900000,20800000
2025-04-16,14:03:52,19900000,0%,18900000,20800000
2025-04-16,16:04:10,19700000,0%,18700000,20600000
2025-04-16,17:21:57,19200000,0%,18200000,20100000
2025-04-16,18:03:37,19200000,0%,18200000,20100000
2025-04-16,20:03:45,18900000,0%,17900000,19800000
2025-04-16,22:03:52,18500000,0%,17500000,19400000
2025-04-17,00:03:59,18700000,0%,17700000,19600000
2025-04-17,02:05:06,18500000,0%,17500000,19400000
2025-04-17,04:03:14,18500000,0%,17500000,19400000
2025-04-17,07:12:19,18400000,0%,17400000,19300000
2025-04-17,08:03:37,18100000,0%,17100000,19000000
2025-04-17,10:24:25,17500000,0%,16600000,18300000
2025-04-18,13:27:54,16900000,0%,16000000,17700000
2025-04-18,17:20:18,16900000,0%,16000000,17700000
2025-04-18,18:45:41,16900000,0%,16000000,17700000
2025-04-19,06:06:33,17000000,0%,16100000,17800000
2025-04-19,08:03:34,17000000,0%,16100000,17800000
2025-04-19,11:43:26,17700000,0%,16800000,18500000
2025-04-19,12:03:24,17700000,0%,16800000,18500000
2025-04-19,13:10:31,17700000,0%,16800000,18500000
2025-04-19,13:39:17,17700000,0%,16800000,18500000
2025-04-19,14:09:51,18000000,0%,17100000,18900000
2025-04-19,14:28:14,18000000,0%,17100000,18900000
2025-04-19,16:03:25,18000000,0%,17100000,18900000
2025-04-19,16:28:39,18000000,0%,17100000,18900000
2025-04-19,17:05:43,17100000,0%,16200000,17900000
2025-04-19,17:37:28,17100000,0%,16200000,17900000
2025-04-19,17:49:31,17100000,0%,16200000,17900000
2025-04-19,18:34:01,17100000,0%,16200000,17900000
2025-04-19,18:48:59,17100000,0%,16200000,17900000
2025-04-19,20:03:07,16900000,0%,16000000,17700000
2025-04-20,07:23:40,17400000,0%,16500000,18200000
2025-04-20,08:01:47,17400000,0%,16500000,18200000
2025-04-20,08:16:58,17400000,0%,16500000,18200000
2025-04-20,17:07:39,17600000,0%,16700000,18400000
2025-04-20,18:02:49,17600000,0%,16700000,18400000
2025-04-21,07:11:52,18700000,0%,17700000,19600000
2025-04-21,08:02:50,18700000,0%,17700000,19600000
2025-04-21,10:03:09,19200000,0%,18200000,20100000
2025-04-21,12:02:30,19200000,0%,18200000,20100000
2025-04-21,12:17:51,19200000,0%,18200000,20100000
2025-04-21,14:03:10,19200000,0%,18200000,20100000
2025-04-21,16:02:32,19400000,0%,18400000,20300000
2025-04-21,16:17:52,19400000,0%,18400000,20300000
2025-04-21,18:03:13,19400000,0%,18400000,20300000
2025-04-21,20:02:32,18900000,0%,17900000,19800000
2025-04-21,20:03:35,18900000,0%,17900000,19800000
2025-04-21,22:02:54,18600000,0%,17600000,19500000
2025-04-22,00:03:13,18600000,0%,17600000,19500000
2025-04-22,02:02:31,18500000,0%,17500000,19400000
2025-04-22,02:03:34,18500000,0%,17500000,19400000
2025-04-22,04:02:52,18500000,0%,17500000,19400000
2025-04-22,06:03:11,19100000,0%,18100000,20000000
2025-04-22,08:02:30,19800000,0%,18800000,20700000
2025-04-22,08:17:50,19800000,0%,18800000,20700000
2025-04-22,10:03:08,19800000,0%,18800000,20700000
2025-04-22,12:02:27,20200000,0%,19100000,21200000
2025-04-22,12:03:30,20200000,0%,19100000,21200000
2025-04-22,14:02:48,20200000,0%,19100000,21200000
2025-04-22,16:03:09,20200000,0%,19100000,21200000
2025-04-22,18:02:28,20100000,0%,19000000,21100000
