Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-24,13:31:18,25300000,0%,24000000,26500000
2025-04-24,14:53:42,25300000,0%,24000000,26500000
2025-04-24,16:53:00,22900000,0%,21700000,24000000
2025-04-24,16:54:04,22900000,0%,21700000,24000000
2025-04-24,18:53:22,22900000,0%,21700000,24000000
2025-04-24,20:53:39,20800000,0%,19700000,21800000
2025-04-24,22:52:57,19800000,0%,18800000,20700000
2025-04-24,22:54:00,19800000,0%,18800000,20700000
2025-04-25,00:53:18,19800000,0%,18800000,20700000
2025-04-25,02:53:36,17900000,0%,17000000,18700000
2025-04-25,04:53:57,17900000,0%,17000000,18700000
2025-04-25,06:53:16,16200000,0%,15300000,17000000
2025-04-25,08:53:34,16200000,0%,15300000,17000000
2025-04-25,10:53:53,15400000,0%,14600000,16100000
2025-04-25,12:53:16,15400000,0%,14600000,16100000
2025-04-26,07:46:22,15500000,0%,14700000,16200000
2025-04-26,08:55:56,15500000,0%,14700000,16200000
2025-04-26,11:12:03,15500000,0%,14700000,16200000
2025-04-26,12:57:49,15500000,0%,14700000,16200000
2025-04-26,15:01:24,15500000,0%,14700000,16200000
2025-04-26,17:29:13,15500000,0%,14700000,16200000
2025-04-26,18:55:34,15500000,0%,14700000,16200000
2025-04-26,20:55:27,15500000,0%,14700000,16200000
2025-04-26,22:55:24,15500000,0%,14700000,16200000
2025-04-27,00:54:24,15500000,0%,14700000,16200000
2025-04-27,02:55:39,15500000,0%,14700000,16200000
2025-04-27,04:55:36,15500000,0%,14700000,16200000
2025-04-27,06:59:46,15500000,0%,14700000,16200000
2025-04-27,08:55:02,15500000,0%,14700000,16200000
2025-04-27,10:56:48,15500000,0%,14700000,16200000
2025-04-27,13:17:57,15500000,0%,14700000,16200000
2025-04-27,14:53:28,15500000,0%,14700000,16200000
2025-04-27,16:59:42,15500000,0%,14700000,16200000
2025-04-27,18:56:49,15500000,0%,14700000,16200000
2025-04-27,20:53:20,15500000,0%,14700000,16200000
2025-04-27,22:55:26,15500000,0%,14700000,16200000
2025-04-28,00:55:57,15500000,0%,14700000,16200000
2025-04-28,02:54:14,15500000,0%,14700000,16200000
2025-04-28,05:20:59,15500000,0%,14700000,16200000
2025-04-28,07:16:32,15500000,0%,14700000,16200000
2025-04-28,08:53:51,15500000,0%,14700000,16200000
2025-04-28,10:53:09,15500000,0%,14700000,16200000
2025-04-28,12:53:27,15400000,0%,14600000,16100000
2025-04-28,14:53:44,15400000,0%,14600000,16100000
2025-04-28,16:53:02,15300000,0%,14500000,16000000
2025-04-28,16:54:05,15300000,0%,14500000,16000000
2025-04-28,18:53:23,15300000,0%,14500000,16000000
2025-04-28,20:53:40,15400000,0%,14600000,16100000
2025-04-28,22:52:58,15400000,0%,14600000,16100000
2025-04-28,22:54:01,15400000,0%,14600000,16100000
2025-04-29,00:53:20,16400000,0%,15500000,17200000
2025-04-29,02:53:38,16400000,0%,15500000,17200000
2025-04-29,04:52:56,17100000,0%,16200000,17900000
2025-04-29,04:53:59,17100000,0%,16200000,17900000
2025-04-29,06:53:18,17100000,0%,16200000,17900000
2025-04-29,08:53:36,16600000,0%,15700000,17400000
2025-04-29,10:53:55,16600000,0%,15700000,17400000
2025-04-29,12:53:13,15800000,0%,15000000,16500000
2025-04-29,14:53:31,15800000,0%,15000000,16500000
2025-04-29,16:53:50,15200000,0%,14400000,15900000
2025-04-29,19:51:03,15100000,0%,14300000,15800000
2025-04-29,20:54:01,15100000,0%,14300000,15800000
2025-04-29,22:53:20,15100000,0%,14300000,15800000
2025-04-30,00:53:43,15000000,0%,14200000,15700000
2025-04-30,02:53:59,15000000,0%,14200000,15700000
2025-04-30,04:53:21,15800000,0%,15000000,16500000
2025-04-30,07:30:49,15800000,0%,15000000,16500000
2025-04-30,08:54:42,16600000,0%,15700000,17400000
2025-04-30,10:53:00,16600000,0%,15700000,17400000
2025-04-30,10:54:12,16600000,0%,15700000,17400000
2025-04-30,12:54:28,16300000,0%,15400000,17100000
2025-04-30,14:53:50,16300000,0%,15400000,17100000
2025-04-30,16:53:09,16000000,0%,15200000,16800000
2025-04-30,18:54:24,16000000,0%,15200000,16800000
2025-04-30,20:53:42,15500000,0%,14700000,16200000
2025-04-30,22:53:00,15500000,0%,14700000,16200000
2025-04-30,22:54:11,15500000,0%,14700000,16200000
2025-05-01,00:54:28,15600000,0%,14800000,16300000
2025-05-01,02:53:52,15600000,0%,14800000,16300000
2025-05-01,04:53:32,16400000,0%,15500000,17200000
2025-05-01,07:01:57,16400000,0%,15500000,17200000
