Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-02-26,20:53:16,51700000,+1.17%,49100000,54200000
2025-02-26,51 100 000,-1.16%,48 500 000,53 600 000
2025-02-26,17:26:32,51100000,-1.16%,48500000,53600000
2025-02-26,18:53:16,51100000,-1.16%,48500000,53600000
2025-02-26,20:53:16,51700000,+1.17%,49100000,54200000
2025-02-27,18:53:15,48000000,-0.62%,45600000,50300000
2025-02-27,19:06:26,48000000,-0.62%,45600000,50300000
2025-02-27,19:06:26,48000000,-0.62%,45600000,50300000
2025-02-27,19:11:51,48100000,+0.21%,45600000,50500000
2025-02-27,19:11:51,48100000,+0.21%,45600000,50500000
2025-02-27,19:14:22,48100000,+0.21%,45600000,50500000
2025-02-27,19:14:22,48100000,+0.21%,45600000,50500000
2025-02-27,19:50:23,48100000,+0.21%,45600000,50500000
2025-02-27,19:50:23,48100000,+0.21%,45600000,50500000
2025-02-27,19:56:08,48100000,+0.21%,45600000,50500000
2025-02-27,19:56:08,48100000,+0.21%,45600000,50500000
2025-02-27,20:09:36,48100000,+0.21%,45600000,50500000
2025-02-27,20:09:36,48100000,+0.21%,45600000,50500000
2025-02-28,10:24:59,45400000,-3.81%,43100000,47600000
2025-02-28,10:24:59,45400000,-3.81%,43100000,47600000
2025-02-28,10:37:26,45400000,-3.81%,43100000,47600000
2025-02-28,10:37:26,45400000,-3.81%,43100000,47600000
2025-02-28,10:53:17,45400000,-3.81%,43100000,47600000
2025-02-28,10:53:17,45400000,-3.81%,43100000,47600000
2025-02-28,11:10:31,45400000,-3.81%,43100000,47600000
2025-02-28,11:41:49,44000000,-3.08%,41800000,46100000
2025-02-28,12:53:20,44000000,-3.08%,41800000,46100000
2025-02-28,14:53:21,43300000,-1.59%,41100000,45400000
2025-02-28,15:29:05,43700000,+0.92%,41500000,45800000
2025-02-28,15:41:14,43700000,+0.92%,41500000,45800000
2025-02-28,15:46:36,43700000,+0.92%,41500000,45800000
2025-02-28,17:10:20,43700000,+0.92%,41500000,45800000
2025-02-28,22:11:37,45500000,+1.34%,43200000,47700000
2025-02-28,22:53:15,45500000,+1.34%,43200000,47700000
2025-03-01,00:53:17,46400000,+1.98%,44000000,48700000
2025-03-01,02:53:19,47100000,+1.51%,44700000,49400000
2025-03-01,04:53:16,45800000,-2.76%,43500000,48000000
2025-03-01,06:56:29,,-,,
2025-03-01,08:53:18,43300000,-4.2%,41100000,45400000
