Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:04:11,497000000,+1.22%,472000000,521000000
2025-04-07,08:06:06,490000000,-2.78%,465000000,514000000
2025-04-07,08:57:00,490000000,-2.78%,465000000,514000000
2025-04-07,09:42:05,483000000,-1.43%,458000000,507000000
2025-04-07,09:44:30,483000000,-1.43%,458000000,507000000
2025-04-07,10:57:06,483000000,-1.43%,458000000,507000000
2025-04-07,13:52:22,496000000,+2.27%,471000000,520000000
2025-04-07,14:56:34,496000000,+2.27%,471000000,520000000
2025-04-07,16:56:37,487000000,-1.81%,462000000,511000000
2025-04-07,18:22:10,0,0%,NA,NA
2025-04-07,18:56:56,490000000,+0.62%,465000000,514000000
2025-04-07,20:57:09,0,0%,NA,NA
2025-04-07,22:58:24,0,0%,NA,NA
2025-04-08,00:57:08,457000000,-3.18%,434000000,479000000
2025-04-08,02:56:44,0,0%,NA,NA
2025-04-08,04:57:15,463000000,-0.86%,439000000,486000000
2025-04-08,06:56:29,447000000,-3.46%,424000000,469000000
2025-04-08,08:57:26,441000000,-1.34%,418000000,463000000
2025-04-08,10:26:40,444000000,+0.68%,421000000,466000000
2025-04-08,10:56:50,444000000,+0.68%,421000000,466000000
2025-04-08,12:10:08,0,0%,NA,NA
2025-04-08,12:58:33,448000000,+0.9%,425000000,470000000
2025-04-08,13:05:04,448000000,+0.9%,425000000,470000000
2025-04-08,13:56:36,459000000,+2.46%,436000000,481000000
2025-04-08,14:56:47,459000000,+2.46%,436000000,481000000
2025-04-08,18:09:19,485000000,0%,460000000,509000000
2025-04-08,18:56:46,485000000,0%,460000000,509000000
2025-04-08,23:38:07,475000000,0%,451000000,498000000
2025-04-09,00:56:27,475000000,0%,451000000,498000000
2025-04-09,02:57:25,481000000,0%,456000000,505000000
2025-04-09,04:56:32,505000000,0%,479000000,530000000
2025-04-09,06:56:37,505000000,0%,479000000,530000000
2025-04-09,08:56:43,479000000,0%,455000000,502000000
2025-04-09,09:51:19,463000000,0%,439000000,486000000
2025-04-09,10:38:42,463000000,0%,439000000,486000000
2025-04-09,10:56:47,463000000,0%,439000000,486000000
2025-04-09,13:56:48,451000000,0%,428000000,473000000
2025-04-09,14:03:11,451000000,0%,428000000,473000000
2025-04-09,14:56:41,451000000,0%,428000000,473000000
2025-04-09,18:55:29,469000000,0%,445000000,492000000
2025-04-09,18:56:52,469000000,0%,445000000,492000000
2025-04-09,19:51:56,476000000,0%,452000000,499000000
2025-04-09,20:57:00,476000000,0%,452000000,499000000
2025-04-09,23:05:02,466000000,0%,442000000,489000000
2025-04-10,00:57:05,446000000,0%,423000000,468000000
2025-04-10,02:56:09,451000000,0%,428000000,473000000
2025-04-10,04:56:12,450000000,0%,427000000,472000000
2025-04-10,06:56:19,427000000,0%,405000000,448000000
2025-04-10,08:57:22,431000000,0%,409000000,452000000
2025-04-10,12:29:04,415000000,0%,394000000,435000000
2025-04-10,12:56:47,415000000,0%,394000000,435000000
2025-04-10,14:38:15,421000000,0%,399000000,442000000
2025-04-10,14:56:46,421000000,0%,399000000,442000000
2025-04-10,16:56:49,417000000,0%,396000000,437000000
2025-04-10,18:56:53,421000000,0%,399000000,442000000
2025-04-10,20:56:56,430000000,0%,408000000,451000000
2025-04-10,22:56:59,434000000,0%,412000000,455000000
2025-04-10,23:02:31,434000000,0%,412000000,455000000
2025-04-11,00:56:50,441000000,0%,418000000,463000000
2025-04-11,02:56:53,445000000,0%,422000000,467000000
2025-04-11,04:56:56,453000000,0%,430000000,475000000
2025-04-11,06:57:00,441000000,0%,418000000,463000000
2025-04-11,08:57:05,430000000,0%,408000000,451000000
2025-04-11,10:56:09,436000000,0%,414000000,457000000
2025-04-11,12:56:13,438000000,0%,416000000,459000000
2025-04-11,14:57:15,458000000,0%,435000000,480000000
2025-04-11,16:57:18,464000000,0%,440000000,487000000
2025-04-11,18:56:21,475000000,0%,451000000,498000000
2025-04-11,20:56:24,460000000,0%,437000000,482000000
2025-04-11,22:57:27,438000000,0%,416000000,459000000
2025-04-12,00:56:31,445000000,0%,422000000,467000000
2025-04-12,02:57:34,441000000,0%,418000000,463000000
2025-04-12,04:57:38,463000000,0%,439000000,486000000
2025-04-12,06:56:42,480000000,0%,456000000,503000000
2025-04-12,08:56:45,456000000,0%,433000000,478000000
2025-04-12,10:56:49,433000000,0%,411000000,454000000
2025-04-12,12:57:53,423000000,0%,401000000,444000000
2025-04-12,14:56:57,431000000,0%,409000000,452000000
2025-04-12,16:57:01,424000000,0%,402000000,445000000
2025-04-12,18:57:05,445000000,0%,422000000,467000000
2025-04-12,20:56:17,447000000,0%,424000000,469000000
2025-04-12,22:56:22,455000000,0%,432000000,477000000
2025-04-13,14:04:32,405000000,0%,384000000,425000000
2025-04-13,14:56:40,405000000,0%,384000000,425000000
2025-04-13,16:57:25,424000000,0%,402000000,445000000
2025-04-13,18:57:29,430000000,0%,408000000,451000000
2025-04-13,20:57:37,437000000,0%,415000000,458000000
2025-04-13,22:56:45,450000000,0%,427000000,472000000
2025-04-14,00:56:57,432000000,0%,410000000,453000000
2025-04-14,02:57:04,432000000,0%,410000000,453000000
2025-04-14,04:57:06,425000000,0%,403000000,446000000
2025-04-14,06:29:44,426000000,0%,404000000,447000000
2025-04-14,06:57:06,426000000,0%,404000000,447000000
2025-04-14,08:57:21,430000000,0%,408000000,451000000
2025-04-14,10:04:31,425000000,0%,403000000,446000000
2025-04-14,13:04:19,424000000,0%,402000000,445000000
2025-04-14,14:57:10,437000000,0%,415000000,458000000
2025-04-14,16:10:51,433000000,0%,411000000,454000000
2025-04-14,16:56:41,433000000,0%,411000000,454000000
2025-04-15,09:20:51,424000000,0%,402000000,445000000
2025-04-15,10:56:58,426000000,0%,404000000,447000000
