Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-08,23:43:06,207000000,+0.98%,196000000,217000000
2025-03-09,01:01:36,207000000,+0.98%,196000000,217000000
2025-03-09,03:01:36,210000000,+1.45%,199000000,220000000
2025-03-09,05:01:37,218000000,+3.81%,207000000,228000000
2025-03-09,07:01:47,214000000,-1.83%,203000000,224000000
2025-03-09,09:01:35,204000000,-4.67%,193000000,214000000
2025-03-09,11:01:35,206000000,+0.98%,195000000,216000000
2025-03-09,13:01:36,206000000,+0.98%,195000000,216000000
2025-03-09,14:54:17,206000000,+0.98%,195000000,216000000
2025-03-09,16:55:44,207000000,+0.49%,196000000,217000000
2025-03-09,18:28:11,207000000,+0.49%,196000000,217000000
2025-03-09,18:57:52,207000000,+0.49%,196000000,217000000
2025-03-09,21:01:33,209000000,+0.97%,198000000,219000000
2025-03-09,22:59:57,216000000,+3.35%,205000000,226000000
2025-03-10,10:57:06,204000000,-4.23%,193000000,214000000
2025-03-10,12:54:49,203000000,-0.49%,192000000,213000000
2025-03-10,14:54:45,205000000,+0.99%,194000000,215000000
2025-03-10,17:01:34,204000000,-0.49%,193000000,214000000
2025-03-10,18:54:14,207000000,+1.47%,196000000,217000000
2025-03-10,20:58:42,209000000,+0.97%,198000000,219000000
2025-03-10,23:00:28,213000000,+1.91%,202000000,223000000
2025-03-11,01:08:52,216000000,+1.41%,205000000,226000000
2025-03-11,03:01:37,215000000,-0.46%,204000000,225000000
2025-03-11,04:59:46,213000000,-0.93%,202000000,223000000
2025-03-11,07:01:38,202000000,-5.16%,191000000,212000000
2025-03-11,09:00:48,202000000,-5.16%,191000000,212000000
2025-03-11,11:01:38,194000000,-3.96%,184000000,203000000
2025-03-11,15:48:13,194000000,+2.65%,184000000,203000000
2025-03-11,16:52:01,194000000,+2.65%,184000000,203000000
2025-03-11,16:54:42,194000000,+2.65%,184000000,203000000
2025-03-11,18:55:16,195000000,+0.52%,185000000,204000000
2025-03-11,20:55:18,198000000,+1.54%,188000000,207000000
2025-03-11,22:56:25,200000000,+1.01%,190000000,209000000
2025-03-12,01:01:15,203000000,+1.5%,192000000,213000000
2025-03-12,02:59:15,205000000,+0.99%,194000000,215000000
2025-03-12,05:01:41,204000000,-0.49%,193000000,214000000
2025-03-12,07:01:37,204000000,-0.49%,193000000,214000000
2025-03-12,09:01:38,200000000,-1.96%,190000000,209000000
2025-03-12,10:57:31,198000000,-1%,188000000,207000000
2025-03-12,12:54:21,195000000,-1.52%,185000000,204000000
2025-03-12,14:56:10,193000000,-1.03%,183000000,202000000
2025-03-12,15:05:41,193000000,-1.03%,183000000,202000000
2025-03-12,16:54:21,196000000,+1.55%,186000000,205000000
2025-03-12,18:54:16,203000000,+3.57%,192000000,213000000
2025-03-12,19:20:18,211000000,+3.94%,200000000,221000000
2025-03-12,20:59:50,211000000,+3.94%,200000000,221000000
2025-03-12,22:54:37,214000000,+1.42%,203000000,224000000
2025-03-13,01:11:03,216000000,+0.93%,205000000,226000000
2025-03-13,03:01:37,221000000,+2.31%,209000000,232000000
2025-03-13,05:01:38,224000000,+1.36%,212000000,235000000
2025-03-13,07:01:35,226000000,+0.89%,214000000,237000000
2025-03-13,09:00:43,214000000,-5.31%,203000000,224000000
2025-03-13,11:01:34,205000000,-4.21%,194000000,215000000
2025-03-13,12:59:45,197000000,-3.9%,187000000,206000000
