Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:04:22,535000000,+2.29%,508000000,561000000
2025-04-07,08:06:16,544000000,-0.91%,516000000,571000000
2025-04-07,09:11:42,544000000,-0.91%,516000000,571000000
2025-04-07,09:42:16,530000000,-2.57%,503000000,556000000
2025-04-07,09:44:41,530000000,-2.57%,503000000,556000000
2025-04-07,11:11:56,530000000,-2.57%,503000000,556000000
2025-04-07,13:52:33,508000000,-2.87%,482000000,533000000
2025-04-07,15:10:40,508000000,-2.87%,482000000,533000000
2025-04-07,17:10:45,522000000,+2.76%,495000000,548000000
2025-04-07,18:22:33,0,0%,NA,NA
2025-04-07,19:12:12,515000000,-1.34%,489000000,540000000
2025-04-07,21:11:49,511000000,-0.78%,485000000,536000000
2025-04-07,23:12:02,523000000,+2.35%,496000000,549000000
2025-04-08,01:11:54,539000000,+3.06%,512000000,565000000
2025-04-08,03:11:57,540000000,+0.19%,513000000,567000000
2025-04-08,05:12:02,536000000,-0.74%,509000000,562000000
2025-04-08,07:12:07,519000000,-3.17%,493000000,544000000
2025-04-08,10:27:01,525000000,+1.35%,498000000,551000000
2025-04-08,11:11:08,525000000,+1.35%,498000000,551000000
2025-04-08,12:10:27,514000000,-2.1%,488000000,539000000
2025-04-08,12:58:52,514000000,-2.1%,488000000,539000000
2025-04-08,13:05:23,514000000,-2.1%,488000000,539000000
2025-04-08,13:11:07,514000000,-2.1%,488000000,539000000
2025-04-08,13:56:47,516000000,+0.39%,490000000,541000000
2025-04-08,15:11:42,516000000,+0.39%,490000000,541000000
2025-04-08,18:09:30,500000000,0%,475000000,524000000
2025-04-08,19:11:48,500000000,0%,475000000,524000000
2025-04-08,23:38:16,513000000,0%,487000000,538000000
2025-04-09,01:11:49,535000000,0%,508000000,561000000
2025-04-09,03:11:52,553000000,0%,525000000,580000000
2025-04-09,05:11:59,546000000,0%,518000000,573000000
2025-04-09,07:12:01,559000000,0%,531000000,586000000
2025-04-09,09:51:29,543000000,0%,515000000,570000000
2025-04-09,10:38:51,543000000,0%,515000000,570000000
2025-04-09,11:11:07,543000000,0%,515000000,570000000
2025-04-09,13:56:58,513000000,0%,487000000,538000000
2025-04-09,14:03:22,513000000,0%,487000000,538000000
2025-04-09,15:12:04,513000000,0%,487000000,538000000
2025-04-09,18:55:39,501000000,0%,475000000,526000000
2025-04-09,19:52:05,501000000,0%,475000000,526000000
2025-04-09,21:12:15,507000000,0%,481000000,532000000
2025-04-09,23:05:14,527000000,0%,500000000,553000000
2025-04-09,23:11:09,527000000,0%,500000000,553000000
2025-04-10,02:12:21,545000000,0%,517000000,572000000
2025-04-10,03:11:08,556000000,0%,528000000,583000000
2025-04-10,05:12:15,564000000,0%,535000000,592000000
2025-04-10,07:12:18,543000000,0%,515000000,570000000
2025-04-10,09:12:22,521000000,0%,494000000,547000000
2025-04-10,12:29:14,477000000,0%,453000000,500000000
2025-04-10,13:11:07,477000000,0%,453000000,500000000
2025-04-10,14:38:26,466000000,0%,442000000,489000000
2025-04-10,15:11:09,466000000,0%,442000000,489000000
2025-04-10,17:12:15,463000000,0%,439000000,486000000
2025-04-10,19:12:17,468000000,0%,444000000,491000000
2025-04-10,21:12:21,467000000,0%,443000000,490000000
2025-04-10,23:02:41,477000000,0%,453000000,500000000
2025-04-10,23:12:09,477000000,0%,453000000,500000000
2025-04-11,01:12:11,489000000,0%,464000000,513000000
2025-04-11,03:12:15,504000000,0%,478000000,529000000
2025-04-11,05:12:18,505000000,0%,479000000,530000000
2025-04-11,07:11:44,497000000,0%,472000000,521000000
2025-04-11,09:11:47,497000000,0%,472000000,521000000
2025-04-11,11:11:50,493000000,0%,468000000,517000000
2025-04-11,13:11:53,483000000,0%,458000000,507000000
2025-04-11,15:10:57,481000000,0%,456000000,505000000
2025-04-11,17:11:02,491000000,0%,466000000,515000000
2025-04-11,19:11:06,504000000,0%,478000000,529000000
2025-04-11,21:11:09,525000000,0%,498000000,551000000
2025-04-11,23:11:14,517000000,0%,491000000,542000000
2025-04-12,01:12:20,526000000,0%,499000000,552000000
2025-04-12,03:12:20,517000000,0%,491000000,542000000
2025-04-12,05:11:24,538000000,0%,511000000,564000000
2025-04-12,07:11:28,534000000,0%,507000000,560000000
2025-04-12,09:11:32,509000000,0%,483000000,534000000
2025-04-12,11:11:46,512000000,0%,486000000,537000000
2025-04-12,13:11:50,525000000,0%,498000000,551000000
2025-04-12,15:11:51,517000000,0%,491000000,542000000
2025-04-12,17:10:55,520000000,0%,494000000,546000000
2025-04-12,19:10:58,511000000,0%,485000000,536000000
2025-04-12,21:12:04,515000000,0%,489000000,540000000
2025-04-12,23:12:05,507000000,0%,481000000,532000000
2025-04-13,14:04:51,487000000,0%,462000000,511000000
2025-04-13,15:12:01,487000000,0%,462000000,511000000
2025-04-13,17:12:08,481000000,0%,456000000,505000000
2025-04-13,19:11:55,501000000,0%,475000000,526000000
2025-04-13,21:11:59,509000000,0%,483000000,534000000
