Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-02,21:27:54,73000000,+1.11%,69300000,76600000
2025-04-02,22:05:03,73000000,+1.11%,69300000,76600000
2025-04-03,13:21:25,69800000,-1.13%,66300000,73200000
2025-04-03,14:05:04,69800000,-1.13%,66300000,73200000
2025-04-04,11:13:20,64800000,-0.61%,61500000,68000000
2025-04-04,12:05:06,64800000,-0.61%,61500000,68000000
2025-04-04,23:35:32,64200000,+0.63%,60900000,67400000
2025-04-04,23:44:53,64200000,+0.63%,60900000,67400000
2025-04-04,23:58:05,64200000,+0.63%,60900000,67400000
2025-04-05,10:06:27,62800000,-0.95%,59600000,65900000
2025-04-05,12:04:04,62000000,-1.27%,58900000,65000000
2025-04-05,12:06:14,62000000,-1.27%,58900000,65000000
2025-04-05,14:06:22,61600000,-0.65%,58500000,64600000
2025-04-05,16:09:38,61800000,+0.32%,58700000,64800000
2025-04-05,16:24:53,61800000,+0.32%,58700000,64800000
2025-04-05,16:39:18,61800000,+0.32%,58700000,64800000
2025-04-05,16:43:57,61800000,+0.32%,58700000,64800000
2025-04-05,18:07:21,61800000,+0.32%,58700000,64800000
2025-04-05,20:07:42,62600000,+1.29%,59400000,65700000
2025-04-05,22:07:06,63000000,+0.64%,59800000,66100000
2025-04-06,00:07:28,63400000,+0.63%,60200000,66500000
2025-04-06,02:05:32,63000000,-0.63%,59800000,66100000
2025-04-06,04:06:36,62000000,-1.59%,58900000,65000000
2025-04-06,06:06:44,62000000,-1.59%,58900000,65000000
2025-04-06,08:06:48,61600000,-0.65%,58500000,64600000
2025-04-06,10:07:05,0,0%,NA,NA
2025-04-06,12:06:10,62200000,+1.63%,59000000,65300000
2025-04-06,14:07:32,62200000,+1.63%,59000000,65300000
2025-04-06,16:05:36,62600000,+0.64%,59400000,65700000
2025-04-06,18:05:41,62800000,+0.32%,59600000,65900000
2025-04-06,20:05:46,63400000,+0.96%,60200000,66500000
2025-04-06,22:06:59,0,0%,NA,NA
2025-04-07,00:04:27,64600000,+1.25%,61300000,67800000
2025-04-07,08:06:24,61800000,-0.32%,58700000,64800000
2025-04-07,09:42:21,62000000,+0.32%,58900000,65000000
2025-04-07,09:44:46,62000000,+0.32%,58900000,65000000
2025-04-07,10:06:57,62000000,+0.32%,58900000,65000000
2025-04-07,13:52:51,0,0%,NA,NA
2025-04-07,14:07:12,0,0%,NA,NA
2025-04-07,16:06:29,0,0%,NA,NA
2025-04-07,18:06:32,61800000,+0.32%,58700000,64800000
2025-04-07,18:22:47,0,0%,NA,NA
2025-04-07,20:06:51,62000000,+0.32%,58900000,65000000
2025-04-07,22:06:04,0,0%,NA,NA
2025-04-08,00:07:09,61000000,-1.29%,57900000,64000000
2025-04-08,02:07:13,60200000,-1.31%,57100000,63200000
2025-04-08,04:07:17,60000000,-0.33%,57000000,62900000
2025-04-08,06:07:31,0,0%,NA,NA
2025-04-08,08:05:35,60400000,+0.67%,57300000,63400000
2025-04-08,10:27:15,0,0%,NA,NA
2025-04-08,12:07:32,0,0%,NA,NA
2025-04-08,12:10:42,0,0%,NA,NA
2025-04-08,12:59:08,0,0%,NA,NA
2025-04-08,13:05:37,0,0%,NA,NA
2025-04-08,13:57:01,0,0%,NA,NA
2025-04-08,14:07:15,0,0%,NA,NA
2025-04-08,18:09:35,59600000,0%,56600000,62500000
2025-04-08,23:38:21,62600000,0%,59400000,65700000
2025-04-09,00:05:56,62600000,0%,59400000,65700000
2025-04-09,02:07:02,62600000,0%,59400000,65700000
2025-04-09,04:07:06,63400000,0%,60200000,66500000
2025-04-09,06:07:10,64200000,0%,60900000,67400000
2025-04-09,09:51:34,63600000,0%,60400000,66700000
2025-04-09,10:05:58,63600000,0%,60400000,66700000
2025-04-09,10:38:56,62600000,0%,59400000,65700000
2025-04-09,12:06:01,62600000,0%,59400000,65700000
2025-04-09,13:57:03,62000000,0%,58900000,65000000
2025-04-09,14:03:28,62000000,0%,58900000,65000000
2025-04-09,14:05:56,62000000,0%,58900000,65000000
2025-04-09,16:07:02,62000000,0%,58900000,65000000
2025-04-09,18:55:45,62600000,0%,59400000,65700000
2025-04-09,19:52:10,62600000,0%,59400000,65700000
2025-04-09,20:05:56,62600000,0%,59400000,65700000
2025-04-09,22:05:59,62000000,0%,58900000,65000000
2025-04-09,23:05:19,62800000,0%,59600000,65900000
2025-04-10,00:05:56,62800000,0%,59600000,65900000
2025-04-10,02:06:00,63400000,0%,60200000,66500000
2025-04-10,04:07:04,63000000,0%,59800000,66100000
2025-04-10,06:06:09,62600000,0%,59400000,65700000
2025-04-10,08:06:14,61800000,0%,58700000,64800000
2025-04-10,12:29:19,59400000,0%,56400000,62300000
2025-04-10,14:38:32,59000000,0%,56000000,61900000
2025-04-10,16:05:36,59000000,0%,56000000,61900000
2025-04-10,18:05:40,58200000,0%,55200000,61100000
2025-04-10,20:05:45,58400000,0%,55400000,61300000
2025-04-10,22:05:49,59000000,0%,56000000,61900000
2025-04-10,23:02:47,58600000,0%,55600000,61500000
2025-04-11,00:05:51,58600000,0%,55600000,61500000
2025-04-11,02:05:55,58200000,0%,55200000,61100000
2025-04-11,04:07:00,57600000,0%,54700000,60400000
2025-04-11,06:06:04,59000000,0%,56000000,61900000
2025-04-11,08:06:08,58400000,0%,55400000,61300000
2025-04-11,10:06:13,59200000,0%,56200000,62100000
2025-04-11,12:07:17,59400000,0%,56400000,62300000
2025-04-11,14:07:22,59600000,0%,56600000,62500000
2025-04-11,16:06:26,60200000,0%,57100000,63200000
2025-04-11,18:05:31,60400000,0%,57300000,63400000
2025-04-11,20:06:35,60200000,0%,57100000,63200000
2025-04-11,22:05:39,60400000,0%,57300000,63400000
2025-04-12,00:06:44,61800000,0%,58700000,64800000
2025-04-12,02:06:48,63400000,0%,60200000,66500000
2025-04-12,04:06:52,65200000,0%,61900000,68400000
2025-04-12,06:06:56,64600000,0%,61300000,67800000
2025-04-12,08:06:01,65600000,0%,62300000,68800000
2025-04-12,10:06:06,66200000,0%,62800000,69500000
2025-04-12,12:06:10,66800000,0%,63400000,70100000
2025-04-12,14:06:14,68000000,0%,64600000,71400000
2025-04-12,16:07:18,69600000,0%,66100000,73000000
2025-04-12,18:07:22,71600000,0%,68000000,75100000
2025-04-12,20:06:26,73400000,0%,69700000,77000000
2025-04-12,22:06:29,74600000,0%,70800000,78300000
2025-04-13,14:04:59,77600000,0%,73700000,81400000
2025-04-13,16:06:08,78400000,0%,74400000,82300000
2025-04-13,18:07:14,79800000,0%,75800000,83700000
2025-04-13,20:06:21,80200000,0%,76100000,84200000
2025-04-13,22:07:28,80800000,0%,76700000,84800000
2025-04-14,00:05:36,83200000,0%,79000000,87300000
2025-04-14,02:05:43,84200000,0%,79900000,88400000
2025-04-14,04:06:50,83600000,0%,79400000,87700000
2025-04-14,06:06:58,82800000,0%,78600000,86900000
2025-04-14,06:30:16,82400000,0%,78200000,86500000
2025-04-14,08:06:32,82400000,0%,78200000,86500000
2025-04-14,10:04:59,82800000,0%,78600000,86900000
2025-04-14,13:05:43,83600000,0%,79400000,87700000
2025-04-14,14:06:14,83600000,0%,79400000,87700000
2025-04-14,16:11:21,84200000,0%,79900000,88400000
2025-04-14,18:06:38,85200000,0%,80900000,89400000
2025-04-15,09:21:26,89800000,0%,85300000,94200000
2025-04-15,10:05:59,89600000,0%,85100000,94000000
2025-04-15,13:11:02,90400000,0%,85800000,94900000
2025-04-15,14:16:02,90400000,0%,85800000,94900000
2025-04-15,14:40:43,90400000,0%,85800000,94900000
2025-04-15,16:07:54,90400000,0%,85800000,94900000
