Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-07,11:16:34,129000000,+0.78%,122000000,135000000
2025-03-07,11:50:12,132000000,+2.33%,125000000,138000000
2025-03-07,12:48:17,132000000,+2.33%,125000000,138000000
2025-03-07,14:48:25,134000000,+1.52%,127000000,140000000
2025-03-07,16:48:19,137000000,+2.24%,130000000,143000000
2025-03-07,18:18:33,139000000,+1.46%,132000000,145000000
2025-03-07,23:52:45,150000000,+2.74%,142000000,157000000
2025-03-08,00:50:15,150000000,+2.74%,142000000,157000000
2025-03-08,02:50:14,151000000,+0.67%,143000000,158000000
2025-03-08,04:50:17,154000000,+1.99%,146000000,161000000
2025-03-08,06:51:24,157000000,+1.95%,149000000,164000000
2025-03-08,08:50:14,154000000,-1.91%,146000000,161000000
2025-03-08,10:50:16,152000000,-1.3%,144000000,159000000
2025-03-08,12:50:14,154000000,+1.32%,146000000,161000000
2025-03-08,14:50:14,154000000,+1.32%,146000000,161000000
2025-03-08,16:50:13,154000000,+1.32%,146000000,161000000
2025-03-08,19:21:51,155000000,-0.64%,147000000,162000000
2025-03-08,20:50:15,155000000,-0.64%,147000000,162000000
2025-03-08,23:24:17,159000000,+0.63%,151000000,166000000
2025-03-08,23:41:51,159000000,+0.63%,151000000,166000000
2025-03-09,00:50:14,159000000,+0.63%,151000000,166000000
2025-03-09,02:50:15,165000000,+3.77%,156000000,173000000
2025-03-09,04:50:23,164000000,-0.61%,155000000,172000000
2025-03-09,07:18:37,162000000,-3.57%,153000000,170000000
2025-03-09,08:50:14,162000000,-3.57%,153000000,170000000
2025-03-09,10:50:14,158000000,-2.47%,150000000,165000000
2025-03-09,12:50:15,158000000,-2.47%,150000000,165000000
2025-03-09,14:48:58,157000000,-0.63%,149000000,164000000
2025-03-09,16:48:45,157000000,-0.63%,149000000,164000000
2025-03-09,18:27:11,157000000,-0.63%,149000000,164000000
2025-03-09,18:50:16,157000000,-0.63%,149000000,164000000
2025-03-09,20:50:16,160000000,+1.91%,152000000,168000000
2025-03-09,22:50:16,162000000,+1.25%,153000000,170000000
2025-03-10,10:56:09,177000000,+1.72%,168000000,185000000
2025-03-10,12:48:17,168000000,-5.08%,159000000,176000000
2025-03-10,14:50:18,167000000,-0.6%,158000000,175000000
2025-03-10,16:50:13,165000000,-1.2%,156000000,173000000
2025-03-10,18:50:14,166000000,+0.61%,157000000,174000000
2025-03-10,20:50:16,167000000,+0.6%,158000000,175000000
2025-03-10,22:50:14,173000000,+3.59%,164000000,181000000
2025-03-11,00:54:14,176000000,+1.73%,167000000,184000000
2025-03-11,02:50:15,180000000,+2.27%,171000000,188000000
2025-03-11,04:50:42,186000000,+3.33%,176000000,195000000
2025-03-11,06:50:14,187000000,+0.54%,177000000,196000000
2025-03-11,08:50:13,179000000,-4.28%,170000000,187000000
2025-03-11,10:50:15,173000000,-3.35%,164000000,181000000
2025-03-11,15:47:19,161000000,-1.23%,152000000,169000000
2025-03-11,16:48:17,161000000,-1.23%,152000000,169000000
2025-03-11,16:50:42,161000000,-1.23%,152000000,169000000
2025-03-11,18:48:19,163000000,+1.24%,154000000,171000000
2025-03-11,20:48:15,165000000,+1.23%,156000000,173000000
2025-03-11,22:50:13,167000000,+1.21%,158000000,175000000
2025-03-12,00:54:16,171000000,+2.4%,162000000,179000000
2025-03-12,02:50:19,175000000,+2.34%,166000000,183000000
2025-03-12,05:18:31,172000000,-2.27%,163000000,180000000
2025-03-12,06:50:15,172000000,-2.27%,163000000,180000000
2025-03-12,08:50:16,170000000,-1.16%,161000000,178000000
2025-03-12,10:48:25,172000000,+1.18%,163000000,180000000
2025-03-12,12:48:20,172000000,+1.18%,163000000,180000000
2025-03-12,14:48:52,173000000,+0.58%,164000000,181000000
2025-03-12,15:00:47,173000000,+0.58%,164000000,181000000
2025-03-12,16:48:19,176000000,+1.73%,167000000,184000000
2025-03-12,20:39:51,178000000,+0.56%,169000000,186000000
2025-03-12,20:50:14,178000000,+0.56%,169000000,186000000
