Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-07,11:50:17,285000000,+4.01%,270000000,299000000
2025-03-07,13:06:00,285000000,+4.01%,270000000,299000000
2025-03-07,15:05:38,296000000,+3.86%,281000000,310000000
2025-03-07,17:53:11,306000000,+3.38%,290000000,321000000
2025-03-07,19:06:50,315000000,+2.94%,299000000,330000000
2025-03-07,19:09:28,315000000,+2.94%,299000000,330000000
2025-03-07,23:52:54,315000000,+1.29%,299000000,330000000
2025-03-08,01:12:11,315000000,+1.29%,299000000,330000000
2025-03-08,03:15:40,316000000,+0.32%,300000000,331000000
2025-03-08,05:11:59,315000000,-0.32%,299000000,330000000
2025-03-08,07:12:04,309000000,-1.9%,293000000,324000000
2025-03-08,09:10:31,323000000,+4.53%,306000000,339000000
2025-03-08,11:10:22,337000000,+4.33%,320000000,353000000
2025-03-08,13:10:32,351000000,+4.15%,333000000,368000000
2025-03-08,15:10:21,365000000,+3.99%,346000000,383000000
2025-03-08,17:10:23,377000000,+3.29%,358000000,395000000
2025-03-08,19:10:21,389000000,+3.18%,369000000,408000000
2025-03-08,21:11:48,382000000,-1.8%,362000000,401000000
2025-03-08,23:10:40,382000000,-1.8%,362000000,401000000
2025-03-08,23:42:00,382000000,-1.8%,362000000,401000000
2025-03-09,01:18:25,371000000,-2.88%,352000000,389000000
2025-03-09,03:18:16,370000000,-0.27%,351000000,388000000
2025-03-09,05:16:21,369000000,-0.27%,350000000,387000000
2025-03-09,07:20:42,365000000,-1.08%,346000000,383000000
2025-03-09,09:20:21,381000000,+4.38%,361000000,400000000
2025-03-09,11:18:16,397000000,+4.2%,377000000,416000000
2025-03-09,13:16:52,406000000,+2.27%,385000000,426000000
2025-03-09,15:07:57,412000000,+1.48%,391000000,432000000
2025-03-09,17:06:05,414000000,+0.49%,393000000,434000000
2025-03-09,18:27:17,411000000,-0.72%,390000000,431000000
2025-03-09,19:10:36,411000000,-0.72%,390000000,431000000
2025-03-09,21:18:28,400000000,-1.48%,380000000,419000000
2025-03-09,23:16:46,400000000,-1.48%,380000000,419000000
2025-03-10,10:56:17,417000000,+4.25%,396000000,437000000
2025-03-10,11:13:48,417000000,+4.25%,396000000,437000000
2025-03-10,14:23:31,431000000,+0.7%,409000000,452000000
2025-03-10,15:10:32,431000000,+0.7%,409000000,452000000
2025-03-10,17:16:36,432000000,+0.23%,410000000,453000000
2025-03-10,19:12:38,428000000,-0.93%,406000000,449000000
2025-03-10,21:10:10,424000000,-0.93%,402000000,445000000
2025-03-10,23:13:18,424000000,-0.93%,402000000,445000000
2025-03-11,02:04:11,424000000,-1.62%,402000000,445000000
2025-03-11,03:18:23,424000000,-1.62%,402000000,445000000
2025-03-11,05:24:46,422000000,-0.47%,400000000,443000000
2025-03-11,07:34:10,419000000,-0.71%,398000000,439000000
2025-03-11,09:19:39,438000000,+4.53%,416000000,459000000
2025-03-11,11:20:01,455000000,+3.88%,432000000,477000000
2025-03-11,15:47:24,484000000,+2.33%,459000000,508000000
2025-03-11,16:50:48,479000000,-1.03%,455000000,502000000
2025-03-11,17:10:23,479000000,-1.03%,455000000,502000000
2025-03-11,19:10:09,483000000,-0.21%,458000000,507000000
2025-03-11,21:10:53,483000000,-0.21%,458000000,507000000
2025-03-11,23:08:38,480000000,-0.62%,456000000,503000000
2025-03-12,01:11:57,481000000,+0.21%,456000000,505000000
2025-03-12,03:49:47,477000000,+0.63%,453000000,500000000
2025-03-12,05:20:37,468000000,-1.89%,444000000,491000000
2025-03-12,07:18:27,468000000,-1.89%,444000000,491000000
2025-03-12,09:09:38,490000000,+4.7%,465000000,514000000
2025-03-12,11:12:27,511000000,+4.29%,485000000,536000000
2025-03-12,13:05:38,535000000,+4.7%,508000000,561000000
2025-03-12,15:01:16,559000000,+4.49%,531000000,586000000
2025-03-12,15:10:26,559000000,+4.49%,531000000,586000000
2025-03-12,17:09:53,575000000,+2.86%,546000000,603000000
2025-03-12,19:05:36,558000000,-2.96%,530000000,585000000
2025-03-12,19:19:32,558000000,-2.96%,530000000,585000000
2025-03-12,21:10:39,557000000,-0.18%,529000000,584000000
2025-03-12,23:10:42,542000000,-2.69%,514000000,569000000
2025-03-13,01:38:12,533000000,-1.66%,506000000,559000000
2025-03-13,03:22:46,515000000,-3.38%,489000000,540000000
2025-03-13,05:18:30,525000000,+1.94%,498000000,551000000
2025-03-13,07:26:27,540000000,+2.86%,513000000,567000000
2025-03-13,09:19:30,513000000,-5%,487000000,538000000
2025-03-13,11:20:26,488000000,-4.87%,463000000,512000000
2025-03-13,13:16:42,472000000,-3.28%,448000000,495000000
2025-03-13,15:20:24,448000000,-5.08%,425000000,470000000
2025-03-13,17:05:37,431000000,-3.79%,409 000 000,452 000 000
2025-03-14,19:05:25,267000000,-2.91%,253 000 000,280 000 000
2025-03-14,21:05:25,267000000,-2.91%,253 000 000,280 000 000
2025-03-14,23:05:25,277000000,+3.75%,263 000 000,290 000 000
2025-03-14,01:05:25,285000000,+2.89%,270 000 000,299 000 000
2025-03-15,03:05:25,284000000,-0.35%,269 000 000,298 000 000
2025-03-15,05:05:25,286000000,+0.7%,271 000 000,300 000 000
2025-03-15,07:05:25,299000000,+4.55%,284 000 000,313 000 000
2025-03-15,09:05:25,301000000,-0.33%,285 000 000,316 000 000
2025-03-15,11:05:25,304000000,+1%,288 000 000,319 000 000
2025-03-15,13:05:25,304000000,+1%,288 000 000,319 000 000
2025-03-15,13:27:20,312000000,+2.63%,296 000 000,327 000 000
2025-03-15,15:18:35,321000000,-0.93%,304 000 000,337 000 000
2025-03-15,17:18:28,321000000,-0.93%,304 000 000,337 000 000
2025-03-15,19:10:38,324000000,+0.93%,307 000 000,340 000 000
2025-03-15,21:16:54,330000000,+1.85%,313 000 000,346 000 000
2025-03-15,23:10:27,327000000,-0.91%,310 000 000,343 000 000
2025-03-16,01:20:05,328000000,+0.31%,311 000 000,344 000 000
2025-03-16,03:18:22,323000000,-1.52%,306 000 000,339 000 000
2025-03-16,05:22:54,330000000,+2.17%,313 000 000,346 000 000
2025-03-16,07:24:59,335000000,+1.52%,318 000 000,351 000 000
2025-03-16,09:20:31,334000000,-0.3%,317 000 000,350 000 000
2025-03-16,11:14:49,320000000,-4.19%,304 000 000,336 000 000
2025-03-16,13:05:25,314000000,-1.88%,298 000 000,329 000 000
2025-03-16,14:45:27,323000000,+2.87%,306 000 000,339 000 000
2025-03-16,15:18:33,323000000,+2.87%,306 000 000,339 000 000
2025-03-16,17:18:34,338000000,+4.64%,321 000 000,354 000 000
2025-03-16,19:18:34,338000000,+4.64%,321 000 000,354 000 000
2025-03-16,23:08:21,346000000,+0.58%,328 000 000,363 000 000
2025-03-17,01:14:26,350000000,+1.16%,332 000 000,367 000 000
2025-03-17,03:25:40,347000000,-0.86%,329 000 000,364 000 000
