Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-19,18:34:24,22300000,0%,21100000,23400000
2025-04-19,18:49:20,22300000,0%,21100000,23400000
2025-04-19,19:39:39,22300000,0%,21100000,23400000
2025-04-19,19:54:48,22300000,0%,21100000,23400000
2025-04-20,07:24:02,23000000,0%,21800000,24100000
2025-04-20,07:40:14,23000000,0%,21800000,24100000
2025-04-20,07:55:23,23000000,0%,21800000,24100000
2025-04-20,17:07:58,23600000,0%,22400000,24700000
2025-04-20,17:40:47,23600000,0%,22400000,24700000
2025-04-20,19:40:05,23600000,0%,22400000,24700000
2025-04-20,19:41:07,23600000,0%,22400000,24700000
2025-04-21,07:12:14,22700000,0%,21500000,23800000
2025-04-21,07:40:34,22700000,0%,21500000,23800000
2025-04-21,09:41:15,23700000,0%,22500000,24800000
2025-04-21,11:41:11,25400000,0%,24100000,26600000
2025-04-21,13:41:08,25800000,0%,24500000,27000000
2025-04-21,15:40:27,25800000,0%,24500000,27000000
2025-04-21,17:40:44,25900000,0%,24600000,27100000
2025-04-21,19:41:02,25200000,0%,23900000,26400000
2025-04-21,21:40:20,25200000,0%,23900000,26400000
2025-04-21,23:40:38,23800000,0%,22600000,24900000
2025-04-22,01:40:56,23800000,0%,22600000,24900000
2025-04-22,03:40:13,23400000,0%,22200000,24500000
2025-04-22,03:41:16,23400000,0%,22200000,24500000
2025-04-22,05:40:34,24400000,0%,23100000,25600000
2025-04-22,07:40:52,24400000,0%,23100000,25600000
2025-04-22,09:40:10,26200000,0%,24800000,27500000
2025-04-22,09:41:13,26200000,0%,24800000,27500000
2025-04-22,11:40:49,26700000,0%,25300000,28000000
2025-04-22,13:40:07,26700000,0%,25300000,28000000
2025-04-22,13:41:09,26700000,0%,25300000,28000000
2025-04-22,15:40:35,26700000,0%,25300000,28000000
2025-04-22,17:40:52,26800000,0%,25400000,28100000
2025-04-22,19:40:10,26800000,0%,25400000,28100000
2025-04-22,19:41:12,26800000,0%,25400000,28100000
2025-04-22,21:40:30,24900000,0%,23600000,26100000
2025-04-22,23:40:48,24900000,0%,23600000,26100000
2025-04-23,01:40:05,24600000,0%,23300000,25800000
2025-04-23,01:41:07,24600000,0%,23300000,25800000
2025-04-23,03:40:25,24900000,0%,23600000,26100000
2025-04-23,06:22:27,26300000,0%,24900000,27600000
2025-04-23,07:40:46,26300000,0%,24900000,27600000
2025-04-23,09:41:04,27000000,0%,25600000,28300000
2025-04-23,11:40:22,27000000,0%,25600000,28300000
2025-04-23,13:40:41,27700000,0%,26300000,29000000
2025-04-24,11:43:56,25000000,0%,23700000,26200000
2025-04-24,13:40:15,23800000,0%,22600000,24900000
2025-04-24,13:41:18,23800000,0%,22600000,24900000
2025-04-24,15:40:37,23800000,0%,22600000,24900000
2025-04-24,17:40:55,22400000,0%,21200000,23500000
2025-04-24,19:40:13,22400000,0%,21200000,23500000
2025-04-24,19:41:16,22400000,0%,21200000,23500000
2025-04-24,21:40:34,21300000,0%,20200000,22300000
2025-04-24,23:40:52,20800000,0%,19700000,21800000
2025-04-25,01:40:10,20800000,0%,19700000,21800000
2025-04-25,01:41:13,20800000,0%,19700000,21800000
2025-04-25,03:40:31,20900000,0%,19800000,21900000
2025-04-25,05:40:48,20900000,0%,19800000,21900000
2025-04-25,07:40:07,21700000,0%,20600000,22700000
2025-04-25,07:41:11,21700000,0%,20600000,22700000
2025-04-25,09:40:30,21700000,0%,20600000,22700000
2025-04-25,11:40:49,22300000,0%,21100000,23400000
2025-04-25,13:40:08,22100000,0%,20900000,23200000
