Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-05,16:44:12,129000000,+4.03%,122000000,135000000
2025-04-05,17:42:21,129000000,+4.03%,122000000,135000000
2025-04-05,19:42:37,132000000,+2.33%,125000000,138000000
2025-04-05,21:41:46,135000000,+2.27%,128000000,141000000
2025-04-05,23:41:49,136000000,+0.74%,129000000,142000000
2025-04-06,01:41:55,138000000,+1.47%,131000000,144000000
2025-04-06,03:42:00,141000000,+2.17%,133000000,148000000
2025-04-06,05:42:02,140000000,-0.71%,133000000,147000000
2025-04-06,07:41:07,136000000,-2.86%,129000000,142000000
2025-04-06,09:41:12,137000000,+0.74%,130000000,143000000
2025-04-06,11:41:15,140000000,+2.19%,133000000,147000000
2025-04-06,13:41:20,144000000,+2.86%,136000000,151000000
2025-04-06,15:42:26,145000000,+0.69%,137000000,152000000
2025-04-06,17:41:46,149000000,+2.76%,141000000,156000000
2025-04-06,19:41:51,151000000,+1.34%,143000000,158000000
2025-04-06,21:41:55,149000000,-1.32%,141000000,156000000
2025-04-06,23:42:01,147000000,-1.34%,139000000,154000000
2025-04-07,00:04:46,147000000,-1.34%,139000000,154000000
2025-04-07,08:06:39,137000000,-1.44%,130000000,143000000
2025-04-07,09:42:37,137000000,-1.44%,130000000,143000000
2025-04-07,09:45:01,137000000,-1.44%,130000000,143000000
2025-04-07,13:53:08,132000000,-0.75%,125000000,138000000
2025-04-07,15:41:55,135000000,+2.27%,128000000,141000000
2025-04-07,17:41:19,135000000,+2.27%,128000000,141000000
2025-04-07,18:23:23,0,0%,NA,NA
2025-04-07,19:42:03,136000000,+0.74%,129000000,142000000
2025-04-07,21:42:12,136000000,+0.74%,129000000,142000000
2025-04-07,23:42:14,136000000,+0.74%,129000000,142000000
2025-04-08,01:42:16,136000000,+0.74%,129000000,142000000
2025-04-08,03:42:18,133000000,-2.21%,126000000,139000000
2025-04-08,05:42:26,135000000,+1.5%,128000000,141000000
2025-04-08,07:42:02,132000000,-2.22%,125000000,138000000
