Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-02,21:28:21,97000000,+1.78%,92100000,101000000
2025-04-02,22:53:02,97000000,+1.78%,92100000,101000000
2025-04-03,12:21:41,87800000,-4.77%,83400000,92100000
2025-04-03,12:53:00,87800000,-4.77%,83400000,92100000
2025-04-03,14:53:00,84000000,-4.33%,79800000,88100000
2025-04-03,15:54:20,80400000,-4.29%,76300000,84400000
2025-04-03,16:51:05,80400000,-4.29%,76300000,84400000
2025-04-03,16:53:00,80400000,-4.29%,76300000,84400000
2025-04-04,11:13:43,63100000,-4.54%,59900000,66200000
2025-04-04,23:36:16,0,0%,NA,NA
2025-04-04,23:45:35,0,0%,NA,NA
2025-04-04,23:58:46,0,0%,NA,NA
2025-04-05,10:07:02,56900000,-4.37%,54000000,59700000
2025-04-05,10:54:30,56900000,-4.37%,54000000,59700000
2025-04-05,12:04:37,54800000,-3.69%,52000000,57500000
2025-04-05,12:54:39,54800000,-3.69%,52000000,57500000
2025-04-05,14:54:29,55300000,+0.91%,52500000,58000000
2025-04-05,16:10:12,56500000,+2.17%,53600000,59300000
2025-04-05,16:25:23,56500000,+2.17%,53600000,59300000
2025-04-05,16:39:42,56500000,+2.17%,53600000,59300000
2025-04-05,16:44:19,56500000,+2.17%,53600000,59300000
2025-04-05,16:54:30,56500000,+2.17%,53600000,59300000
2025-04-05,18:54:28,57200000,+1.24%,54300000,60000000
2025-04-05,20:54:31,58900000,+2.97%,55900000,61800000
2025-04-05,22:54:42,61200000,+3.9%,58100000,64200000
2025-04-06,00:54:47,63600000,+3.92%,60400000,66700000
2025-04-06,02:54:50,65200000,+2.52%,61900000,68400000
2025-04-06,04:54:57,67900000,+4.14%,64500000,71200000
2025-04-06,06:54:59,69800000,+2.8%,66300000,73200000
2025-04-06,08:54:04,67100000,-3.87%,63700000,70400000
2025-04-06,10:54:08,64100000,-4.47%,60800000,67300000
2025-04-06,12:54:19,61200000,-4.52%,58100000,64200000
2025-04-06,14:55:44,60400000,-1.31%,57300000,63400000
2025-04-06,16:54:28,61100000,+1.16%,58000000,64100000
2025-04-06,18:54:31,62400000,+2.13%,59200000,65500000
2025-04-06,20:54:34,64000000,+2.56%,60800000,67200000
2025-04-06,22:54:41,65900000,+2.97%,62600000,69100000
2025-04-07,00:04:51,68100000,+3.34%,64600000,71500000
2025-04-07,08:06:54,0,0%,NA,NA
2025-04-07,08:54:44,69200000,-4.42%,65700000,72600000
2025-04-07,09:42:42,66200000,-4.34%,62800000,69500000
2025-04-07,09:45:06,66200000,-4.34%,62800000,69500000
2025-04-07,10:54:39,66200000,-4.34%,62800000,69500000
2025-04-07,13:53:13,61100000,-3.32%,58000000,64100000
2025-04-07,14:54:16,61100000,-3.32%,58000000,64100000
2025-04-07,16:55:29,61000000,-0.16%,57900000,64000000
2025-04-07,18:23:40,0,0%,NA,NA
2025-04-07,18:54:37,61600000,+0.98%,58500000,64600000
2025-04-07,20:54:29,61600000,+0.98%,58500000,64600000
2025-04-07,22:53:47,0,0%,NA,NA
2025-04-08,00:54:50,64200000,+2.07%,60900000,67400000
2025-04-08,02:55:03,65400000,+1.87%,62100000,68600000
2025-04-08,04:55:02,66300000,+1.38%,62900000,69600000
2025-04-08,06:55:09,67100000,+1.21%,63700000,70400000
2025-04-08,08:55:15,64300000,-4.17%,61000000,67500000
2025-04-08,10:27:48,61500000,-4.35%,58400000,64500000
2025-04-08,10:54:29,61500000,-4.35%,58400000,64500000
2025-04-08,12:11:01,59100000,-3.9%,56100000,62000000
2025-04-08,12:55:10,0,0%,NA,NA
2025-04-08,12:59:56,0,0%,NA,NA
2025-04-08,13:06:25,0,0%,NA,NA
