Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-26,20:20:45,18000000,-1.64%,17100000,18900000
2025-03-31,13:55:24,15600000,+2.63%,14800000,16300000
2025-04-01,10:54:05,15600000,-1.27%,14800000,16300000
2025-04-01,22:17:46,15700000,+0.64%,14900000,16400000
2025-04-02,10:35:00,15500000,-0.64%,14700000,16200000
2025-04-04,23:36:33,0,0%,NA,NA
2025-04-04,23:45:50,0,0%,NA,NA
2025-04-04,23:59:00,0,0%,NA,NA
2025-04-05,10:07:17,0,0%,NA,NA
2025-04-05,12:04:54,0,0%,NA,NA
2025-04-05,13:50:14,0,0%,NA,NA
2025-04-05,15:49:26,0,0%,NA,NA
2025-04-05,16:10:26,0,0%,NA,NA
2025-04-05,16:25:37,0,0%,NA,NA
2025-04-05,16:39:49,19000000,+1.6%,18000000,19900000
2025-04-05,16:44:24,19000000,+1.6%,18000000,19900000
2025-04-05,17:49:41,0,0%,NA,NA
2025-04-05,19:50:58,0,0%,NA,NA
2025-04-05,21:51:16,0,0%,NA,NA
2025-04-05,23:49:32,0,0%,NA,NA
2025-04-06,01:50:50,0,0%,NA,NA
2025-04-06,03:51:07,0,0%,NA,NA
2025-04-06,05:49:20,0,0%,NA,NA
2025-04-06,07:49:33,0,0%,NA,NA
2025-04-06,09:49:47,0,0%,NA,NA
2025-04-06,11:50:00,0,0%,NA,NA
2025-04-06,13:51:14,0,0%,NA,NA
2025-04-06,15:49:30,0,0%,NA,NA
2025-04-06,17:49:44,0,0%,NA,NA
2025-04-06,19:49:57,0,0%,NA,NA
2025-04-06,21:50:14,0,0%,NA,NA
2025-04-06,23:49:31,0,0%,NA,NA
