Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:04:56,201000000,+0.5%,190000000,211000000
2025-04-07,08:06:59,195000000,-2.5%,185000000,204000000
2025-04-07,09:42:47,197000000,+1.03%,187000000,206000000
2025-04-07,09:45:12,197000000,+1.03%,187000000,206000000
2025-04-07,09:48:21,197000000,+1.03%,187000000,206000000
2025-04-07,13:53:18,197000000,+1.03%,187000000,206000000
2025-04-07,15:48:22,200000000,+1.52%,190000000,209000000
2025-04-07,17:48:27,199000000,-0.5%,189000000,208000000
2025-04-07,18:23:45,202000000,+1.51%,191000000,212000000
2025-04-07,19:48:49,202000000,+1.51%,191000000,212000000
2025-04-07,21:49:02,201000000,-0.5%,190000000,211000000
2025-04-07,23:48:06,199000000,-1%,189000000,208000000
2025-04-08,01:48:13,200000000,+0.5%,190000000,209000000
2025-04-08,03:49:18,197000000,-1.5%,187000000,206000000
2025-04-08,05:49:21,196000000,-0.51%,186000000,205000000
2025-04-08,07:49:28,196000000,-0.51%,186000000,205000000
2025-04-08,10:27:52,197000000,+0.51%,187000000,206000000
2025-04-08,11:49:02,194000000,-1.52%,184000000,203000000
2025-04-08,12:11:08,194000000,-1.52%,184000000,203000000
2025-04-08,13:00:02,197000000,+1.55%,187000000,206000000
2025-04-08,13:06:30,197000000,+1.55%,187000000,206000000
2025-04-08,13:48:23,197000000,+1.55%,187000000,206000000
2025-04-08,13:57:46,197000000,+1.55%,187000000,206000000
2025-04-08,18:10:00,195000000,0%,185000000,204000000
2025-04-08,23:38:46,199000000,0%,189000000,208000000
2025-04-08,23:48:21,199000000,0%,189000000,208000000
2025-04-09,01:48:26,200000000,0%,190000000,209000000
2025-04-09,03:49:36,202000000,0%,191000000,212000000
2025-04-09,05:48:39,208000000,0%,197000000,218000000
2025-04-09,07:49:50,210000000,0%,199000000,220000000
2025-04-09,09:51:58,213000000,0%,202000000,223000000
2025-04-09,10:39:21,214000000,0%,203000000,224000000
2025-04-09,11:49:12,214000000,0%,203000000,224000000
2025-04-09,13:57:28,217000000,0%,206000000,227000000
2025-04-09,14:03:55,217000000,0%,206000000,227000000
2025-04-09,15:49:05,208000000,0%,197000000,218000000
2025-04-09,18:56:14,213000000,0%,202000000,223000000
2025-04-09,19:52:34,213000000,0%,202000000,223000000
2025-04-09,21:49:24,208000000,0%,197000000,218000000
2025-04-09,23:05:52,208000000,0%,197000000,218000000
2025-04-09,23:48:23,208000000,0%,197000000,218000000
2025-04-10,01:48:27,207000000,0%,196000000,217000000
2025-04-10,03:49:38,206000000,0%,195000000,216000000
2025-04-10,05:49:40,204000000,0%,193000000,214000000
2025-04-10,07:49:46,201000000,0%,190000000,211000000
2025-04-10,12:29:47,216000000,0%,205000000,226000000
2025-04-10,14:38:57,216000000,0%,205000000,226000000
2025-04-10,15:48:00,216000000,0%,205000000,226000000
2025-04-10,17:49:09,216000000,0%,205000000,226000000
2025-04-10,19:49:15,216000000,0%,205000000,226000000
2025-04-10,21:49:16,218000000,0%,207000000,228000000
2025-04-10,23:03:17,216000000,0%,205000000,226000000
2025-04-10,23:48:22,216000000,0%,205000000,226000000
2025-04-11,01:48:28,216000000,0%,205000000,226000000
2025-04-11,03:48:33,216000000,0%,205000000,226000000
2025-04-11,05:48:38,217000000,0%,206000000,227000000
2025-04-11,07:49:47,216000000,0%,205000000,226000000
2025-04-11,09:49:50,216000000,0%,205000000,226000000
2025-04-11,11:47:54,215000000,0%,204000000,225000000
2025-04-11,13:49:04,216000000,0%,205000000,226000000
2025-04-11,15:49:06,216000000,0%,205000000,226000000
2025-04-11,17:49:12,217000000,0%,206000000,227000000
2025-04-11,19:48:15,216000000,0%,205000000,226000000
2025-04-11,21:48:20,217000000,0%,206000000,227000000
2025-04-11,23:49:27,217000000,0%,206000000,227000000
2025-04-12,01:49:30,217000000,0%,206000000,227000000
2025-04-12,03:48:33,217000000,0%,206000000,227000000
2025-04-12,05:49:39,217000000,0%,206000000,227000000
2025-04-12,07:49:43,214000000,0%,203000000,224000000
2025-04-12,09:49:47,217000000,0%,206000000,227000000
2025-04-12,11:49:52,220000000,0%,209000000,230000000
2025-04-12,13:47:55,221000000,0%,209000000,232000000
2025-04-12,15:48:00,223000000,0%,211000000,234000000
2025-04-12,17:48:04,224000000,0%,212000000,235000000
2025-04-12,19:49:13,225000000,0%,213000000,236000000
2025-04-12,21:49:16,219000000,0%,208000000,229000000
2025-04-13,14:05:49,227000000,0%,215000000,238000000
2025-04-13,15:49:04,226000000,0%,214000000,237000000
2025-04-13,17:49:13,226000000,0%,214000000,237000000
2025-04-13,19:49:21,226000000,0%,214000000,237000000
