Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-24,13:31:22,29900000,0%,28400000,31300000
2025-04-24,14:53:45,29900000,0%,28400000,31300000
2025-04-24,14:54:49,29900000,0%,28400000,31300000
2025-04-24,16:54:11,27100000,0%,25700000,28400000
2025-04-24,18:54:31,27100000,0%,25700000,28400000
2025-04-24,20:53:50,24700000,0%,23400000,25900000
2025-04-24,20:54:52,24700000,0%,23400000,25900000
2025-04-24,22:54:10,23600000,0%,22400000,24700000
2025-04-25,00:54:27,23600000,0%,22400000,24700000
2025-04-25,02:53:46,21400000,0%,20300000,22400000
2025-04-25,02:54:48,21400000,0%,20300000,22400000
2025-04-25,04:54:06,21400000,0%,20300000,22400000
2025-04-25,06:54:24,20000000,0%,19000000,21000000
2025-04-25,08:53:42,20000000,0%,19000000,21000000
2025-04-25,08:54:44,20000000,0%,19000000,21000000
2025-04-25,10:54:02,20000000,0%,19000000,21000000
2025-04-25,12:54:22,20000000,0%,19000000,21000000
2025-04-26,08:01:36,20000000,0%,19000000,21000000
2025-04-26,09:26:56,20000000,0%,19000000,21000000
2025-04-26,11:06:22,20000000,0%,19000000,21000000
2025-04-26,12:58:17,20000000,0%,19000000,21000000
2025-04-26,15:39:13,20000000,0%,19000000,21000000
2025-04-26,17:03:56,20000000,0%,19000000,21000000
2025-04-26,19:25:10,20000000,0%,19000000,21000000
2025-04-26,21:07:34,20000000,0%,19000000,21000000
2025-04-26,23:03:46,20000000,0%,19000000,21000000
2025-04-27,00:57:23,20000000,0%,19000000,21000000
2025-04-27,02:55:14,20000000,0%,19000000,21000000
2025-04-27,05:07:25,20000000,0%,19000000,21000000
2025-04-27,07:16:46,20000000,0%,19000000,21000000
2025-04-27,09:02:36,20000000,0%,19000000,21000000
2025-04-27,11:02:07,20000000,0%,19000000,21000000
2025-04-27,13:07:23,20000000,0%,19000000,21000000
2025-04-27,14:56:41,20000000,0%,19000000,21000000
2025-04-27,17:02:01,20000000,0%,19000000,21000000
2025-04-27,19:01:37,20000000,0%,19000000,21000000
2025-04-27,20:57:10,20000000,0%,19000000,21000000
2025-04-27,22:57:05,20000000,0%,19000000,21000000
2025-04-28,01:01:04,20000000,0%,19000000,21000000
2025-04-28,03:00:02,20000000,0%,19000000,21000000
2025-04-28,05:03:00,20000000,0%,19000000,21000000
2025-04-28,07:06:35,20000000,0%,19000000,21000000
2025-04-28,08:53:55,20000000,0%,19000000,21000000
2025-04-28,10:54:14,20000000,0%,19000000,21000000
2025-04-28,12:54:32,20000000,0%,19000000,21000000
2025-04-28,14:53:50,20000000,0%,19000000,21000000
2025-04-28,14:54:53,20000000,0%,19000000,21000000
2025-04-28,16:54:11,20000000,0%,19000000,21000000
2025-04-28,18:54:30,20000000,0%,19000000,21000000
2025-04-28,20:53:48,20000000,0%,19000000,21000000
2025-04-28,20:54:51,20000000,0%,19000000,21000000
2025-04-28,22:54:09,20000000,0%,19000000,21000000
2025-04-29,00:54:29,20100000,0%,19000000,21100000
2025-04-29,02:53:50,20100000,0%,19000000,21100000
2025-04-29,02:54:52,20100000,0%,19000000,21100000
2025-04-29,04:54:11,19700000,0%,18700000,20600000
2025-04-29,06:54:29,19700000,0%,18700000,20600000
2025-04-29,08:53:49,19500000,0%,18500000,20400000
2025-04-29,09:09:08,19500000,0%,18500000,20400000
2025-04-29,10:54:26,19500000,0%,18500000,20400000
2025-04-29,12:53:45,18200000,0%,17200000,19100000
2025-04-29,12:54:48,18200000,0%,17200000,19100000
2025-04-29,14:54:07,18200000,0%,17200000,19100000
2025-04-29,16:54:34,17300000,0%,16400000,18100000
2025-04-29,19:51:07,16400000,0%,15500000,17200000
2025-04-29,20:55:25,16400000,0%,15500000,17200000
2025-04-29,22:54:32,16400000,0%,15500000,17200000
2025-04-30,00:53:50,15900000,0%,15100000,16600000
2025-04-30,00:55:08,15900000,0%,15100000,16600000
2025-04-30,02:55:25,15900000,0%,15100000,16600000
2025-04-30,04:54:36,16500000,0%,15600000,17300000
2025-04-30,07:31:01,16500000,0%,15600000,17300000
2025-04-30,08:54:55,17100000,0%,16200000,17900000
2025-04-30,10:54:19,17100000,0%,16200000,17900000
2025-04-30,12:54:35,17300000,0%,16400000,18100000
2025-04-30,14:53:58,17300000,0%,16400000,18100000
2025-04-30,16:54:21,17400000,0%,16500000,18200000
2025-04-30,18:54:35,17400000,0%,16500000,18200000
2025-04-30,20:53:53,17300000,0%,16400000,18100000
2025-04-30,22:54:18,17300000,0%,16400000,18100000
2025-05-01,00:54:49,17400000,0%,16500000,18200000
2025-05-01,02:54:14,17400000,0%,16500000,18200000
2025-05-01,04:54:53,17900000,0%,17000000,18700000
2025-05-01,07:02:19,17900000,0%,17000000,18700000
