Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-03,18:26:56,75900000,+1.61%,72100000,79600000
2025-03-03,18:53:57,75900000,+1.61%,72100000,79600000
2025-03-03,20:59:52,77900000,+2.64%,74000000,81700000
2025-03-03,22:57:04,79400000,+1.93%,75400000,83300000
2025-03-04,00:55:22,80100000,+0.88%,76000000,84100000
2025-03-04,02:55:22,81000000,+1.12%,76900000,85000000
2025-03-04,04:55:23,81400000,+0.49%,77300000,85400000
2025-03-04,06:55:23,82500000,+1.35%,78300000,86600000
2025-03-04,08:55:29,80200000,-2.79%,76100000,84200000
2025-03-04,10:55:37,79700000,-0.62%,75700000,83600000
2025-03-04,12:53:58,79900000,+0.25%,75900000,83800000
2025-03-04,14:53:57,79900000,+0.25%,75900000,83800000
2025-03-04,16:53:57,79100000,-1%,75100000,83000000
2025-03-05,11:09:24,73300000,-0.27%,69600000,76900000
2025-03-05,13:49:05,75300000,+1.89%,71500000,79000000
2025-03-05,13:54:47,75300000,+1.89%,71500000,79000000
2025-03-05,14:11:04,75300000,+1.89%,71500000,79000000
2025-03-05,14:53:58,75300000,+1.89%,71500000,79000000
2025-03-05,16:53:57,75400000,+0.13%,71600000,79100000
2025-03-05,17:04:19,75400000,+0.13%,71600000,79100000
2025-03-05,18:53:57,76500000,+1.46%,72600000,80300000
2025-03-05,21:30:47,77000000,+0.52%,73100000,80800000
2025-03-05,22:53:56,77000000,+0.52%,73100000,80800000
2025-03-06,00:55:20,78300000,+1.69%,74300000,82200000
2025-03-06,08:50:56,77400000,-3.37%,73500000,81200000
2025-03-06,08:55:19,77400000,-3.37%,73500000,81200000
2025-03-06,13:28:22,67800000,-4.64%,64400000,71100000
2025-03-06,14:53:57,67800000,-4.64%,64400000,71100000
2025-03-06,16:53:57,64800000,-4.42%,61500000,68000000
2025-03-06,17:42:15,62000000,-4.32%,58900000,65000000
2025-03-06,18:53:57,62000000,-4.32%,58900000,65000000
2025-03-06,18:58:19,62000000,-4.32%,58900000,65000000
2025-03-06,20:53:56,59200000,-4.52%,56200000,62100000
2025-03-06,23:44:53,54100000,-4.08%,51300000,56800000
2025-03-07,00:55:23,54100000,-4.08%,51300000,56800000
2025-03-07,08:56:08,51500000,-3.92%,48900000,54000000
2025-03-07,10:53:57,51000000,-0.97%,48400000,53500000
2025-03-07,11:46:55,52000000,+1.96%,49400000,54500000
2025-03-07,11:49:51,52000000,+1.96%,49400000,54500000
2025-03-07,12:53:57,52000000,+1.96%,49400000,54500000
2025-03-07,14:53:58,53400000,+2.69%,50700000,56000000
2025-03-07,17:52:51,56100000,+2.19%,53200000,58900000
2025-03-07,18:53:58,56100000,+2.19%,53200000,58900000
2025-03-07,19:09:10,57300000,+2.14%,54400000,60100000
2025-03-07,23:52:33,60300000,+2.55%,57200000,63300000
2025-03-08,00:54:46,60300000,+2.55%,57200000,63300000
2025-03-08,02:55:22,60800000,+0.83%,57700000,63800000
2025-03-08,04:53:56,61800000,+1.64%,58700000,64800000
2025-03-08,07:29:49,60300000,-3.52%,57200000,63300000
2025-03-08,08:55:20,60300000,-3.52%,57200000,63300000
2025-03-08,10:55:21,58900000,-2.32%,55900000,61800000
2025-03-08,12:55:22,59700000,+1.36%,56700000,62600000
2025-03-08,14:55:24,61000000,+2.18%,57900000,64000000
2025-03-08,16:55:20,62900000,+3.11%,59700000,66000000
2025-03-08,18:53:56,64400000,+2.38%,61100000,67600000
2025-03-08,20:55:20,65600000,+1.86%,62300000,68800000
2025-03-08,22:55:20,66800000,+1.83%,63400000,70100000
2025-03-08,23:41:39,68500000,+2.54%,65000000,71900000
2025-03-09,00:57:26,69200000,+1.02%,65700000,72600000
2025-03-09,02:57:26,70600000,+2.02%,67000000,74100000
2025-03-09,04:57:25,70600000,+2.02%,67000000,74100000
2025-03-09,06:57:32,68400000,-3.93%,64900000,71800000
2025-03-09,08:57:25,68400000,-3.93%,64900000,71800000
2025-03-09,10:57:25,65800000,-3.8%,62500000,69000000
2025-03-09,12:57:25,66400000,+0.91%,63000000,69700000
2025-03-09,14:54:03,68000000,+2.41%,64600000,71400000
2025-03-09,16:55:31,69300000,+1.91%,65800000,72700000
2025-03-09,18:27:00,70300000,+1.44%,66700000,73800000
2025-03-09,18:57:24,70300000,+1.44%,66700000,73800000
2025-03-09,20:57:23,72300000,+2.84%,68600000,75900000
2025-03-09,22:55:47,73200000,+1.24%,69500000,76800000
2025-03-10,10:55:55,69700000,-1.13%,66200000,73100000
2025-03-10,12:54:35,70100000,+0.57%,66500000,73600000
2025-03-10,14:54:29,71300000,+1.71%,67700000,74800000
2025-03-10,16:57:23,72300000,+1.4%,68600000,75900000
2025-03-10,18:54:02,72300000,+1.4%,68600000,75900000
2025-03-10,20:57:25,71000000,-1.8%,67400000,74500000
2025-03-10,22:56:37,71100000,+0.14%,67500000,74600000
2025-03-11,01:00:30,72100000,+1.41%,68400000,75700000
2025-03-11,02:57:25,72200000,+0.42%,68500000,75800000
2025-03-11,04:55:35,72200000,+0.42%,68500000,75800000
2025-03-11,06:57:26,68400000,-4.6%,64900000,71800000
2025-03-11,08:56:38,68400000,-4.6%,64900000,71800000
2025-03-11,10:57:28,65900000,-3.65%,62600000,69100000
2025-03-11,15:47:05,65500000,+1.39%,62200000,68700000
2025-03-11,16:50:31,65500000,+1.39%,62200000,68700000
2025-03-11,16:54:13,65500000,+1.39%,62200000,68700000
2025-03-11,18:55:03,67100000,+2.44%,63700000,70400000
2025-03-11,20:54:56,69200000,+3.13%,65700000,72600000
2025-03-11,22:56:06,70800000,+2.31%,67200000,74300000
2025-03-12,01:00:50,71600000,+1.13%,68000000,75100000
2025-03-12,03:25:26,72300000,+0.98%,68600000,75900000
2025-03-12,04:57:30,71800000,-0.69%,68200000,75300000
2025-03-12,06:57:27,70200000,-2.23%,66600000,73700000
2025-03-12,08:57:27,67600000,-3.7%,64200000,70900000
2025-03-12,10:55:32,67400000,-0.3%,64000000,70700000
2025-03-12,12:53:57,68200000,+1.19%,64700000,71600000
2025-03-12,14:54:03,69400000,+1.76%,65900000,72800000
2025-03-12,15:00:04,69400000,+1.76%,65900000,72800000
2025-03-12,16:54:03,70800000,+2.02%,67200000,74300000
2025-03-12,18:54:01,72600000,+2.54%,68900000,76200000
2025-03-12,19:19:16,72600000,+2.54%,68900000,76200000
2025-03-12,20:57:25,71900000,-0.96%,68300000,75400000
2025-03-12,22:54:21,72900000,+1.39%,69200000,76500000
2025-03-13,01:02:50,73100000,+0.27%,69400000,76700000
2025-03-13,02:57:27,73800000,+0.96%,70100000,77400000
2025-03-13,04:57:26,74500000,+0.95%,70700000,78200000
2025-03-13,06:57:24,72900000,-2.15%,69200000,76500000
