Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-08,23:42:39,186000000,-4.62%,176000000,195000000
2025-03-09,01:40:12,177000000,-4.84%,168000000,185000000
2025-03-09,03:40:13,169000000,-4.52%,160000000,177000000
2025-03-09,05:40:12,161000000,-4.73%,152000000,169000000
2025-03-09,07:40:12,153000000,-4.97%,145000000,160000000
2025-03-09,09:40:12,146000000,-4.58%,138000000,153000000
2025-03-09,11:40:12,138000000,-5.48%,131000000,144000000
2025-03-09,13:40:11,132000000,-4.35%,125000000,138000000
2025-03-09,15:40:13,136000000,+3.03%,129000000,142000000
2025-03-09,17:40:12,142000000,+4.41%,134000000,149000000
2025-03-09,18:27:55,139000000,-2.11%,132000000,145000000
2025-03-09,19:40:12,139000000,-2.11%,132000000,145000000
2025-03-09,21:40:12,136000000,-2.16%,129000000,142000000
2025-03-09,23:40:12,136000000,-2.16%,129000000,142000000
2025-03-10,10:56:50,116000000,-5.69%,110000000,121000000
2025-03-10,11:40:11,116000000,-5.69%,110000000,121000000
2025-03-10,14:24:10,116000000,-5.69%,110000000,121000000
2025-03-10,15:40:13,120000000,+3.45%,114000000,125000000
2025-03-10,17:40:13,118000000,-1.67%,112000000,123000000
2025-03-10,19:48:59,117000000,-0.85%,111000000,122000000
2025-03-10,21:40:14,120000000,+2.56%,114000000,125000000
2025-03-10,23:40:13,124000000,+3.33%,117000000,130000000
2025-03-11,01:44:26,128000000,+3.23%,121000000,134000000
2025-03-11,03:44:13,129000000,+0.78%,122000000,135000000
2025-03-11,05:40:13,126000000,-2.33%,119000000,132000000
2025-03-11,07:40:12,121000000,-3.97%,114000000,127000000
2025-03-11,09:40:12,118000000,-2.48%,112000000,123000000
2025-03-11,11:40:13,120000000,+1.69%,114000000,125000000
2025-03-11,15:47:57,128000000,+3.23%,121000000,134000000
2025-03-11,16:51:16,129000000,+0.78%,122000000,135000000
2025-03-11,17:40:13,129000000,+0.78%,122000000,135000000
2025-03-11,19:40:13,132000000,+2.33%,125000000,138000000
2025-03-11,21:40:12,136000000,+3.03%,129000000,142000000
2025-03-11,23:40:13,142000000,+4.41%,134000000,149000000
2025-03-12,01:42:17,143000000,+0.7%,135000000,150000000
2025-03-12,03:40:12,137000000,-4.2%,130000000,143000000
2025-03-12,05:40:11,132000000,-3.65%,125000000,138000000
2025-03-12,07:40:12,132000000,-3.65%,125000000,138000000
2025-03-12,09:42:18,129000000,-2.27%,122000000,135000000
2025-03-12,11:40:13,126000000,-2.33%,119000000,132000000
2025-03-12,13:40:13,120000000,-4.76%,114000000,125000000
2025-03-12,15:03:16,121000000,+0.83%,114000000,127000000
2025-03-12,15:40:14,121000000,+0.83%,114000000,127000000
2025-03-12,17:40:12,123000000,+1.65%,116000000,129000000
2025-03-12,19:20:00,126000000,+2.44%,119000000,132000000
2025-03-12,19:40:11,126000000,+2.44%,119000000,132000000
2025-03-12,21:40:12,125000000,-0.79%,118000000,131000000
2025-03-12,23:40:12,124000000,-0.8%,117000000,130000000
2025-03-13,01:52:53,123000000,-0.81%,116000000,129000000
2025-03-13,03:40:12,123000000,-0.81%,116000000,129000000
2025-03-13,05:40:12,121000000,-1.63%,114000000,127000000
2025-03-13,07:40:11,116000000,-4.13%,110000000,121000000
2025-03-13,09:40:12,110000000,-5.17%,104000000,115000000
2025-03-13,11:40:12,104000000,-5.45%,98800000,109000000
2025-03-13,13:40:12,99400000,-4.42%,94400000,104000000
2025-03-13,15:40:11,95100000,-4.33%,90300000,99800000
2025-03-13,17:40:12,90700000,-4.63%,86 100 000,95 200 000
2025-03-14,19:40:03,82300000,+4.84%,78 100 000,86 400 000
2025-03-14,21:40:03,82300000,+4.84%,78 100 000,86 400 000
2025-03-14,23:40:03,86300000,+4.86%,81 900 000,90 600 000
2025-03-14,01:40:03,89800000,+4.06%,85 300 000,94 200 000
2025-03-15,03:40:03,91300000,+1.67%,86 700 000,95 800 000
2025-03-15,05:40:03,90600000,-0.77%,86 000 000,95 100 000
2025-03-15,07:40:03,90600000,-0.77%,86 000 000,95 100 000
2025-03-15,09:40:03,87500000,-3.42%,83 100 000,91 800 000
2025-03-15,11:40:03,83800000,-4.23%,79 600 000,87 900 000
2025-03-15,13:40:03,83800000,-4.23%,79 600 000,87 900 000
2025-03-15,13:27:52,85500000,+2.03%,81 200 000,89 700 000
2025-03-15,13:40:12,85500000,+2.03%,81 200 000,89 700 000
2025-03-15,15:40:12,88800000,+3.86%,84 300 000,93 200 000
2025-03-15,17:40:12,92300000,+3.94%,87 600 000,96 900 000
2025-03-15,19:40:12,93100000,+0.87%,88 400 000,97 700 000
2025-03-15,21:40:12,93400000,+0.32%,88 700 000,98 000 000
2025-03-15,23:40:12,93900000,+0.54%,89 200 000,98 500 000
2025-03-16,01:40:12,94500000,+0.64%,89 700 000,99 200 000
2025-03-16,03:40:12,93900000,-0.63%,89 200 000,98 500 000
2025-03-16,05:40:12,92300000,-1.7%,87 600 000,96 900 000
2025-03-16,07:40:11,90500000,-1.95%,85 900 000,95 000 000
2025-03-16,09:40:12,86400000,-4.53%,82 000 000,90 700 000
2025-03-16,11:40:12,82700000,-4.28%,78 500 000,86 800 000
2025-03-16,13:40:03,82300000,-0.48%,78 100 000,86 400 000
2025-03-16,14:46:03,84500000,+2.67%,80 200 000,88 700 000
2025-03-16,15:40:13,84500000,+2.67%,80 200 000,88 700 000
2025-03-16,17:40:13,86000000,+1.78%,81 700 000,90 200 000
2025-03-16,19:40:13,86500000,+0.58%,82 100 000,90 800 000
2025-03-16,23:08:53,85500000,-0.23%,81 200 000,89 700 000
2025-03-16,23:40:13,85500000,-0.23%,81 200 000,89 700 000
2025-03-17,01:40:13,86900000,+1.64%,82 500 000,91 200 000
2025-03-17,03:40:13,87000000,+0.12%,82 600 000,91 300 000
2025-03-17,05:40:13,84400000,-2.99%,80 100 000,88 600 000
2025-03-17,07:40:13,82800000,-1.9%,78 600 000,86 900 000
2025-03-17,09:40:13,84700000,+2.29%,80 400 000,88 900 000
2025-03-17,10:51:58,88500000,+4.49%,84 000 000,92 900 000
2025-03-17,11:40:13,88500000,+4.49%,84 000 000,92 900 000
2025-03-17,13:40:13,90800000,+2.6%,86 200 000,95 300 000
2025-03-17,15:40:13,91900000,+1.21%,87 300 000,96 400 000
2025-03-17,21:24:40,85600000,-2.28%,81 300 000,89 800 000
2025-03-17,21:40:13,85600000,-2.28%,81 300 000,89 800 000
2025-03-17,23:40:13,85400000,-0.23%,81 100 000,89 600 000
2025-03-18,01:40:13,85700000,+0.35%,81 400 000,89 900 000
2025-03-18,03:40:12,86700000,+1.17%,82 300 000,91 000 000
2025-03-18,05:40:13,86500000,-0.23%,82 100 000,90 800 000
2025-03-18,07:40:13,83100000,-3.93%,78 900 000,87 200 000
2025-03-18,09:40:12,82700000,-0.48%,78 500 000,86 800 000
2025-03-18,11:40:12,83600000,+1.09%,79 400 000,87 700 000
2025-03-18,13:40:14,84100000,+0.6%,79 800 000,88 300 000
2025-03-18,15:40:13,85300000,+1.43%,81 000 000,89 500 000
2025-03-18,17:40:15,87000000,+1.99%,82 600 000,91 300 000
2025-03-18,20:13:19,89200000,+2.29%,84 700 000,93 600 000
2025-03-18,22:00:49,89200000,+2.29%,84700000,93600000
2025-03-18,23:04:17,90300000,+1.23%,85 700 000,94 800 000
2025-03-19,16:38:57,91400000,+2.47%,86 800 000,95 900 000
2025-03-19,17:40:07,91400000,+2.47%,86 800 000,95 900 000
2025-03-19,19:14:42,92300000,+0.98%,87 600 000,96 900 000
2025-03-19,19:25:15,92300000,+0.98%,87 600 000,96 900 000
2025-03-19,19:39:24,92300000,+0.98%,87 600 000,96 900 000
2025-03-19,19:40:18,92300000,+0.98%,87 600 000,96 900 000
2025-03-19,19:50:09,92300000,+0.98%,87 600 000,96 900 000
2025-03-19,22:15:22,93400000,+0.54%,88 700 000,98 000 000
2025-03-20,08:17:30,93800000,-0.74%,89 100 000,98 400 000
2025-03-20,12:27:20,93800000,-0.74%,89 100 000,98 400 000
2025-03-20,13:40:08,93800000,-0.74%,89 100 000,98 400 000
2025-03-20,13:53:39,93800000,-0.74%,89 100 000,98 400 000
2025-03-20,15:40:13,93800000,-0.74%,89 100 000,98 400 000
2025-03-20,17:40:12,93800000,-0.74%,89 100 000,98 400 000
2025-03-21,01:54:03,101000000,+1%,95 900 000,106 000 000
