Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-19,18:34:19,18200000,0%,17200000,19100000
2025-04-19,18:49:16,18200000,0%,17200000,19100000
2025-04-20,07:23:58,17200000,0%,16300000,18000000
2025-04-20,08:37:06,17200000,0%,16300000,18000000
2025-04-20,17:07:54,17500000,0%,16600000,18300000
2025-04-20,18:37:11,17500000,0%,16600000,18300000
2025-04-21,07:12:09,18500000,0%,17500000,19400000
2025-04-21,08:37:32,18500000,0%,17500000,19400000
2025-04-21,10:36:51,19100000,0%,18100000,20000000
2025-04-21,10:37:54,19100000,0%,18100000,20000000
2025-04-21,12:37:14,19100000,0%,18100000,20000000
2025-04-21,14:37:37,18800000,0%,17800000,19700000
2025-04-21,16:36:59,18800000,0%,17800000,19700000
2025-04-21,16:38:04,18800000,0%,17800000,19700000
2025-04-21,18:37:22,18800000,0%,17800000,19700000
2025-04-21,20:37:40,18800000,0%,17800000,19700000
2025-04-21,22:36:58,18600000,0%,17600000,19500000
2025-04-22,00:37:16,18600000,0%,17600000,19500000
2025-04-22,02:37:34,19100000,0%,18100000,20000000
2025-04-22,04:36:53,19600000,0%,18600000,20500000
2025-04-22,04:37:56,19600000,0%,18600000,20500000
2025-04-22,06:37:21,19600000,0%,18600000,20500000
2025-04-22,08:37:39,20000000,0%,19000000,21000000
2025-04-22,10:36:57,20600000,0%,19500000,21600000
2025-04-22,12:37:16,20600000,0%,19500000,21600000
2025-04-22,14:37:46,20200000,0%,19100000,21200000
2025-04-22,16:37:10,20200000,0%,19100000,21200000
2025-04-22,18:37:28,19400000,0%,18400000,20300000
2025-04-22,20:36:45,19300000,0%,18300000,20200000
2025-04-22,20:37:48,19300000,0%,18300000,20200000
2025-04-22,22:37:05,19300000,0%,18300000,20200000
2025-04-23,00:37:23,19000000,0%,18000000,19900000
2025-04-23,02:37:45,18700000,0%,17700000,19600000
2025-04-23,04:37:04,18700000,0%,17700000,19600000
2025-04-23,06:37:24,20200000,0%,19100000,21200000
2025-04-23,08:37:42,20200000,0%,19100000,21200000
2025-04-23,10:37:02,20600000,0%,19500000,21600000
2025-04-23,12:37:21,20600000,0%,19500000,21600000
2025-04-23,14:37:38,20600000,0%,19500000,21600000
2025-04-24,11:43:52,16100000,0%,15200000,16900000
2025-04-24,13:31:10,15800000,0%,15000000,16500000
2025-04-24,14:37:31,15800000,0%,15000000,16500000
2025-04-24,16:36:50,15200000,0%,14400000,15900000
2025-04-24,16:37:54,15200000,0%,14400000,15900000
2025-04-24,18:37:13,15200000,0%,14400000,15900000
2025-04-24,20:37:31,15400000,0%,14600000,16100000
2025-04-24,22:36:50,15400000,0%,14600000,16100000
2025-04-24,22:37:53,15400000,0%,14600000,16100000
2025-04-25,00:37:13,15100000,0%,14300000,15800000
2025-04-25,02:37:31,15000000,0%,14200000,15700000
2025-04-25,04:36:51,15000000,0%,14200000,15700000
2025-04-25,04:37:54,15000000,0%,14200000,15700000
2025-04-25,06:37:14,15700000,0%,14900000,16400000
2025-04-25,08:37:32,15700000,0%,14900000,16400000
2025-04-25,10:36:52,16000000,0%,15200000,16800000
2025-04-25,10:37:55,16000000,0%,15200000,16800000
2025-04-25,12:37:13,16000000,0%,15200000,16800000
2025-04-26,07:21:22,15700000,0%,14900000,16400000
2025-04-26,08:38:44,15700000,0%,14900000,16400000
2025-04-26,11:44:01,15700000,0%,14900000,16400000
2025-04-26,12:43:08,15700000,0%,14900000,16400000
2025-04-26,14:45:30,15700000,0%,14900000,16400000
2025-04-26,16:39:25,15700000,0%,14900000,16400000
2025-04-26,18:37:09,15700000,0%,14900000,16400000
2025-04-26,20:37:32,15700000,0%,14900000,16400000
2025-04-26,22:37:15,15700000,0%,14900000,16400000
2025-04-27,00:37:51,15700000,0%,14900000,16400000
