Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-08,23:42:52,207000000,+0.98%,196000000,217000000
2025-03-09,00:59:31,207000000,+0.98%,196000000,217000000
2025-03-09,02:59:31,210000000,+1.45%,199000000,220000000
2025-03-09,04:59:31,218000000,+3.81%,207000000,228000000
2025-03-09,06:59:41,214000000,-1.83%,203000000,224000000
2025-03-09,08:59:30,204000000,-4.67%,193000000,214000000
2025-03-09,10:59:30,206000000,+0.98%,195000000,216000000
2025-03-09,12:59:31,206000000,+0.98%,195000000,216000000
2025-03-09,14:54:10,206000000,+0.98%,195000000,216000000
2025-03-09,16:55:38,207000000,+0.49%,196000000,217000000
2025-03-09,18:28:06,207000000,+0.49%,196000000,217000000
2025-03-09,18:57:45,207000000,+0.49%,196000000,217000000
2025-03-09,20:59:28,209000000,+0.97%,198000000,219000000
2025-03-09,22:57:52,216000000,+3.35%,205000000,226000000
2025-03-10,10:57:01,204000000,-4.23%,193000000,214000000
2025-03-10,12:54:42,203000000,-0.49%,192000000,213000000
2025-03-10,14:54:38,205000000,+0.99%,194000000,215000000
2025-03-10,16:59:29,204000000,-0.49%,193000000,214000000
2025-03-10,18:54:08,207000000,+1.47%,196000000,217000000
2025-03-10,20:57:49,209000000,+0.97%,198000000,219000000
2025-03-10,22:58:42,213000000,+1.91%,202000000,223000000
2025-03-11,01:04:36,216000000,+1.41%,205000000,226000000
2025-03-11,02:59:32,215000000,-0.46%,204000000,225000000
2025-03-11,04:57:41,213000000,-0.93%,202000000,223000000
2025-03-11,06:59:33,202000000,-5.16%,191000000,212000000
2025-03-11,08:58:43,202000000,-5.16%,191000000,212000000
2025-03-11,10:59:33,194000000,-3.96%,184000000,203000000
2025-03-11,15:48:08,194000000,+2.65%,184000000,203000000
2025-03-11,16:51:49,194000000,+2.65%,184000000,203000000
2025-03-11,16:54:31,194000000,+2.65%,184000000,203000000
2025-03-11,18:55:09,195000000,+0.52%,185000000,204000000
2025-03-11,20:55:08,198000000,+1.54%,188000000,207000000
2025-03-11,22:56:18,200000000,+1.01%,190000000,209000000
2025-03-12,01:01:01,203000000,+1.5%,192000000,213000000
2025-03-12,02:57:09,205000000,+0.99%,194000000,215000000
2025-03-12,04:59:36,204000000,-0.49%,193000000,214000000
2025-03-12,06:59:32,204000000,-0.49%,193000000,214000000
2025-03-12,08:59:32,200000000,-1.96%,190000000,209000000
2025-03-12,10:57:22,198000000,-1%,188000000,207000000
2025-03-12,12:54:14,195000000,-1.52%,185000000,204000000
2025-03-12,14:54:29,193000000,-1.03%,183000000,202000000
2025-03-12,15:05:28,193000000,-1.03%,183000000,202000000
2025-03-12,16:54:14,196000000,+1.55%,186000000,205000000
2025-03-12,18:54:08,203000000,+3.57%,192000000,213000000
2025-03-12,19:20:12,211000000,+3.94%,200000000,221000000
2025-03-12,20:59:30,211000000,+3.94%,200000000,221000000
2025-03-12,22:54:29,214000000,+1.42%,203000000,224000000
2025-03-13,01:06:56,216000000,+0.93%,205000000,226000000
2025-03-13,02:59:33,221000000,+2.31%,209000000,232000000
2025-03-13,04:59:33,224000000,+1.36%,212000000,235000000
2025-03-13,06:59:29,226000000,+0.89%,214000000,237000000
2025-03-13,08:58:38,214000000,-5.31%,203000000,224000000
2025-03-13,10:59:28,205000000,-4.21%,194000000,215000000
2025-03-13,12:57:40,197000000,-3.9%,187000000,206000000
2025-03-13,14:59:31,187000000,-5.08%,177000000,196000000
2025-03-13,16:54:34,179000000,-4.28%,170 000 000,187 000 000
2025-03-14,20:53:58,91000000,-4.31%,86 400 000,95 500 000
2025-03-14,22:53:58,87000000,-4.4%,82 600 000,91 300 000
2025-03-14,00:53:58,83100000,-4.48%,78 900 000,87 200 000
2025-03-15,02:53:58,79400000,-4.45%,75 400 000,83 300 000
2025-03-15,04:53:58,75900000,-4.41%,72 100 000,79 600 000
2025-03-15,06:53:58,72700000,-4.22%,69 000 000,76 300 000
2025-03-15,08:53:58,69600000,-4.26%,66 100 000,73 000 000
2025-03-15,10:53:58,66600000,-4.31%,63 200 000,69 900 000
2025-03-15,12:53:58,63600000,-4.5%,60 400 000,66 700 000
2025-03-15,13:28:05,60800000,-4.4%,57 700 000,63 800 000
2025-03-15,14:59:32,58000000,-4.61%,55 100 000,60 800 000
2025-03-15,16:59:28,55400000,-4.48%,52 600 000,58 100 000
2025-03-15,18:54:40,54800000,-1.08%,52 000 000,57 500 000
2025-03-15,20:59:29,56200000,+2.55%,53 300 000,59 000 000
2025-03-15,22:55:09,56700000,+0.89%,53 800 000,59 500 000
2025-03-16,00:58:59,59400000,+1.37%,56 400 000,62 300 000
2025-03-16,02:59:29,59400000,+1.37%,56 400 000,62 300 000
2025-03-16,04:59:41,61000000,+2.69%,57 900 000,64 000 000
2025-03-16,07:03:56,61500000,+0.82%,58 400 000,64 500 000
2025-03-16,08:59:28,59000000,-4.07%,56 000 000,61 900 000
2025-03-16,10:57:57,56400000,-4.41%,53 500 000,59 200 000
2025-03-16,12:53:58,54100000,-4.08%,51 300 000,56 800 000
2025-03-16,14:46:13,52200000,-3.51%,49 500 000,54 800 000
2025-03-16,14:59:30,52200000,-3.51%,49 500 000,54 800 000
2025-03-16,16:59:29,52100000,-0.19%,49 400 000,54 700 000
2025-03-16,18:59:32,53500000,+2.69%,50 800 000,56 100 000
2025-03-16,23:09:04,56000000,+2.38%,53 200 000,58 700 000
2025-03-17,00:57:26,57200000,+2.14%,54 300 000,60 000 000
2025-03-17,02:58:36,58200000,+1.75%,55 200 000,61 100 000
2025-03-17,04:57:24,59700000,+2.58%,56 700 000,62 600 000
2025-03-17,06:56:33,60900000,+2.01%,57 800 000,63 900 000
2025-03-17,08:57:24,58300000,-4.27%,55 300 000,61 200 000
2025-03-17,10:52:52,55600000,-4.63%,52 800 000,58 300 000
2025-03-17,10:55:12,55600000,-4.63%,52 800 000,58 300 000
2025-03-17,12:54:32,53300000,-4.14%,50 600 000,55 900 000
2025-03-17,14:54:09,51100000,-4.13%,48 500 000,53 600 000
2025-03-17,16:54:32,48900000,-4.31%,46 400 000,51 300 000
2025-03-17,21:24:53,50000000,+1.83%,47 500 000,52 400 000
2025-03-17,22:59:29,51400000,+2.8%,48 800 000,53 900 000
2025-03-18,00:59:32,52200000,+1.56%,49 500 000,54 800 000
2025-03-18,02:59:28,53800000,+3.07%,51 100 000,56 400 000
