Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-08,23:42:31,86000000,+4.24%,81700000,90200000
2025-03-09,01:42:25,90100000,+4.77%,85500000,94600000
2025-03-09,03:42:26,90900000,+0.89%,86300000,95400000
2025-03-09,05:42:17,93900000,+0.32%,89200000,98500000
2025-03-09,07:42:17,93900000,+0.32%,89200000,98500000
2025-03-09,09:42:18,96500000,+2.77%,91600000,101000000
2025-03-09,11:42:21,97700000,+1.24%,92800000,102000000
2025-03-09,13:40:18,98200000,+0.51%,93200000,103000000
2025-03-09,15:40:42,100000000,+1.83%,95000000,104000000
2025-03-09,17:42:25,101000000,+1%,95900000,106000000
2025-03-09,18:27:50,102000000,+0.99%,96900000,107000000
2025-03-09,19:42:17,102000000,+0.99%,96900000,107000000
2025-03-09,21:42:30,102000000,+0.99%,96900000,107000000
2025-03-09,23:40:46,103000000,+0.98%,97800000,108000000
2025-03-10,10:56:44,90600000,-4.73%,86000000,95100000
2025-03-10,11:42:17,90600000,-4.73%,86000000,95100000
2025-03-10,14:24:05,82100000,-4.87%,77900000,86200000
2025-03-10,15:42:27,82100000,-4.87%,77900000,86200000
2025-03-10,17:42:19,78200000,-4.75%,74200000,82100000
2025-03-10,19:46:53,74500000,-4.73%,70700000,78200000
2025-03-10,21:41:07,72800000,-2.28%,69100000,76400000
2025-03-10,23:42:22,72100000,-0.96%,68400000,75700000
2025-03-11,01:40:16,71100000,-1.39%,67500000,74600000
2025-03-11,03:42:08,72800000,+2.39%,69100000,76400000
2025-03-11,05:42:22,71400000,-1.92%,67800000,74900000
2025-03-11,07:42:17,69600000,-2.52%,66100000,73000000
2025-03-11,09:42:21,71800000,+3.16%,68200000,75300000
2025-03-11,11:40:25,72800000,+1.39%,69100000,76400000
2025-03-11,15:47:52,76300000,+1.33%,72400000,80100000
2025-03-11,16:51:11,79000000,+3.54%,75000000,82900000
2025-03-11,17:40:22,79000000,+3.54%,75000000,82900000
2025-03-11,19:40:20,80500000,+1.9%,76400000,84500000
2025-03-11,21:42:17,83800000,+4.1%,79600000,87900000
2025-03-11,23:40:20,84700000,+1.07%,80400000,88900000
2025-03-12,01:46:36,88100000,+4.01%,83600000,92500000
2025-03-12,03:47:38,88500000,+0.45%,84000000,92900000
2025-03-12,05:42:18,86900000,-1.81%,82500000,91200000
2025-03-12,07:42:22,86700000,-0.23%,82300000,91000000
2025-03-12,09:42:11,82600000,-4.73%,78400000,86700000
2025-03-12,11:42:20,81200000,-1.69%,77100000,85200000
2025-03-12,13:42:26,82100000,+1.11%,77900000,86200000
2025-03-12,15:03:02,81000000,-1.34%,76900000,85000000
2025-03-12,15:40:26,81000000,-1.34%,76900000,85000000
2025-03-12,17:41:44,83400000,+2.96%,79200000,87500000
2025-03-12,19:19:54,85800000,+2.88%,81500000,90000000
2025-03-12,19:42:17,85800000,+2.88%,81500000,90000000
2025-03-12,21:42:18,86000000,+0.23%,81700000,90200000
2025-03-12,23:42:18,88300000,+2.67%,83800000,92700000
2025-03-13,01:50:47,87600000,-0.79%,83200000,91900000
2025-03-13,03:42:33,88500000,+1.03%,84000000,92900000
2025-03-13,05:42:22,88100000,-0.45%,83600000,92500000
2025-03-13,07:42:16,83900000,-4.77%,79700000,88000000
2025-03-13,09:42:18,80000000,-4.65%,76000000,84000000
2025-03-13,11:42:17,76200000,-4.75%,72300000,80000000
2025-03-13,13:42:28,72400000,-4.99%,68700000,76000000
2025-03-13,15:40:18,68900000,-4.83%,65400000,72300000
2025-03-13,17:40:22,65600000,-4.79%,62 300 000,68 800 000
2025-03-14,19:40:05,39700000,+3.39%,37 700 000,41 600 000
2025-03-14,21:40:05,39700000,+3.39%,37 700 000,41 600 000
2025-03-14,23:40:05,38100000,-4.03%,36 100 000,40 000 000
2025-03-14,01:40:05,36700000,-3.67%,34 800 000,38 500 000
2025-03-15,03:40:05,34900000,-4.9%,33 100 000,36 600 000
2025-03-15,05:40:05,33300000,-4.58%,31 600 000,34 900 000
2025-03-15,07:40:05,33000000,-0.9%,31 300 000,34 600 000
2025-03-15,09:40:05,31500000,-4.55%,29 900 000,33 000 000
2025-03-15,11:40:05,30000000,-4.76%,28 500 000,31 400 000
2025-03-15,13:40:05,28800000,-4%,27 300 000,30 200 000
2025-03-15,13:27:45,29900000,+3.82%,28 400 000,31 300 000
2025-03-15,13:42:26,29900000,+3.82%,28 400 000,31 300 000
2025-03-15,15:42:35,30900000,+3.34%,29 300 000,32 400 000
2025-03-15,17:42:36,31100000,+0.65%,29 500 000,32 600 000
2025-03-15,19:42:19,32400000,+4.18%,30 700 000,34 000 000
2025-03-15,21:42:32,32500000,+0.31%,30 800 000,34 100 000
2025-03-15,23:42:26,33500000,+0.9%,31 800 000,35 100 000
2025-03-16,01:42:21,33500000,+0.9%,31 800 000,35 100 000
2025-03-16,03:42:25,33300000,-0.6%,31 600 000,34 900 000
2025-03-16,05:42:37,33200000,-0.3%,31 500 000,34 800 000
2025-03-16,07:42:17,31800000,-4.22%,30 200 000,33 300 000
2025-03-16,09:42:17,30800000,-3.14%,29 200 000,32 300 000
2025-03-16,11:40:19,30000000,-2.6%,28 500 000,31 400 000
2025-03-16,13:40:05,30000000,-2.6%,28 500 000,31 400 000
2025-03-16,14:45:57,29600000,-2.31%,28 100 000,31 000 000
2025-03-16,15:40:20,29600000,-2.31%,28 100 000,31 000 000
2025-03-16,17:42:27,30200000,+2.03%,28 600 000,31 700 000
2025-03-16,19:42:22,30000000,-0.66%,28 500 000,31 400 000
2025-03-16,23:08:47,30700000,+1.32%,29 100 000,32 200 000
2025-03-16,23:42:25,30700000,+1.32%,29 100 000,32 200 000
2025-03-17,01:42:17,31100000,+1.3%,29 500 000,32 600 000
2025-03-17,03:44:26,31400000,+0.96%,29 800 000,32 900 000
2025-03-17,05:47:23,31900000,+1.59%,30 300 000,33 400 000
2025-03-17,07:42:18,31200000,-2.19%,29 600 000,32 700 000
2025-03-17,09:40:37,29700000,-4.81%,28 200 000,31 100 000
2025-03-17,10:51:38,28500000,-4.04%,27 000 000,29 900 000
2025-03-17,11:40:30,28500000,-4.04%,27 000 000,29 900 000
2025-03-17,13:41:00,28600000,+0.35%,27 100 000,30 000 000
2025-03-17,15:40:19,28500000,-0.35%,27 000 000,29 900 000
2025-03-17,21:24:33,26400000,-1.86%,25 000 000,27 700 000
2025-03-17,21:42:18,26400000,-1.86%,25 000 000,27 700 000
2025-03-17,23:42:18,26800000,+1.52%,25 400 000,28 100 000
2025-03-18,01:42:17,26700000,-0.37%,25 300 000,28 000 000
2025-03-18,03:42:17,26600000,-0.37%,25 200 000,27 900 000
2025-03-18,05:42:19,26400000,-0.75%,25 000 000,27 700 000
2025-03-18,07:42:18,26000000,-1.52%,24 700 000,27 200 000
2025-03-18,09:40:21,26600000,+2.31%,25 200 000,27 900 000
2025-03-18,11:42:18,27000000,+1.5%,25 600 000,28 300 000
2025-03-18,13:40:21,27700000,+2.59%,26 300 000,29 000 000
2025-03-18,15:40:20,28300000,+2.17%,26 800 000,29 700 000
2025-03-18,17:40:23,28800000,+1.77%,27 300 000,30 200 000
2025-03-18,20:12:15,29200000,+1.39%,27 700 000,30 600 000
2025-03-18,22:00:45,29200000,+1.39%,27700000,30600000
2025-03-18,23:04:10,29700000,+1.71%,28 200 000,31 100 000
2025-03-19,16:38:52,29600000,-1.99%,28 100 000,31 000 000
2025-03-19,17:40:13,29600000,-1.99%,28 100 000,31 000 000
2025-03-19,19:14:37,30100000,+1.69%,28 500 000,31 600 000
2025-03-19,19:25:10,30100000,+1.69%,28 500 000,31 600 000
2025-03-19,19:39:19,30100000,+1.69%,28 500 000,31 600 000
2025-03-19,19:40:13,30100000,+1.69%,28 500 000,31 600 000
2025-03-19,19:50:04,30100000,+1.69%,28 500 000,31 600 000
2025-03-19,22:15:16,30400000,+1.67%,28 800 000,31 900 000
2025-03-20,08:17:25,29500000,-2.96%,28 000 000,30 900 000
2025-03-20,12:27:16,29500000,-2.96%,28 000 000,30 900 000
