Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-03-03,10:45:25,78100000,+1.83%,74100000,82000000
2025-03-03,11:06:03,78100000,+1.83%,74100000,82000000
2025-03-03,13:07:18,78700000,+0.77%,74700000,82600000
2025-03-03,15:07:51,77800000,-1.14%,73900000,81600000
2025-03-03,17:07:52,77600000,-0.26%,73700000,81400000
2025-03-03,18:26:23,78500000,+1.16%,74500000,82400000
2025-03-03,19:06:01,78500000,+1.16%,74500000,82400000
2025-03-03,21:08:14,78600000,+0.13%,74600000,82500000
2025-03-03,22:56:42,78900000,+0.38%,74900000,82800000
2025-03-03,23:06:14,78900000,+0.38%,74900000,82800000
2025-03-04,01:06:15,78800000,-0.13%,74800000,82700000
2025-03-04,03:06:14,77500000,-1.65%,73600000,81300000
2025-03-04,05:06:15,75600000,-2.45%,71800000,79300000
2025-03-04,07:06:15,76800000,+1.59%,72900000,80600000
2025-03-04,09:06:17,78000000,+1.56%,74100000,81900000
2025-03-04,11:06:01,78700000,+0.9%,74700000,82600000
2025-03-04,13:06:02,79500000,+1.02%,75500000,83400000
2025-03-04,15:06:01,81500000,+2.52%,77400000,85500000
2025-03-04,17:06:01,82400000,+1.1%,78200000,86500000
2025-03-05,11:09:01,83500000,+4.51%,79300000,87600000
2025-03-05,13:48:43,88900000,+2.18%,84400000,93300000
2025-03-05,13:54:28,88900000,+2.18%,84400000,93300000
2025-03-05,14:10:42,88900000,+2.18%,84400000,93300000
2025-03-05,15:07:51,88900000,+2.18%,84400000,93300000
2025-03-05,17:03:50,90800000,+2.14%,86200000,95300000
2025-03-05,17:06:00,90800000,+2.14%,86200000,95300000
2025-03-05,19:06:00,92100000,+1.43%,87400000,96700000
2025-03-05,21:26:17,93500000,-0.21%,88800000,98100000
2025-03-05,23:06:09,93500000,-0.21%,88800000,98100000
2025-03-06,01:06:19,95000000,+1.6%,90200000,99700000
2025-03-06,08:50:31,95700000,+4.59%,90900000,100000000
2025-03-06,09:06:13,95700000,+4.59%,90900000,100000000
2025-03-06,13:27:56,88400000,-4.84%,83900000,92800000
2025-03-06,15:06:01,84800000,-4.07%,80500000,89000000
2025-03-06,17:06:01,81500000,-3.89%,77400000,85500000
2025-03-06,17:41:51,79600000,-2.33%,75600000,83500000
2025-03-06,18:57:57,79600000,-2.33%,75600000,83500000
2025-03-06,19:06:01,79600000,-2.33%,75600000,83500000
2025-03-06,21:06:26,81200000,+2.01%,77100000,85200000
2025-03-06,23:40:37,83100000,+2.85%,78900000,87200000
2025-03-07,08:55:47,86700000,+4.58%,82300000,91000000
2025-03-07,09:07:58,86700000,+4.58%,82300000,91000000
2025-03-07,11:06:00,90400000,+4.27%,85800000,94900000
2025-03-07,11:15:52,90400000,+4.27%,85800000,94900000
2025-03-07,11:49:17,94500000,+4.54%,89700000,99200000
2025-03-07,13:06:24,94500000,+4.54%,89700000,99200000
2025-03-07,15:06:03,98900000,+4.66%,93900000,103000000
2025-03-07,17:52:23,106000000,+3.92%,100000000,111000000
2025-03-07,19:06:34,106000000,+3.92%,100000000,111000000
2025-03-07,19:08:45,106000000,+3.92%,100000000,111000000
2025-03-07,23:11:08,110000000,+0.92%,104000000,115000000
2025-03-07,23:52:03,112000000,+1.82%,106000000,117000000
2025-03-08,01:08:01,112000000,+1.82%,106000000,117000000
2025-03-08,03:06:13,112000000,+1.82%,106000000,117000000
2025-03-08,05:07:45,110000000,-1.79%,104000000,115000000
2025-03-08,07:07:45,111000000,+0.91%,105000000,116000000
2025-03-08,09:06:20,115000000,+3.6%,109000000,120000000
2025-03-08,11:06:13,120000000,+4.35%,114000000,125000000
2025-03-08,13:06:22,125000000,+4.17%,118000000,131000000
2025-03-08,15:06:12,131000000,+4.8%,124000000,137000000
2025-03-08,17:06:13,136000000,+3.82%,129000000,142000000
2025-03-08,19:06:12,141000000,+3.68%,133000000,148000000
2025-03-08,21:07:38,146000000,+3.55%,138000000,153000000
2025-03-08,23:06:30,147000000,+0.68%,139000000,154000000
2025-03-08,23:41:14,148000000,+0.68%,140000000,155000000
2025-03-09,01:10:04,148000000,+0.68%,140000000,155000000
2025-03-09,03:09:56,148000000,+0.68%,140000000,155000000
2025-03-09,05:09:58,147000000,-0.68%,139000000,154000000
2025-03-09,07:10:12,146000000,-0.68%,138000000,153000000
2025-03-09,09:12:00,152000000,+4.11%,144000000,159000000
2025-03-09,11:09:56,158000000,+3.95%,150000000,165000000
2025-03-09,13:12:09,163000000,+3.16%,154000000,171000000
2025-03-09,15:07:41,168000000,+3.07%,159000000,176000000
2025-03-09,17:06:16,175000000,+4.17%,166000000,183000000
2025-03-09,18:26:36,181000000,+3.43%,171000000,190000000
2025-03-09,19:06:25,181000000,+3.43%,171000000,190000000
2025-03-09,21:10:05,179000000,-1.1%,170000000,187000000
2025-03-09,23:08:24,176000000,-1.68%,167000000,184000000
2025-03-10,10:55:24,183000000,+3.98%,173000000,192000000
2025-03-10,11:09:37,183000000,+3.98%,173000000,192000000
2025-03-10,13:18:01,186000000,+1.64%,176000000,195000000
2025-03-10,15:06:22,190000000,+2.15%,180000000,199000000
2025-03-10,17:10:02,192000000,+1.05%,182000000,201000000
2025-03-10,19:08:27,194000000,+1.04%,184000000,203000000
2025-03-10,21:07:36,192000000,-1.03%,182000000,201000000
2025-03-10,23:09:01,192000000,-1.03%,182000000,201000000
2025-03-11,01:23:27,190000000,-1.04%,180000000,199000000
2025-03-11,03:10:03,188000000,-1.05%,178000000,197000000
2025-03-11,05:16:26,190000000,+1.06%,180000000,199000000
2025-03-11,07:10:11,187000000,-1.58%,177000000,196000000
2025-03-11,09:11:19,195000000,+4.28%,185000000,204000000
2025-03-11,11:11:51,202000000,+3.59%,191000000,212000000
2025-03-11,15:46:41,204000000,-1.45%,193000000,214000000
2025-03-11,16:50:07,209000000,+2.45%,198000000,219000000
2025-03-11,17:06:13,209000000,+2.45%,198000000,219000000
2025-03-11,19:07:37,204000000,-2.39%,193000000,214000000
2025-03-11,21:06:42,206000000,+0.98%,195000000,216000000
2025-03-11,23:06:32,205000000,-0.49%,194000000,215000000
2025-03-12,01:07:46,205000000,-0.49%,194000000,215000000
2025-03-12,03:21:05,204000000,-0.49%,193000000,214000000
2025-03-12,05:10:04,204000000,-0.49%,193000000,214000000
2025-03-12,07:10:06,203000000,-0.49%,192000000,213000000
2025-03-12,09:09:09,212000000,+4.43%,201000000,222000000
2025-03-12,11:09:42,221000000,+4.25%,209000000,232000000
2025-03-12,13:06:02,231000000,+4.52%,219000000,242000000
2025-03-12,14:59:14,240000000,+3.9%,228000000,251000000
2025-03-12,15:08:41,240000000,+3.9%,228000000,251000000
2025-03-12,17:07:38,245000000,+2.08%,232000000,257000000
2025-03-12,19:07:55,250000000,+2.04%,237000000,262000000
2025-03-12,19:18:54,250000000,+2.04%,237000000,262000000
2025-03-12,21:06:29,258000000,+3.2%,245000000,270000000
2025-03-12,23:06:31,256000000,-0.78%,243000000,268000000
2025-03-13,01:29:50,260000000,+1.17%,247000000,273000000
2025-03-13,03:14:25,260000000,+1.17%,247000000,273000000
2025-03-13,05:10:04,263000000,+1.15%,249000000,276000000
2025-03-13,07:12:04,271000000,+3.04%,257000000,284000000
2025-03-13,09:11:09,269000000,-0.74%,255000000,282000000
2025-03-13,11:12:06,255000000,-5.2%,242000000,267000000
2025-03-13,13:25:14,253000000,-0.78%,240000000,265000000
2025-03-13,15:12:05,249000000,-0.8%,236000000,261000000
2025-03-13,17:06:13,249000000,-0.8%,236 000 000,261 000 000
2025-03-14,19:05:52,164000000,+4.46%,155 000 000,172 000 000
2025-03-14,21:05:52,164000000,+4.46%,155 000 000,172 000 000
2025-03-14,23:05:52,155000000,-5.49%,147 000 000,162 000 000
2025-03-14,01:05:52,147000000,-5.16%,139 000 000,154 000 000
2025-03-15,03:05:52,143000000,-2.72%,135 000 000,150 000 000
2025-03-15,05:05:52,135000000,-5.59%,128 000 000,141 000 000
2025-03-15,07:05:52,129000000,-4.44%,122 000 000,135 000 000
2025-03-15,09:05:52,122000000,-5.43%,115 000 000,128 000 000
2025-03-15,11:05:52,115000000,-5.74%,109 000 000,120 000 000
2025-03-15,13:05:52,109000000,-5.22%,103 000 000,114 000 000
2025-03-15,13:31:19,98800000,-5%,93 800 000,103 000 000
2025-03-15,15:10:14,98800000,-5%,93 800 000,103 000 000
2025-03-15,17:10:05,93800000,-5.06%,89 100 000,98 400 000
2025-03-15,19:06:28,89100000,-5.01%,84 600 000,93 500 000
2025-03-15,21:10:12,84600000,-5.05%,80 300 000,88 800 000
2025-03-15,23:06:18,80800000,-4.49%,76 700 000,84 800 000
2025-03-16,01:11:43,76700000,-5.07%,72 800 000,80 500 000
2025-03-16,03:10:02,72800000,-5.08%,69 100 000,76 400 000
2025-03-16,05:10:21,70000000,-3.85%,66 500 000,73 500 000
2025-03-16,07:16:38,66900000,-4.43%,63 500 000,70 200 000
2025-03-16,09:12:11,66200000,-1.05%,62 800 000,69 500 000
2025-03-16,11:10:39,65000000,-1.81%,61 700 000,68 200 000
2025-03-16,13:05:52,61700000,-5.08%,58 600 000,64 700 000
2025-03-16,14:44:30,58800000,-4.7%,55 800 000,61 700 000
2025-03-16,15:10:12,58800000,-4.7%,55 800 000,61 700 000
2025-03-16,17:10:14,56700000,-3.57%,53 800 000,59 500 000
2025-03-16,19:10:12,54200000,-4.41%,51 400 000,56 900 000
2025-03-16,23:07:23,50000000,-2.91%,47 500 000,52 400 000
2025-03-17,01:20:53,47700000,-4.6%,45 300 000,50 000 000
2025-03-17,03:17:20,45600000,-4.4%,43 300 000,47 800 000
2025-03-17,05:10:46,45200000,-0.88%,42 900 000,47 400 000
2025-03-17,07:11:18,44900000,-0.66%,42 600 000,47 100 000
2025-03-17,09:08:36,45600000,+1.56%,43 300 000,47 800 000
2025-03-17,10:49:07,44500000,-2.41%,42 200 000,46 700 000
2025-03-17,11:06:56,44500000,-2.41%,42 200 000,46 700 000
2025-03-17,13:07:34,42700000,-4.04%,40 500 000,44 800 000
2025-03-17,15:08:41,40800000,-4.45%,38 700 000,42 800 000
