Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:05:24,116000000,+1.75%,110000000,121000000
2025-04-07,08:07:26,117000000,-0.85%,111000000,122000000
2025-04-07,09:10:30,117000000,-0.85%,111000000,122000000
2025-04-07,09:45:37,115000000,-1.71%,109000000,120000000
2025-04-07,11:10:41,115000000,-1.71%,109000000,120000000
2025-04-07,13:53:43,117000000,+2.63%,111000000,122000000
2025-04-07,15:11:52,117000000,+2.63%,111000000,122000000
2025-04-07,17:11:57,118000000,+0.85%,112000000,123000000
2025-04-07,18:24:43,0,0%,NA,NA
2025-04-07,19:12:32,117000000,-0.85%,111000000,122000000
2025-04-07,21:10:35,117000000,-0.85%,111000000,122000000
2025-04-07,23:10:39,116000000,-0.85%,110000000,121000000
2025-04-08,01:10:43,114000000,-1.72%,108000000,119000000
2025-04-08,03:10:47,113000000,-0.88%,107000000,118000000
2025-04-08,05:12:07,115000000,+1.77%,109000000,120000000
2025-04-08,07:12:17,118000000,+2.61%,112000000,123000000
2025-04-08,10:28:20,110000000,-4.35%,104000000,115000000
2025-04-08,11:10:59,110000000,-4.35%,104000000,115000000
2025-04-08,12:11:35,107000000,-2.73%,101000000,112000000
2025-04-08,13:00:45,107000000,-2.73%,101000000,112000000
2025-04-08,13:07:04,107000000,-2.73%,101000000,112000000
2025-04-08,13:10:59,107000000,-2.73%,101000000,112000000
2025-04-08,13:58:11,109000000,+1.87%,103000000,114000000
2025-04-08,15:11:47,109000000,+1.87%,103000000,114000000
2025-04-08,18:10:27,113000000,0%,107000000,118000000
2025-04-08,19:11:54,113000000,0%,107000000,118000000
2025-04-08,23:39:11,114000000,0%,108000000,119000000
2025-04-09,01:11:55,115000000,0%,109000000,120000000
2025-04-09,03:11:57,115000000,0%,109000000,120000000
2025-04-09,05:12:03,117000000,0%,111000000,122000000
2025-04-09,07:12:11,116000000,0%,110000000,121000000
2025-04-09,09:52:24,111000000,0%,105000000,116000000
2025-04-09,10:39:47,111000000,0%,105000000,116000000
2025-04-09,11:10:59,111000000,0%,105000000,116000000
2025-04-09,14:04:20,107000000,0%,101000000,112000000
2025-04-09,15:12:13,107000000,0%,101000000,112000000
2025-04-09,18:56:43,108000000,0%,102000000,113000000
2025-04-09,19:52:58,109000000,0%,103000000,114000000
2025-04-09,21:11:02,109000000,0%,103000000,114000000
2025-04-09,23:06:24,110000000,0%,104000000,115000000
2025-04-09,23:10:59,110000000,0%,104000000,115000000
2025-04-10,02:11:06,113000000,0%,107000000,118000000
2025-04-10,03:10:59,112000000,0%,106000000,117000000
2025-04-10,05:11:03,111000000,0%,105000000,116000000
2025-04-10,07:11:07,113000000,0%,107000000,118000000
2025-04-10,09:11:12,110000000,0%,104000000,115000000
2025-04-10,12:30:11,105000000,0%,99700000,110000000
2025-04-10,13:11:00,105000000,0%,99700000,110000000
2025-04-10,14:39:22,104000000,0%,98800000,109000000
2025-04-10,15:11:00,104000000,0%,98800000,109000000
2025-04-10,17:11:04,106000000,0%,100000000,111000000
2025-04-10,19:11:08,106000000,0%,100000000,111000000
2025-04-10,21:11:12,107000000,0%,101000000,112000000
2025-04-10,23:03:44,108000000,0%,102000000,113000000
2025-04-10,23:12:20,108000000,0%,102000000,113000000
2025-04-11,01:12:22,109000000,0%,103000000,114000000
2025-04-11,03:12:25,113000000,0%,107000000,118000000
2025-04-11,05:12:27,113000000,0%,107000000,118000000
2025-04-11,07:10:31,112000000,0%,106000000,117000000
2025-04-11,09:10:35,111000000,0%,105000000,116000000
2025-04-11,11:10:39,110000000,0%,104000000,115000000
2025-04-11,13:10:44,106000000,0%,100000000,111000000
2025-04-11,15:10:48,108000000,0%,102000000,113000000
2025-04-11,17:10:52,109000000,0%,103000000,114000000
2025-04-11,19:10:56,114000000,0%,108000000,119000000
2025-04-11,21:11:00,115000000,0%,109000000,120000000
2025-04-11,23:11:04,119000000,0%,113000000,124000000
2025-04-12,01:11:08,122000000,0%,115000000,128000000
2025-04-12,03:11:12,124000000,0%,117000000,130000000
2025-04-12,05:11:16,121000000,0%,114000000,127000000
2025-04-12,07:11:19,120000000,0%,114000000,125000000
2025-04-12,09:11:24,119000000,0%,113000000,124000000
2025-04-12,11:11:52,118000000,0%,112000000,123000000
2025-04-12,13:11:55,118000000,0%,112000000,123000000
2025-04-12,15:11:56,120000000,0%,114000000,125000000
2025-04-12,17:11:58,121000000,0%,114000000,127000000
2025-04-12,19:11:02,124000000,0%,117000000,130000000
2025-04-12,21:12:10,126000000,0%,119000000,132000000
2025-04-12,23:12:16,131000000,0%,124000000,137000000
2025-04-13,14:06:36,124000000,0%,117000000,130000000
2025-04-13,15:12:20,124000000,0%,117000000,130000000
2025-04-13,17:12:27,126000000,0%,119000000,132000000
2025-04-13,19:12:14,126000000,0%,119000000,132000000
2025-04-13,21:12:07,129000000,0%,122000000,135000000
2025-04-13,23:12:22,130000000,0%,123000000,136000000
2025-04-14,01:12:35,132000000,0%,125000000,138000000
2025-04-14,03:12:18,130000000,0%,123000000,136000000
2025-04-14,05:12:14,123000000,0%,116000000,129000000
2025-04-14,06:31:54,119000000,0%,113000000,124000000
2025-04-14,07:11:13,119000000,0%,113000000,124000000
2025-04-14,09:12:17,119000000,0%,113000000,124000000
2025-04-14,10:06:33,118000000,0%,112000000,123000000
2025-04-14,13:10:24,118000000,0%,112000000,123000000
2025-04-14,15:12:26,119000000,0%,113000000,124000000
2025-04-14,16:13:08,121000000,0%,114000000,127000000
2025-04-14,17:12:30,121000000,0%,114000000,127000000
2025-04-15,09:23:08,118000000,0%,112000000,123000000
2025-04-15,11:11:18,118000000,0%,112000000,123000000
2025-04-15,13:12:46,117000000,0%,111000000,122000000
