Дата,Время,Цена,Изменение,Мин. цена,Макс. цена
2025-04-07,00:05:28,122000000,-0.81%,115000000,128000000
2025-04-07,08:07:31,124000000,-1.59%,117000000,130000000
2025-04-07,09:11:50,124000000,-1.59%,117000000,130000000
2025-04-07,09:45:42,123000000,-0.81%,116000000,129000000
2025-04-07,11:12:05,123000000,-0.81%,116000000,129000000
2025-04-07,13:53:48,118000000,-0.84%,112000000,123000000
2025-04-07,15:11:57,118000000,-0.84%,112000000,123000000
2025-04-07,17:12:02,118000000,-0.84%,112000000,123000000
2025-04-07,18:24:48,118000000,-0.84%,112000000,123000000
2025-04-07,19:12:37,118000000,-0.84%,112000000,123000000
2025-04-07,21:12:01,120000000,+1.69%,114000000,125000000
2025-04-07,23:12:07,121000000,+0.83%,114000000,127000000
2025-04-08,01:12:14,0,0%,NA,NA
2025-04-08,03:12:02,122000000,+0.83%,115000000,128000000
2025-04-08,05:12:12,122000000,+0.83%,115000000,128000000
2025-04-08,07:12:21,121000000,-0.82%,114000000,127000000
2025-04-08,10:28:25,114000000,-0.87%,108000000,119000000
2025-04-08,11:11:16,114000000,-0.87%,108000000,119000000
2025-04-08,12:11:40,110000000,-3.51%,104000000,115000000
2025-04-08,13:00:50,110000000,-3.51%,104000000,115000000
2025-04-08,13:07:09,110000000,-3.51%,104000000,115000000
2025-04-08,13:11:14,110000000,-3.51%,104000000,115000000
2025-04-08,13:58:16,108000000,-1.82%,102000000,113000000
2025-04-08,15:11:52,108000000,-1.82%,102000000,113000000
2025-04-08,18:10:33,108000000,0%,102000000,113000000
2025-04-08,19:11:59,108000000,0%,102000000,113000000
2025-04-08,23:39:17,112000000,0%,106000000,117000000
2025-04-09,01:12:00,112000000,0%,106000000,117000000
2025-04-09,03:12:01,116000000,0%,110000000,121000000
2025-04-09,05:12:08,115000000,0%,109000000,120000000
2025-04-09,07:12:16,116000000,0%,110000000,121000000
2025-04-09,09:52:29,109000000,0%,103000000,114000000
2025-04-09,10:39:51,109000000,0%,103000000,114000000
2025-04-09,11:11:16,109000000,0%,103000000,114000000
2025-04-09,14:04:25,112000000,0%,106000000,117000000
2025-04-09,15:12:21,112000000,0%,106000000,117000000
2025-04-09,18:56:48,114000000,0%,108000000,119000000
2025-04-09,19:53:03,116000000,0%,110000000,121000000
2025-04-09,21:12:25,116000000,0%,110000000,121000000
2025-04-09,23:06:30,117000000,0%,111000000,122000000
2025-04-09,23:11:17,117000000,0%,111000000,122000000
2025-04-10,02:12:31,120000000,0%,114000000,125000000
2025-04-10,03:11:15,121000000,0%,114000000,127000000
2025-04-10,05:12:24,124000000,0%,117000000,130000000
2025-04-10,07:12:28,124000000,0%,117000000,130000000
2025-04-10,09:12:32,119000000,0%,113000000,124000000
2025-04-10,12:30:16,108000000,0%,102000000,113000000
2025-04-10,13:11:15,108000000,0%,102000000,113000000
2025-04-10,14:39:27,109000000,0%,103000000,114000000
2025-04-10,15:11:17,109000000,0%,103000000,114000000
2025-04-10,17:12:25,108000000,0%,102000000,113000000
2025-04-10,19:12:30,108000000,0%,102000000,113000000
2025-04-10,21:12:31,110000000,0%,104000000,115000000
2025-04-10,23:03:50,114000000,0%,108000000,119000000
2025-04-10,23:12:25,114000000,0%,108000000,119000000
2025-04-11,01:12:27,118000000,0%,112000000,123000000
2025-04-11,03:12:29,120000000,0%,114000000,125000000
2025-04-11,05:12:32,122000000,0%,115000000,128000000
2025-04-11,07:11:51,122000000,0%,115000000,128000000
2025-04-11,09:11:51,120000000,0%,114000000,125000000
2025-04-11,11:11:55,120000000,0%,114000000,125000000
2025-04-11,13:11:58,120000000,0%,114000000,125000000
2025-04-11,15:12:00,120000000,0%,114000000,125000000
2025-04-11,17:11:05,122000000,0%,115000000,128000000
2025-04-11,19:11:08,122000000,0%,115000000,128000000
2025-04-11,21:11:12,126000000,0%,119000000,132000000
2025-04-11,23:11:18,128000000,0%,121000000,134000000
2025-04-12,01:12:29,131000000,0%,124000000,137000000
2025-04-12,03:12:30,134000000,0%,127000000,140000000
2025-04-12,05:12:32,136000000,0%,129000000,142000000
2025-04-12,07:12:34,136000000,0%,129000000,142000000
2025-04-12,09:11:38,135000000,0%,128000000,141000000
2025-04-12,11:11:58,133000000,0%,126000000,139000000
2025-04-12,13:12:01,133000000,0%,126000000,139000000
2025-04-12,15:12:02,132000000,0%,125000000,138000000
2025-04-12,17:12:03,130000000,0%,123000000,136000000
2025-04-12,19:12:05,134000000,0%,127000000,140000000
2025-04-12,21:12:15,136000000,0%,129000000,142000000
2025-04-12,23:12:21,137000000,0%,130000000,143000000
2025-04-13,14:07:16,139000000,0%,132000000,145000000
2025-04-13,15:12:29,139000000,0%,132000000,145000000
2025-04-13,17:12:36,139000000,0%,132000000,145000000
2025-04-13,19:12:22,142000000,0%,134000000,149000000
2025-04-13,21:12:17,144000000,0%,136000000,151000000
2025-04-13,23:12:32,147000000,0%,139000000,154000000
2025-04-14,01:12:45,148000000,0%,140000000,155000000
2025-04-14,03:12:28,148000000,0%,140000000,155000000
2025-04-14,05:12:23,141000000,0%,133000000,148000000
2025-04-14,06:32:03,141000000,0%,133000000,148000000
2025-04-14,07:12:41,141000000,0%,133000000,148000000
2025-04-14,09:11:16,139000000,0%,132000000,145000000
2025-04-14,10:06:41,141000000,0%,133000000,148000000
2025-04-14,13:10:52,141000000,0%,133000000,148000000
2025-04-14,15:12:44,140000000,0%,133000000,147000000
2025-04-14,16:13:16,141000000,0%,133000000,148000000
2025-04-14,17:13:04,141000000,0%,133000000,148000000
2025-04-15,09:23:18,137000000,0%,130000000,143000000
2025-04-15,11:11:34,138000000,0%,131000000,144000000
2025-04-15,13:12:58,141000000,0%,133000000,148000000
2025-04-15,14:17:57,141000000,0%,133000000,148000000
2025-04-15,14:42:46,140000000,0%,133000000,147000000
2025-04-15,15:11:31,140000000,0%,133000000,147000000
2025-04-15,16:09:42,141000000,0%,133000000,148000000
2025-04-15,17:11:22,141000000,0%,133000000,148000000
2025-04-15,19:11:28,144000000,0%,136000000,151000000
2025-04-15,21:12:57,146000000,0%,138000000,153000000
2025-04-15,23:12:39,143000000,0%,135000000,150000000
2025-04-16,01:10:45,146000000,0%,138000000,153000000
2025-04-16,03:12:22,146000000,0%,138000000,153000000
2025-04-16,05:12:30,146000000,0%,138000000,153000000
2025-04-16,07:12:38,140000000,0%,133000000,147000000
2025-04-16,09:10:57,139000000,0%,132000000,145000000
2025-04-16,11:12:27,137000000,0%,130000000,143000000
2025-04-16,12:40:58,136000000,0%,129000000,142000000
2025-04-16,13:12:41,136000000,0%,129000000,142000000
2025-04-16,13:31:11,136000000,0%,129000000,142000000
2025-04-16,15:12:44,136000000,0%,129000000,142000000
2025-04-16,17:24:31,140000000,0%,133000000,147000000
2025-04-16,19:13:07,140000000,0%,133000000,147000000
2025-04-16,21:12:19,146000000,0%,138000000,153000000
2025-04-16,23:12:25,148000000,0%,140000000,155000000
2025-04-17,01:12:32,147000000,0%,139000000,154000000
2025-04-17,03:12:39,147000000,0%,139000000,154000000
2025-04-17,05:25:46,139000000,0%,132000000,145000000
2025-04-17,07:15:02,132000000,0%,125000000,138000000
2025-04-17,09:12:40,126000000,0%,119000000,132000000
2025-04-17,10:26:58,126000000,0%,119000000,132000000
2025-04-17,11:11:36,121000000,0%,114000000,127000000
2025-04-18,14:47:56,125000000,0%,118000000,131000000
2025-04-18,12:01:31,125000000,0%,118000000,131000000
2025-04-18,12:05:04,125000000,0%,118000000,131000000
2025-04-18,12:59:01,127000000,0%,120000000,133000000
2025-04-18,13:14:11,127000000,0%,120000000,133000000
2025-04-18,13:22:37,127000000,0%,120000000,133000000
2025-04-18,13:37:44,127000000,0%,120000000,133000000
2025-04-18,17:14:20,130000000,0%,123000000,136000000
2025-04-18,17:44:03,134000000,0%,127000000,140000000
2025-04-18,18:39:33,134000000,0%,127000000,140000000
2025-04-18,19:10:36,134000000,0%,127000000,140000000
2025-04-19,05:59:23,142000000,0%,134000000,149000000
2025-04-19,07:11:31,137000000,0%,130000000,143000000
2025-04-19,11:33:07,137000000,0%,130000000,143000000
2025-04-19,12:55:54,137000000,0%,130000000,143000000
2025-04-19,13:02:12,137000000,0%,130000000,143000000
2025-04-19,13:03:12,137000000,0%,130000000,143000000
2025-04-19,13:12:04,137000000,0%,130000000,143000000
2025-04-19,13:30:13,137000000,0%,130000000,143000000
2025-04-19,13:59:28,137000000,0%,130000000,143000000
2025-04-19,14:14:10,137000000,0%,130000000,143000000
2025-04-19,15:10:57,138000000,0%,131000000,144000000
