Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:52:26,28800000,-2.37%,27 300 000,30 200 000
2025-03-17,11:40:42,28800000,-2.37%,27 300 000,30 200 000
2025-03-17,13:43:05,28800000,-2.37%,27 300 000,30 200 000
2025-03-17,15:40:25,28400000,-1.39%,26 900 000,29 800 000
2025-03-17,21:24:46,26800000,+0.37%,25 400 000,28 100 000
2025-03-17,21:44:23,26800000,+0.37%,25 400 000,28 100 000
2025-03-17,23:44:23,26800000,+0.37%,25 400 000,28 100 000
2025-03-18,01:44:22,26800000,+0.37%,25 400 000,28 100 000
2025-03-18,03:44:22,26400000,-1.49%,25 000 000,27 700 000
2025-03-18,05:44:23,26300000,-0.38%,24 900 000,27 600 000
2025-03-18,07:44:23,26200000,-0.38%,24 800 000,27 500 000
2025-03-18,09:40:28,26600000,+1.53%,25 200 000,27 900 000
2025-03-18,11:43:41,27100000,+1.88%,25 700 000,28 400 000
2025-03-18,13:40:28,27400000,+1.11%,26 000 000,28 700 000
2025-03-18,15:40:26,28000000,+2.19%,26 600 000,29 300 000
2025-03-18,17:41:43,28300000,+1.07%,26 800 000,29 700 000
