Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:49:27,17400000,-0.57%,16 500 000,18 200 000
2025-03-17,11:05:47,17400000,-0.57%,16 500 000,18 200 000
2025-03-17,13:07:57,17200000,-1.15%,16 300 000,18 000 000
2025-03-17,15:05:52,16800000,-2.33%,15 900 000,17 600 000
2025-03-17,21:23:31,16600000,-1.19%,15 700 000,17 400 000
2025-03-17,23:09:42,16600000,-1.19%,15 700 000,17 400 000
2025-03-18,01:12:03,17100000,+3.01%,16 200 000,17 900 000
2025-03-18,03:11:59,17500000,+2.34%,16 600 000,18 300 000
2025-03-18,05:12:04,17600000,+0.57%,16 700 000,18 400 000
2025-03-18,07:07:58,17500000,-0.57%,16 600 000,18 300 000
2025-03-18,09:05:59,17400000,-0.57%,16 500 000,18 200 000
2025-03-18,11:05:51,17500000,+0.57%,16 600 000,18 300 000
2025-03-18,13:07:55,18100000,+3.43%,17 100 000,19 000 000
2025-03-18,15:09:42,18300000,+1.1%,17 300 000,19 200 000
2025-03-18,17:08:56,18200000,-0.55%,17 200 000,19 100 000
