Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:54:15,191000000,-3.54%,181 000 000,200 000 000
2025-03-17,12:54:11,195000000,+2.09%,185 000 000,204 000 000
2025-03-17,14:53:57,197000000,+1.03%,187 000 000,206 000 000
2025-03-17,16:54:44,197000000,+1.03%,187 000 000,206 000 000
2025-03-17,21:25:18,212000000,+1.44%,201 000 000,222 000 000
2025-03-17,23:01:46,212000000,+1.44%,201 000 000,222 000 000
2025-03-18,01:05:48,205000000,-3.3%,194 000 000,215 000 000
2025-03-18,03:05:43,195000000,-4.88%,185 000 000,204 000 000
2025-03-18,05:05:49,192000000,-1.54%,182 000 000,201 000 000
2025-03-18,09:06:26,197000000,+1.03%,187 000 000,206 000 000
2025-03-18,10:53:56,200000000,+1.52%,190 000 000,209 000 000
2025-03-18,15:13:07,203000000,+1%,192 000 000,213 000 000
2025-03-18,16:55:09,205000000,+0.99%,194 000 000,215 000 000
2025-03-18,18:53:57,203000000,-0.98%,192 000 000,213 000 000
