Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:50:03,69300000,+0.14%,65 800 000,72 700 000
2025-03-17,11:02:19,69300000,+0.14%,65 800 000,72 700 000
2025-03-17,13:02:09,69600000,+0.43%,66 100 000,73 000 000
2025-03-17,15:02:10,67100000,-3.59%,63 700 000,70 400 000
2025-03-17,21:23:55,66900000,+0.3%,63 500 000,70 200 000
2025-03-17,23:02:09,66900000,+0.3%,63 500 000,70 200 000
2025-03-18,01:16:15,67300000,+0.6%,63 900 000,70 600 000
2025-03-18,03:16:08,66000000,-1.93%,62 700 000,69 300 000
2025-03-18,05:16:14,64900000,-1.67%,61 600 000,68 100 000
2025-03-18,07:12:08,64500000,-0.62%,61 200 000,67 700 000
2025-03-18,09:04:56,66300000,+2.79%,62 900 000,69 600 000
2025-03-18,11:02:10,66500000,+0.3%,63 100 000,69 800 000
2025-03-18,13:08:30,66400000,-0.15%,63 000 000,69 700 000
2025-03-18,15:02:08,64800000,-2.41%,61 500 000,68 000 000
2025-03-18,17:02:09,64400000,-0.62%,61 100 000,67 600 000
