Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:51:30,2950000000,+4.98%,2 800 000 000,3 090 000 000
2025-03-17,11:06:14,2950000000,+4.98%,2 800 000 000,3 090 000 000
2025-03-17,13:07:19,2950000000,+4.98%,2 800 000 000,3 090 000 000
2025-03-17,15:07:59,2950000000,+4.98%,2 800 000 000,3 090 000 000
2025-03-17,21:24:26,2910000000,-0.68%,2 760 000 000,3 050 000 000
2025-03-17,23:15:56,2910000000,-0.68%,2 760 000 000,3 050 000 000
2025-03-18,01:24:36,2910000000,-0.68%,2 760 000 000,3 050 000 000
2025-03-18,03:24:27,2910000000,-0.68%,2 760 000 000,3 050 000 000
2025-03-18,05:24:46,2910000000,-0.68%,2 760 000 000,3 050 000 000
2025-03-18,07:18:23,2910000000,-0.68%,2 760 000 000,3 050 000 000
2025-03-18,09:06:19,2780000000,-4.47%,2 640 000 000,2 910 000 000
2025-03-18,11:05:44,2780000000,-4.47%,2 640 000 000,2 910 000 000
2025-03-18,13:08:50,2780000000,-4.47%,2 640 000 000,2 910 000 000
2025-03-18,15:11:03,2760000000,-0.72%,2 620 000 000,2 890 000 000
2025-03-18,17:06:44,2760000000,-0.72%,2 620 000 000,2 890 000 000
