Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:49:34,118000000,-2.48%,112 000 000,123 000 000
2025-03-17,11:02:03,118000000,-2.48%,112 000 000,123 000 000
2025-03-17,13:02:03,119000000,+0.85%,113 000 000,124 000 000
2025-03-17,15:02:03,116000000,-2.52%,110 000 000,121 000 000
2025-03-17,21:23:37,115000000,-2.54%,109 000 000,120 000 000
2025-03-17,23:02:03,113000000,-1.74%,107 000 000,118 000 000
2025-03-18,01:14:08,113000000,-1.74%,107 000 000,118 000 000
2025-03-18,03:14:03,116000000,+2.65%,110 000 000,121 000 000
2025-03-18,05:14:09,119000000,+2.59%,113 000 000,124 000 000
2025-03-18,07:10:03,121000000,+1.68%,114 000 000,127 000 000
2025-03-18,09:04:46,123000000,+1.65%,116 000 000,129 000 000
2025-03-18,11:02:02,123000000,+1.65%,116 000 000,129 000 000
2025-03-18,13:08:23,116000000,-5.69%,110 000 000,121 000 000
2025-03-18,15:02:02,112000000,-3.45%,106 000 000,117 000 000
2025-03-18,17:02:03,111000000,-0.89%,105 000 000,116 000 000
