Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:53:18,86500000,-4.53%,82 100 000,90 800 000
2025-03-17,12:53:16,82500000,-4.62%,78 300 000,86 600 000
2025-03-17,14:53:15,79000000,-4.24%,75 000 000,82 900 000
2025-03-17,16:53:14,77700000,-1.65%,73 800 000,81 500 000
2025-03-17,21:25:05,78600000,+1.03%,74 600 000,82 500 000
2025-03-17,22:53:14,80700000,+2.67%,76 600 000,84 700 000
2025-03-18,00:53:14,83000000,+2.85%,78 800 000,87 100 000
2025-03-18,02:53:14,85200000,+2.65%,80 900 000,89 400 000
2025-03-18,04:53:14,87800000,+3.05%,83 400 000,92 100 000
2025-03-18,06:53:14,87900000,+0.11%,83 500 000,92 200 000
2025-03-18,08:53:14,84100000,-4.32%,79 800 000,88 300 000
2025-03-18,10:53:14,80400000,-4.4%,76 300 000,84 400 000
2025-03-18,12:53:14,76900000,-4.35%,73 000 000,80 700 000
2025-03-18,14:53:14,74100000,-3.64%,70 300 000,77 800 000
2025-03-18,16:53:14,72800000,-1.75%,69 100 000,76 400 000
2025-03-18,18:53:14,74300000,+2.06%,70 500 000,78 000 000
