Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:48:35,197000000,+3.14%,187 000 000,206 000 000
2025-03-17,12:36:58,197000000,+3.14%,187 000 000,206 000 000
2025-03-17,14:36:59,192000000,-2.54%,182 000 000,201 000 000
2025-03-17,21:23:13,181000000,-0.55%,171 000 000,190 000 000
2025-03-18,00:37:01,187000000,+3.31%,177 000 000,196 000 000
2025-03-18,02:36:56,194000000,+3.74%,184 000 000,203 000 000
2025-03-18,06:37:01,195000000,+0.52%,185 000 000,204 000 000
2025-03-18,08:36:59,194000000,-0.51%,184 000 000,203 000 000
2025-03-18,10:36:55,196000000,+1.03%,186 000 000,205 000 000
2025-03-18,12:36:58,195000000,-0.51%,185 000 000,204 000 000
