Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:51:13,590000000,+2.43%,560 000 000,619 000 000
2025-03-17,11:07:02,590000000,+2.43%,560 000 000,619 000 000
2025-03-17,13:08:04,565000000,-4.24%,536 000 000,593 000 000
2025-03-17,15:09:31,571000000,+1.06%,542 000 000,599 000 000
2025-03-17,21:24:13,569000000,-5.01%,540 000 000,597 000 000
2025-03-17,23:13:52,540000000,-5.1%,513 000 000,567 000 000
2025-03-18,01:20:25,510000000,-1.92%,484 000 000,535 000 000
2025-03-18,03:20:17,510000000,-1.92%,484 000 000,535 000 000
2025-03-18,05:20:25,496000000,-2.75%,471 000 000,520 000 000
2025-03-18,07:22:33,492000000,-0.81%,467 000 000,516 000 000
2025-03-18,09:06:38,495000000,+0.61%,470 000 000,519 000 000
2025-03-18,11:06:39,517000000,+4.44%,491 000 000,542 000 000
2025-03-18,13:09:07,534000000,+3.29%,507 000 000,560 000 000
2025-03-18,15:10:55,560000000,+4.87%,532 000 000,588 000 000
2025-03-18,17:09:35,588000000,+5%,558 000 000,617 000 000
