Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,11:10:17,87600000,-3.2%,83 200 000,91 900 000
2025-03-17,12:37:24,87600000,-3.2%,83 200 000,91 900 000
2025-03-17,14:39:06,87400000,-0.23%,83 000 000,91 700 000
2025-03-18,01:26:42,97400000,-0.1%,92 500 000,102 000 000
2025-03-18,04:39:11,96800000,-0.62%,91 900 000,101 000 000
2025-03-18,08:39:17,94800000,-1.66%,90 000 000,99 500 000
2025-03-18,10:38:25,93800000,-1.05%,89 100 000,98 400 000
2025-03-18,12:37:21,92700000,-1.17%,88 000 000,97 300 000
2025-03-18,16:37:27,95800000,+1.91%,91 000 000,100 000 000
14:39:31,100000000,+2.88%,95 000 000,104 000 000
