Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:51:24,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,11:05:32,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,13:05:32,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,15:05:32,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,21:24:19,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-17,23:05:31,2610000000,-4.04%,2 470 000 000,2 740 000 000
2025-03-18,01:22:30,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,03:22:22,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,05:22:30,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,07:16:18,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,09:06:14,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,11:05:31,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,13:08:43,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,15:05:32,2740000000,+4.98%,2 600 000 000,2 870 000 000
2025-03-18,17:05:31,2740000000,+4.98%,2 600 000 000,2 870 000 000
