Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:48:28,16100000,-1.83%,15 200 000,16 900 000
2025-03-17,10:54:26,16100000,-1.83%,15 200 000,16 900 000
2025-03-17,12:53:23,16000000,-0.62%,15 200 000,16 800 000
2025-03-17,14:53:30,16000000,-0.62%,15 200 000,16 800 000
2025-03-17,16:53:21,15800000,-1.25%,15 000 000,16 500 000
2025-03-17,21:23:05,15900000,+0.63%,15 100 000,16 600 000
2025-03-17,22:55:19,15800000,-0.63%,15 000 000,16 500 000
2025-03-18,00:55:20,15600000,-1.27%,14 800 000,16 300 000
2025-03-18,02:55:19,15600000,-1.27%,14 800 000,16 300 000
2025-03-18,04:55:20,15700000,+0.64%,14 900 000,16 400 000
2025-03-18,06:55:20,16000000,+1.91%,15 200 000,16 800 000
2025-03-18,08:55:20,16700000,+4.38%,15 800 000,17 500 000
2025-03-18,10:53:21,17100000,+2.4%,16 200 000,17 900 000
2025-03-18,12:55:20,17000000,-0.58%,16 100 000,17 800 000
2025-03-18,14:55:19,16700000,-1.76%,15 800 000,17 500 000
2025-03-18,16:53:21,16900000,+1.2%,16 000 000,17 700 000
2025-03-18,18:53:26,16700000,-1.18%,15 800 000,17 500 000
14:39:38,17400000,-3.33%,16 500 000,18 200 000
