Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:53:07,55600000,-4.63%,52 800 000,58 300 000
2025-03-17,10:55:28,55600000,-4.63%,52 800 000,58 300 000
2025-03-17,12:55:27,53300000,-4.14%,50 600 000,55 900 000
2025-03-17,14:54:14,51100000,-4.13%,48 500 000,53 600 000
2025-03-17,16:54:38,48900000,-4.31%,46 400 000,51 300 000
2025-03-17,21:24:59,50000000,+1.83%,47 500 000,52 400 000
2025-03-17,23:01:34,51400000,+2.8%,48 800 000,53 900 000
2025-03-18,01:01:37,52200000,+1.56%,49 500 000,54 800 000
2025-03-18,03:01:33,53800000,+3.07%,51 100 000,56 400 000
2025-03-18,05:01:37,54500000,+1.3%,51 700 000,57 200 000
2025-03-18,07:01:37,54700000,+0.37%,51 900 000,57 400 000
2025-03-18,08:58:47,52400000,-4.2%,49 700 000,55 000 000
2025-03-18,10:54:14,50100000,-4.39%,47 500 000,52 600 000
2025-03-18,13:01:35,47900000,-4.39%,45 500 000,50 200 000
2025-03-18,18:57:34,47400000,+1.28%,45 000 000,49 700 000
