Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:50:47,349000000,-0.85%,331 000 000,366 000 000
2025-03-17,11:06:05,349000000,-0.85%,331 000 000,366 000 000
2025-03-17,13:05:40,354000000,+1.43%,336 000 000,371 000 000
2025-03-17,15:06:15,351000000,-0.85%,333 000 000,368 000 000
2025-03-17,21:24:07,357000000,+2.88%,339 000 000,374 000 000
2025-03-17,23:11:47,357000000,+2.88%,339 000 000,374 000 000
2025-03-18,01:18:19,370000000,+3.64%,351 000 000,388 000 000
2025-03-18,03:18:13,369000000,-0.27%,350 000 000,387 000 000
2025-03-18,05:18:20,366000000,-0.81%,347 000 000,384 000 000
2025-03-18,07:14:13,375000000,+2.46%,356 000 000,393 000 000
2025-03-18,09:06:08,373000000,-0.53%,354 000 000,391 000 000
2025-03-18,11:05:37,361000000,-3.22%,342 000 000,379 000 000
2025-03-18,13:08:37,352000000,-2.49%,334 000 000,369 000 000
2025-03-18,15:10:41,340000000,-3.41%,323 000 000,356 000 000
2025-03-18,17:05:38,328000000,-3.53%,311 000 000,344 000 000
