Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:49:47,20600000,-5.07%,19 500 000,21 600 000
2025-03-17,10:54:44,20600000,-5.07%,19 500 000,21 600 000
2025-03-17,12:54:04,20000000,-2.91%,19 000 000,21 000 000
2025-03-17,14:54:03,20000000,-2.91%,19 000 000,21 000 000
2025-03-17,16:54:11,20000000,-2.91%,19 000 000,21 000 000
2025-03-17,21:23:49,20200000,+1%,19 100 000,21 200 000
2025-03-17,22:57:24,20500000,+1.49%,19 400 000,21 500 000
2025-03-18,00:57:26,20600000,+0.49%,19 500 000,21 600 000
2025-03-18,02:57:24,20900000,+1.46%,19 800 000,21 900 000
2025-03-18,04:57:25,21300000,+1.91%,20 200 000,22 300 000
2025-03-18,06:57:25,21200000,-0.47%,20 100 000,22 200 000
2025-03-18,08:57:24,21400000,+0.94%,20 300 000,22 400 000
2025-03-18,10:54:02,20400000,-4.67%,19 300 000,21 400 000
2025-03-18,12:57:25,20100000,-1.47%,19 000 000,21 100 000
2025-03-18,16:57:05,20100000,+0.5%,19 000 000,21 100 000
2025-03-18,18:54:12,20200000,+0.5%,19 100 000,21 200 000
